phase,candidate_id,best_day_concentration,best_trade_concentration,top3_day_concentration,top5_trade_concentration,pnl_without_best_day,pnl_without_best_trade,pnl_without_top3_trades,positive_without_best_day,positive_without_best_trade,positive_without_top3_trades
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,0.306503,0.306503,0.709875,0.98821,2049.38,2049.38,857.36,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,0.306503,0.306503,0.709875,0.98821,2049.38,2049.38,857.36,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,0.331722,0.331722,0.768282,1.069519,1824.72,1824.72,632.7,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,0.331722,0.331722,0.768282,1.069519,1824.72,1824.72,632.7,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,0.35983,0.35983,0.71003,1.026263,1611.43,1611.43,729.91,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,0.35983,0.35983,0.71003,1.026263,1611.43,1611.43,729.91,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,0.238127,0.238127,0.66138,1.02031,1480.57,1480.57,658.05,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,0.238127,0.238127,0.66138,1.02031,1480.57,1480.57,658.05,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.395092,0.395092,0.77961,1.127052,1386.77,1386.77,505.25,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.395092,0.395092,0.77961,1.127052,1386.77,1386.77,505.25,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,0.264071,0.264071,0.733436,1.181402,1289.65,1289.65,467.13,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,0.264071,0.264071,0.733436,1.181402,1289.65,1289.65,467.13,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,0.257163,0.257163,0.714251,1.101874,1336.72,1336.72,514.2,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,0.257163,0.257163,0.714251,1.101874,1336.72,1336.72,514.2,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,0.287686,0.287686,0.799025,1.287052,1145.8,1145.8,323.28,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,0.287686,0.287686,0.799025,1.287052,1145.8,1145.8,323.28,True,True,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.353368,0.353368,0.861442,1.208275,1062.74,1062.74,227.72,True,True,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.353368,0.353368,0.861442,1.208275,1062.74,1062.74,227.72,True,True,True
