phase,candidate_id,positive_wf_test_folds_pct,worst_wf_test_fold,fold_stress_pnl_distribution,one_bad_fold_explains_rejection
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,0.833333,-43.94,482.82;136.32;363.34;-43.94;228.78;599.3,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,0.833333,-43.94,482.82;136.32;363.34;-43.94;228.78;599.3,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,0.833333,-262.18,482.82;71.58;363.34;-262.18;12.3;956.32,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,0.833333,-262.18,482.82;71.58;363.34;-262.18;12.3;956.32,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,0.833333,-43.94,645.54;136.32;363.34;-43.94;228.78;599.3,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,0.833333,-43.94,645.54;136.32;363.34;-43.94;228.78;599.3,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,0.833333,-43.94,587.52;303.56;370.08;-43.94;291.02;420.78,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,0.833333,-43.94,587.52;303.56;370.08;-43.94;291.02;420.78,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.833333,-262.18,645.54;71.58;363.34;-262.18;12.3;956.32,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.833333,-262.18,645.54;71.58;363.34;-262.18;12.3;956.32,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,0.833333,-262.18,587.52;238.82;370.08;-262.18;74.54;812.54,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,0.833333,-262.18,587.52;238.82;370.08;-262.18;74.54;812.54,True
