phase,candidate_id,selected_reason,label,research_axis_status,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,best_day_concentration,best_trade_concentration,trades,active_days,interpretation,reject_reasons
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,recommendation_top_candidate,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2955.14,2877.14,334.4,811.84,1766.62,0.306503,0.306503,78,78,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2955.14,2877.14,334.4,811.84,1766.62,0.306503,0.306503,78,78,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2730.48,2643.48,117.16,920.64,1624.18,0.331722,0.331722,87,87,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2730.48,2643.48,117.16,920.64,1624.18,0.331722,0.331722,87,87,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,2517.19,2460.19,334.4,811.84,1929.34,0.35983,0.35983,57,57,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,2517.19,2460.19,334.4,811.84,1929.34,0.35983,0.35983,57,57,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1943.33,1897.33,340.14,692.56,1929.02,0.238127,0.238127,46,46,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1943.33,1897.33,340.14,692.56,1929.02,0.238127,0.238127,46,46,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2292.53,2226.53,117.16,920.64,1786.9,0.395092,0.395092,66,66,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2292.53,2226.53,117.16,920.64,1786.9,0.395092,0.395092,66,66,real_but_nontradable_signal,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1752.41,1698.41,122.9,835.1,1821.32,0.264071,0.264071,54,54,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1752.41,1698.41,122.9,835.1,1821.32,0.264071,0.264071,54,54,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1799.48,1737.48,340.14,692.56,1795.54,0.257163,0.257163,62,62,framework_gate_too_strict_possible,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1799.48,1737.48,340.14,692.56,1795.54,0.257163,0.257163,62,62,framework_gate_too_strict_possible,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1608.56,1538.56,122.9,835.1,1687.84,0.287686,0.287686,70,70,framework_gate_too_strict_possible,fold instability; concentration
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1608.56,1538.56,122.9,835.1,1687.84,0.287686,0.287686,70,70,framework_gate_too_strict_possible,fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1643.5,1587.5,644.66,2011.98,1982.5,0.353368,0.353368,56,56,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,1643.5,1587.5,644.66,2011.98,1982.5,0.353368,0.353368,56,56,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,996.36,947.36,534.01,749.88,1476.23,0.559296,0.559296,49,49,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,phase10b_rejected_low_activity,axis_positive_but_concentrated,996.36,947.36,534.01,749.88,1476.23,0.559296,0.559296,49,49,candidate_needs_more_history,low activity; fold instability; concentration
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,phase10b_rejected_fold_instability,axis_positive_but_concentrated,969.7,898.7,729.27,912.14,1721.29,0.574673,0.574673,71,71,real_but_nontradable_signal,fold instability; concentration
