phase,candidate_id,pnl_without_best_day,pnl_without_best_trade,pnl_without_top3_trades,positive_without_best_day,positive_without_best_trade,positive_without_top3_trades
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,2049.38,2049.38,857.36,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,2049.38,2049.38,857.36,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,1824.72,1824.72,632.7,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,1824.72,1824.72,632.7,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,1611.43,1611.43,729.91,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,1611.43,1611.43,729.91,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,1480.57,1480.57,658.05,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,1480.57,1480.57,658.05,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,1386.77,1386.77,505.25,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,1386.77,1386.77,505.25,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,1289.65,1289.65,467.13,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,1289.65,1289.65,467.13,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,1336.72,1336.72,514.2,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,1336.72,1336.72,514.2,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,1145.8,1145.8,323.28,True,True,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,1145.8,1145.8,323.28,True,True,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,1062.74,1062.74,227.72,True,True,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,1062.74,1062.74,227.72,True,True,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,439.1,439.1,-443.92,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,439.1,439.1,-443.92,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,412.44,412.44,-470.58,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,412.44,412.44,-470.58,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,420.81,420.81,-414.21,True,True,False
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,420.81,420.81,-414.21,True,True,False
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,1005.85,1005.85,324.33,True,True,True
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,630.38,630.38,-152.64,True,True,False
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,44.83,44.83,-638.69,True,True,False
phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,-485.58,-485.58,-1438.1,False,False,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,779.73,779.73,373.71,True,True,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,540.05,540.05,284.53,True,True,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,460.37,460.37,76.85,True,True,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,235.2,235.2,-17.82,True,True,False
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,85.21,85.21,-422.81,True,True,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,58.16,58.16,-216.86,True,True,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,25.6,25.6,-321.92,True,True,False
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,-88.77,-88.77,-329.79,False,False,False
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,-285.94,-285.94,-699.46,False,False,False
