phase,candidate_id,period,iterations,blocks,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit,fold_like_stability_prob
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,monthly,50000,13,13,2955.14,0.99104,781.18,1971.51,2873.84,3859.96,5359.97,2950.07,1.0,1.0,0.99104
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,monthly,50000,12,12,1366.61,0.9539,29.22,815.74,1371.88,1924.69,2692.58,1367.4,1.0,1.0,0.9539
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,monthly,50000,12,12,1006.49,0.88894,-299.93,404.28,950.36,1544.13,2470.97,1002.17,1.0,1.0,0.88894
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,monthly,10000,13,13,2955.14,0.9916,756.05,1949.51,2865.01,3857.23,5363.72,2940.65,1.0,1.0,0.9916
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,monthly,10000,13,13,2730.48,0.9789,455.69,1688.89,2661.68,3670.84,5302.72,2729.2,1.0,1.0,0.9789
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,monthly,10000,13,13,2730.48,0.976,459.02,1723.61,2657.27,3701.38,5203.43,2730.62,1.0,1.0,0.976
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,monthly,10000,13,13,2517.19,0.952,22.9,1435.72,2432.6,3538.47,5167.52,2507.68,1.0,1.0,0.952
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,monthly,10000,13,13,2517.19,0.9518,21.56,1411.13,2438.11,3519.49,5195.31,2502.9,1.0,1.0,0.9518
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,monthly,10000,13,13,1943.33,0.9684,211.16,1202.39,1914.85,2639.93,3713.74,1932.89,1.0,1.0,0.9684
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,monthly,10000,13,13,1943.33,0.9691,210.72,1200.76,1903.91,2645.09,3703.46,1930.52,1.0,1.0,0.9691
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,monthly,10000,13,13,2292.53,0.9305,-226.99,1145.73,2215.8,3341.38,5022.42,2280.47,1.0,1.0,0.9305
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,monthly,10000,13,13,2292.53,0.9257,-285.46,1188.22,2251.09,3373.97,5093.63,2309.78,1.0,1.0,0.9257
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,monthly,10000,13,13,1752.41,0.9478,-27.78,990.1,1719.47,2491.98,3614.21,1759.58,1.0,1.0,0.9478
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,monthly,10000,13,13,1752.41,0.9453,-51.86,970.49,1732.7,2520.62,3636.57,1758.5,1.0,1.0,0.9453
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,monthly,10000,13,13,1799.48,0.9603,108.7,1099.31,1781.24,2500.28,3563.92,1806.01,1.0,1.0,0.9603
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,monthly,10000,13,13,1799.48,0.9632,134.83,1081.53,1789.23,2500.97,3553.2,1808.42,1.0,1.0,0.9632
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,monthly,10000,13,13,1608.56,0.9352,-129.76,867.88,1578.18,2336.14,3422.27,1607.9,1.0,1.0,0.9352
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,monthly,10000,13,13,1608.56,0.9327,-142.35,873.79,1594.98,2345.56,3399.42,1609.33,1.0,1.0,0.9327
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,monthly,10000,12,12,1643.5,0.7816,-1282.56,157.53,1420.86,2838.66,5119.35,1607.37,1.0,1.0,0.7816
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,monthly,10000,12,12,1643.5,0.7909,-1258.38,239.17,1486.33,2928.39,5249.42,1675.77,1.0,1.0,0.7909
