phase,candidate_id,phase_stress_null_percentile,beats_phase_stress_median,beats_phase_stress_75th,trade_pool_null_pnl_gt_candidate_prob,daily_pool_null_pnl_gt_candidate_prob,beats_trade_pool_null_95,beats_daily_pool_null_95,matched_random_entry_skipped,matched_random_entry_skip_reason
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,1.0,True,True,0.2906,0.2877,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,0.979167,True,True,0.036,0.0376,True,True,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,0.979167,True,True,0.0471,0.0424,True,True,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,1.0,True,True,0.2978,0.2945,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,0.958333,True,True,0.4092,0.4108,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,0.958333,True,True,0.4057,0.4174,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,0.916667,True,True,0.2371,0.2332,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,0.916667,True,True,0.2343,0.2285,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,0.833333,True,True,0.2841,0.2746,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,0.833333,True,True,0.2805,0.2829,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.875,True,True,0.361,0.3598,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.875,True,True,0.3576,0.372,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,0.75,True,False,0.4103,0.3997,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,0.75,True,False,0.4069,0.3938,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,0.791667,True,True,0.4564,0.4542,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,0.791667,True,True,0.4637,0.4701,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,0.666667,True,False,0.5784,0.5758,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,0.666667,True,False,0.5697,0.5571,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.708333,True,False,0.4615,0.4554,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.708333,True,False,0.4458,0.4579,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
