phase,candidate_id,iterations,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,100,78,2955.14,1.0,389.74,1629.23,2825.27,3898.39,5754.34,2877.39,0.73,1.0
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,100,98,1366.61,0.84,-463.4,652.43,1219.9,1929.07,3650.02,1315.18,1.0,1.0
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,100,53,1006.49,0.95,42.03,506.19,1002.63,1449.3,2141.6,1013.63,1.0,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,100,78,2955.14,0.95,456.78,1943.67,3084.4,4122.55,5455.9,3008.38,0.72,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,100,87,2730.48,0.93,-411.55,1600.11,2604.3,3752.51,6114.07,2742.26,0.76,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,100,87,2730.48,0.94,-245.92,1314.11,2562.49,3887.35,5133.55,2599.17,0.77,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,100,57,2517.19,0.96,193.12,1496.66,2533.57,3481.6,5452.58,2568.14,0.49,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,100,57,2517.19,0.98,665.24,1516.74,2529.37,3840.85,5166.27,2685.67,0.56,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,100,46,1943.33,0.96,258.26,1237.61,2008.21,2706.11,4271.16,2042.62,0.8,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,100,46,1943.33,0.95,336.77,977.52,1869.39,2657.4,3943.04,1908.12,0.79,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,100,66,2292.53,0.95,72.0,1420.87,2370.09,3316.75,4915.96,2375.66,0.6,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,100,66,2292.53,0.94,-207.8,1337.41,2451.84,3490.28,5220.63,2464.06,0.7,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,100,54,1752.41,0.88,-412.96,591.41,1656.03,2317.01,3097.28,1489.23,0.87,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,100,54,1752.41,0.94,-120.17,891.38,1751.66,2715.04,3756.31,1810.46,0.9,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,100,62,1799.48,0.91,-339.56,621.38,1719.67,2612.56,3973.4,1750.47,0.87,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,100,62,1799.48,0.93,-38.93,907.82,1592.17,2677.79,3830.58,1757.65,0.92,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,100,70,1608.56,0.94,-56.12,895.87,1627.38,2564.81,3832.22,1750.64,0.97,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,100,70,1608.56,0.87,-504.27,688.59,1750.81,2494.19,3726.43,1628.3,0.97,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,100,56,1643.5,0.89,-242.16,610.25,1515.77,2576.51,4065.65,1627.95,0.99,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,100,56,1643.5,0.81,-848.97,712.45,2083.03,3130.26,4491.02,1932.98,0.95,1.0
