phase,candidate_id,trade_positive_prob,daily_positive_prob,weekly_positive_prob,monthly_positive_prob,trade_concentration_gate_prob,daily_concentration_gate_prob,active_day_gate_prob,all_bootstrap_positive_prob_min,diagnostic_gate_probability_pass
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,0.99,1.0,0.99,1.0,0.01,0.73,1.0,0.99,True
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,0.82,0.84,0.95,0.91,1.0,1.0,1.0,0.82,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,0.95,0.95,0.89,0.91,0.38,1.0,1.0,0.89,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,0.97,0.95,0.99,1.0,0.02,0.72,1.0,0.95,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,0.95,0.93,0.96,0.98,0.03,0.76,1.0,0.93,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,0.98,0.94,0.93,1.0,0.05,0.77,1.0,0.93,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,0.96,0.96,0.98,0.98,0.05,0.49,1.0,0.96,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,0.99,0.98,0.99,0.93,0.01,0.56,1.0,0.93,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,0.96,0.96,0.96,0.96,0.0,0.8,1.0,0.96,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,0.97,0.95,0.95,0.99,0.01,0.79,1.0,0.95,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.98,0.95,0.92,0.95,0.05,0.6,1.0,0.92,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.97,0.94,0.96,0.96,0.05,0.7,1.0,0.94,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,0.89,0.88,0.96,0.92,0.02,0.87,1.0,0.88,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,0.87,0.94,0.95,0.92,0.07,0.9,1.0,0.87,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,0.96,0.91,0.96,0.96,0.05,0.87,1.0,0.91,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,0.92,0.93,0.97,0.93,0.06,0.92,1.0,0.92,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,0.87,0.94,0.95,0.97,0.1,0.97,1.0,0.87,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,0.84,0.87,0.86,0.95,0.18,0.97,1.0,0.84,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.86,0.89,0.87,0.81,0.09,0.99,1.0,0.81,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.86,0.81,0.92,0.79,0.15,0.95,1.0,0.79,True
