phase,candidate_id,period,iterations,blocks,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit,fold_like_stability_prob
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,monthly,100,13,13,2955.14,1.0,1036.5,2328.42,3024.92,3817.64,5621.77,3140.6,1.0,1.0,1.0
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,monthly,100,12,12,1366.61,0.91,-350.78,544.63,1329.05,1922.01,2649.5,1267.6,1.0,1.0,0.91
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,monthly,100,12,12,1006.49,0.91,-183.46,453.14,972.7,1451.82,2524.71,1001.95,1.0,1.0,0.91
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,monthly,100,13,13,2955.14,1.0,1127.37,2109.7,2963.2,3985.43,5357.41,3110.82,1.0,1.0,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,monthly,100,13,13,2730.48,0.98,655.83,1648.31,2562.67,3466.07,4888.73,2624.46,1.0,1.0,0.98
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,monthly,100,13,13,2730.48,1.0,719.3,1898.12,2636.36,3850.28,5383.75,2832.57,1.0,1.0,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,monthly,100,13,13,2517.19,0.98,271.53,1308.0,2362.73,3352.28,5050.19,2442.78,1.0,1.0,0.98
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,monthly,100,13,13,2517.19,0.93,-406.85,1559.71,2528.62,3414.47,4744.67,2451.83,1.0,1.0,0.93
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,monthly,100,13,13,1943.33,0.96,371.72,1234.02,1854.24,2596.02,3701.08,1925.14,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,monthly,100,13,13,1943.33,0.99,301.64,1070.21,1836.23,2545.05,3246.44,1832.48,1.0,1.0,0.99
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,monthly,100,13,13,2292.53,0.95,115.44,1856.92,2812.6,3532.34,5320.84,2649.64,1.0,1.0,0.95
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,monthly,100,13,13,2292.53,0.96,224.41,1192.07,2376.03,3075.09,4670.07,2275.58,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,monthly,100,13,13,1752.41,0.92,-106.74,802.57,1620.09,2274.18,3408.48,1610.71,1.0,1.0,0.92
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,monthly,100,13,13,1752.41,0.92,-197.09,952.44,1623.51,2721.65,3642.15,1753.72,1.0,1.0,0.92
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,monthly,100,13,13,1799.48,0.96,207.18,1080.34,1868.85,2421.22,3345.88,1817.95,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,monthly,100,13,13,1799.48,0.93,-40.42,1036.43,1952.45,2549.73,3220.25,1780.78,1.0,1.0,0.93
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,monthly,100,13,13,1608.56,0.97,339.36,866.53,1465.47,2224.05,3193.86,1538.84,1.0,1.0,0.97
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,monthly,100,13,13,1608.56,0.95,83.85,769.9,1603.69,2293.96,3057.75,1603.72,1.0,1.0,0.95
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,monthly,100,12,12,1643.5,0.81,-711.87,385.88,1699.3,2934.99,4787.56,1756.27,1.0,1.0,0.81
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,monthly,100,12,12,1643.5,0.79,-1091.75,476.77,1807.78,2879.9,4987.98,1765.97,1.0,1.0,0.79
