phase,candidate_id,phase_stress_null_percentile,beats_phase_stress_median,beats_phase_stress_75th,trade_pool_null_pnl_gt_candidate_prob,daily_pool_null_pnl_gt_candidate_prob,beats_trade_pool_null_95,beats_daily_pool_null_95,matched_random_entry_skipped,matched_random_entry_skip_reason
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,1.0,True,True,0.28,0.31,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,0.979167,True,True,0.05,0.02,True,True,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,0.979167,True,True,0.04,0.02,True,True,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,1.0,True,True,0.34,0.3,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,0.958333,True,True,0.45,0.41,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,0.958333,True,True,0.38,0.41,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,0.916667,True,True,0.27,0.26,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,0.916667,True,True,0.25,0.27,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,0.833333,True,True,0.26,0.22,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,0.833333,True,True,0.31,0.38,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.875,True,True,0.43,0.32,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.875,True,True,0.3,0.38,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,0.75,True,False,0.38,0.39,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,0.75,True,False,0.34,0.42,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,0.791667,True,True,0.52,0.53,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,0.791667,True,True,0.53,0.45,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,0.666667,True,False,0.62,0.53,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,0.666667,True,False,0.59,0.55,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.708333,True,False,0.39,0.45,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.708333,True,False,0.4,0.5,False,False,True,Random-entry raw-bar backtester intentionally skipped; audit uses existing phase trade/daily pools only.
