phase,candidate_id,iterations,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,100,78,2955.14,0.99,1076.08,2309.67,3154.4,4230.14,6030.63,3290.73,0.01,1.0
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,100,151,1366.61,0.82,-986.31,466.01,1149.0,2224.4,3331.15,1262.29,1.0,1.0
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,100,53,1006.49,0.95,145.47,677.21,1060.13,1553.15,2236.58,1099.44,0.38,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,100,78,2955.14,0.97,196.58,1559.73,2810.52,3570.45,5983.08,2771.05,0.02,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,100,87,2730.48,0.95,48.67,1938.77,2725.28,3827.92,5753.02,2838.0,0.03,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,100,87,2730.48,0.98,264.23,1889.13,2867.11,4018.95,5881.76,2889.61,0.05,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,100,57,2517.19,0.96,93.13,1489.93,2390.5,3445.19,4740.99,2447.27,0.05,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,100,57,2517.19,0.99,885.36,1704.1,2537.19,3157.74,4600.55,2515.95,0.01,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,100,46,1943.33,0.96,184.1,1140.17,2158.4,3039.08,4175.66,2116.53,0.0,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,100,46,1943.33,0.97,300.85,1133.74,2033.51,2822.84,3709.75,1967.4,0.01,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,100,66,2292.53,0.98,326.45,1896.59,2698.46,3452.5,5466.88,2750.54,0.05,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,100,66,2292.53,0.97,175.03,1509.61,2461.59,3063.56,5307.03,2407.58,0.05,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,100,54,1752.41,0.89,-269.08,983.32,1573.29,2360.63,3398.14,1617.21,0.02,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,100,54,1752.41,0.87,-557.84,778.47,1744.41,2652.88,3992.77,1728.29,0.07,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,100,62,1799.48,0.96,112.27,1030.61,2001.29,2767.42,3551.9,1899.16,0.05,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,100,62,1799.48,0.92,-97.3,927.42,1614.35,2665.18,3626.68,1758.91,0.06,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,100,70,1608.56,0.87,-378.18,393.91,1333.99,2055.81,3396.85,1310.92,0.1,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,100,70,1608.56,0.84,-482.64,523.25,1406.43,2473.94,3970.82,1534.48,0.18,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,100,56,1643.5,0.86,-870.58,730.66,1552.86,2571.97,3851.97,1598.43,0.09,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,100,56,1643.5,0.86,-945.94,524.53,1449.6,2781.39,3731.0,1536.67,0.15,1.0
