phase,candidate_id,period,iterations,blocks,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit,fold_like_stability_prob
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,weekly,100,45,45,2955.14,0.99,559.02,1674.09,2886.19,3847.84,5210.47,2816.22,1.0,1.0,0.99
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,weekly,100,46,46,1366.61,0.95,28.38,812.93,1598.49,2271.74,3206.3,1536.82,1.0,1.0,0.95
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,weekly,100,39,39,1006.49,0.89,-147.42,414.1,866.95,1462.33,2188.4,940.33,1.0,1.0,0.89
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,weekly,100,45,45,2955.14,0.99,1038.03,2207.21,2930.91,4119.35,5063.1,3072.19,1.0,1.0,0.99
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,weekly,100,47,47,2730.48,0.96,237.99,1732.57,2462.26,3784.74,4955.7,2634.3,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,weekly,100,47,47,2730.48,0.93,-208.26,1932.33,2733.15,3587.72,5399.65,2739.22,1.0,1.0,0.93
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,weekly,100,36,36,2517.19,0.98,214.43,1819.47,2372.34,3340.75,4930.24,2542.42,1.0,1.0,0.98
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,weekly,100,36,36,2517.19,0.99,616.45,1793.87,2453.9,3241.41,4360.82,2516.68,1.0,1.0,0.99
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,weekly,100,31,31,1943.33,0.96,115.07,929.16,1959.14,2614.27,3535.75,1842.96,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,weekly,100,31,31,1943.33,0.95,4.92,1316.54,1952.41,2876.29,3701.59,1978.92,1.0,1.0,0.95
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,weekly,100,38,38,2292.53,0.92,-55.99,1312.1,2188.91,3227.24,4860.92,2274.7,1.0,1.0,0.92
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,weekly,100,38,38,2292.53,0.96,354.17,1191.71,1989.65,2931.86,4121.22,2065.25,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,weekly,100,34,34,1752.41,0.96,93.45,969.89,1807.67,2470.81,3503.11,1823.25,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,weekly,100,34,34,1752.41,0.95,115.0,1014.13,1699.79,2725.3,4067.47,1882.03,1.0,1.0,0.95
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,weekly,100,40,40,1799.48,0.96,338.5,1069.61,1868.14,2661.85,3786.45,1907.39,1.0,1.0,0.96
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,weekly,100,40,40,1799.48,0.97,210.52,1127.69,2138.6,2711.36,4095.21,2045.63,1.0,1.0,0.97
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,weekly,100,43,43,1608.56,0.95,46.98,882.83,1755.15,2509.33,3733.23,1752.55,1.0,1.0,0.95
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,weekly,100,43,43,1608.56,0.86,-314.58,521.25,1424.89,2177.33,3183.71,1417.73,1.0,1.0,0.86
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,weekly,100,33,33,1643.5,0.87,-671.17,696.47,1476.23,2319.44,3244.8,1463.7,1.0,1.0,0.87
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,weekly,100,33,33,1643.5,0.92,-194.34,806.96,1513.14,2360.64,3438.16,1554.95,1.0,1.0,0.92
