pruning_variant,priority_policy,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
keep_only_diversifiers_plus_top_core,concentration_adjusted_priority,max_one_trade_per_session,0.223584,0.223584,0.5229,0.804927
keep_only_diversifiers_plus_top_core,concentration_adjusted_priority,one_trade_at_a_time_chronological,0.21071,0.134614,0.441451,0.478675
keep_only_diversifiers_plus_top_core,hybrid_validation_then_correlation,max_one_trade_per_session,0.223584,0.223584,0.5229,0.804927
keep_only_diversifiers_plus_top_core,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,0.21071,0.134614,0.441451,0.478675
keep_only_diversifiers_plus_top_core,lowest_correlation_first,max_one_trade_per_session,0.223584,0.223584,0.5229,0.804927
keep_only_diversifiers_plus_top_core,lowest_correlation_first,one_trade_at_a_time_chronological,0.21071,0.134614,0.441451,0.478675
keep_only_diversifiers_plus_top_core,rare_setup_first,max_one_trade_per_session,0.223584,0.223584,0.5229,0.804927
keep_only_diversifiers_plus_top_core,rare_setup_first,one_trade_at_a_time_chronological,0.21071,0.134614,0.441451,0.478675
keep_only_positive_accepted_contributors,concentration_adjusted_priority,max_one_trade_per_session,0.205616,0.205616,0.489196,0.712347
keep_only_positive_accepted_contributors,concentration_adjusted_priority,one_trade_at_a_time_chronological,0.129492,0.122904,0.327461,0.448496
keep_only_positive_accepted_contributors,hybrid_validation_then_correlation,max_one_trade_per_session,0.196154,0.196154,0.466687,0.67957
keep_only_positive_accepted_contributors,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,0.131303,0.124623,0.332041,0.454768
keep_only_positive_accepted_contributors,lowest_correlation_first,max_one_trade_per_session,0.196154,0.196154,0.466687,0.67957
keep_only_positive_accepted_contributors,lowest_correlation_first,one_trade_at_a_time_chronological,0.131303,0.124623,0.332041,0.454768
keep_only_positive_accepted_contributors,rare_setup_first,max_one_trade_per_session,0.196154,0.196154,0.466687,0.67957
keep_only_positive_accepted_contributors,rare_setup_first,one_trade_at_a_time_chronological,0.131303,0.124623,0.332041,0.454768
no_pruning_baseline,concentration_adjusted_priority,max_one_trade_per_session,0.281527,0.281527,0.669804,0.975341
no_pruning_baseline,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_pruning_baseline,hybrid_validation_then_correlation,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
