trading_session,overnight_high,overnight_low,overnight_volume,overnight_midpoint,overnight_range_points,overnight_range_percentile,gap_from_prior_rth_close
2025-07-14,22944.75,22802.25,290441,22873.5,142.5,0.21031746031746032,
2025-07-15,23219.5,22996.25,363520,23107.875,223.25,0.4722222222222222,165.75
2025-07-16,23084.25,22928.5,284676,23006.375,155.75,0.28174603174603174,22.5
2025-07-17,23158.25,23017.0,281506,23087.625,141.25,0.20634920634920634,25.75
2025-07-18,23320.5,23245.5,219738,23283.0,75.0,0.023809523809523808,42.75
2025-07-21,23309.0,23204.5,204585,23256.75,104.5,0.0873015873015873,29.5
2025-07-22,23367.75,23267.25,238012,23317.5,100.5,0.07539682539682539,1.75
2025-07-23,23283.25,23170.25,268524,23226.75,113.0,0.11507936507936507,40.5
2025-07-24,23422.5,23326.75,228976,23374.625,95.75,0.06349206349206349,49.5
2025-07-25,23442.0,23343.25,205729,23392.625,98.75,0.06944444444444445,-16.0
2025-07-28,23585.0,23464.75,242839,23524.875,120.25,0.1388888888888889,50.25
2025-07-29,23615.0,23503.0,193676,23559.0,112.0,0.1111111111111111,103.75
2025-07-30,23521.5,23448.25,193929,23484.875,73.25,0.01984126984126984,30.25
2025-07-31,23848.0,23688.25,297200,23768.125,159.75,0.29365079365079366,263.5
2025-08-01,23347.5,23031.25,569204,23189.375,316.25,0.6944444444444444,-265.75
2025-08-04,23097.25,22822.0,373820,22959.625,275.25,0.5912698412698413,213.5
2025-08-05,23404.25,23312.25,311292,23358.25,92.0,0.047619047619047616,52.0
2025-08-06,23227.25,23045.25,346112,23136.25,182.0,0.373015873015873,35.0
2025-08-07,23638.0,23385.25,350948,23511.625,252.75,0.5595238095238095,176.25
2025-08-08,23583.25,23503.25,228853,23543.25,80.0,0.027777777777777776,39.75
2025-08-11,23773.5,23667.75,261850,23720.625,105.75,0.0992063492063492,2.0
2025-08-12,23822.25,23596.0,329530,23709.125,226.25,0.48412698412698413,94.5
2025-08-13,24046.5,23921.0,210391,23983.75,125.5,0.15079365079365079,110.5
2025-08-14,23965.0,23793.25,254674,23879.125,171.75,0.3253968253968254,-85.0
2025-08-15,23962.75,23871.5,228144,23917.125,91.25,0.04365079365079365,-12.25
2025-08-18,23882.0,23738.75,233158,23810.375,143.25,0.21825396825396826,-37.0
2025-08-19,23839.75,23730.75,232355,23785.25,109.0,0.10714285714285714,-34.25
2025-08-20,23489.0,23334.25,340767,23411.625,154.75,0.2777777777777778,-44.5
2025-08-21,23369.5,23207.5,336112,23288.5,162.0,0.30158730158730157,-64.5
2025-08-22,23281.0,23074.25,307714,23177.625,206.75,0.44047619047619047,46.75
2025-08-25,23610.0,23462.0,268921,23536.0,148.0,0.24206349206349206,-69.0
2025-08-26,23520.5,23371.25,331583,23445.875,149.25,0.24603174603174602,-25.25
2025-08-27,23629.0,23535.75,218211,23582.375,93.25,0.051587301587301584,-45.5
2025-08-28,23662.0,23486.75,317705,23574.375,175.25,0.34523809523809523,20.5
2025-08-29,23762.75,23612.0,266693,23687.375,150.75,0.25793650793650796,-114.25
2025-09-01,23555.25,23371.5,238637,23463.375,183.75,0.376984126984127,2.75
2025-09-02,23511.0,23060.0,485535,23285.5,451.0,0.876984126984127,-402.5
2025-09-03,23458.5,23299.75,312941,23379.125,158.75,0.2896825396825397,146.25
2025-09-04,23535.75,23430.5,274232,23483.125,105.25,0.09523809523809523,28.25
2025-09-05,23898.75,23691.75,321117,23795.25,207.0,0.44642857142857145,208.25
