candidate_id,instrument,branch,side,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,atr_cap_multiple,buffer_ticks,target_r,max_trades_per_day,min_minutes_between_entries,time_stop_minutes
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,5,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,5,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,5,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,5,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_long_tf15_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45
MNQ_10a_onrange_overnight_range_breakout_long_tf15_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45
MNQ_10a_onrange_overnight_range_breakout_long_tf15_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45
MNQ_10a_onrange_overnight_range_breakout_long_tf15_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45
MNQ_10a_onrange_overnight_range_breakout_long_tf15_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,15,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45
MNQ_10a_onrange_overnight_range_breakout_long_tf15_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45
MNQ_10a_onrange_overnight_range_breakout_short_tf5_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_short_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,short,5,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_short_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_short_tf5_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30
MNQ_10a_onrange_overnight_range_breakout_short_tf5_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,short,5,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30
