phase11a_rank,candidate_id,instrument,branch,side,or_window,or_start,or_end,entry_window,entry_start,entry_end,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,phase11a_label,research_axis_status,phase11a_score,reject_reasons
1,MNQ_11a_orfade_long_low_fade_OR5_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,126,92,1.369565,1944.57,1599.33,1599.33,1599.33,1473.33,252.52,-193.26,-499.92,0.287946,0.259959,88.92,65.96,0.388889,0.0,0.611111,528.28,449.28,0.5,-329.9,0,phase11a_rejected_negative_holdout,axis_positive_but_unstable,732.96,negative holdout; fold instability; concentration
2,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,151,98,1.540816,1780.35,1366.61,1366.61,1366.61,1215.61,82.84,303.5,-597.59,0.263982,0.263982,81.86,62.02,0.496689,0.0,0.503311,667.23,576.23,0.5,-310.3,0,phase11a_rejected_fold_instability,axis_positive_but_concentrated,624.34,fold instability; concentration
3,MNQ_11a_orfade_long_low_fade_OR30_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,69,69,1.0,1288.0,1098.94,1098.94,1098.94,1029.94,-762.38,742.12,-947.32,0.270725,0.270725,90.22,65.8,0.449275,0.492754,0.057971,516.89,477.89,0.5,-421.7,0,phase11a_rejected_negative_validation,axis_positive_but_concentrated,-43.115,negative validation; fold instability; concentration
4,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,183,152,1.203947,1544.06,1042.64,1042.64,1042.64,859.64,720.79,1112.58,-1519.15,0.3954,0.3954,119.48,96.22,0.622951,0.0,0.377049,1099.45,993.45,0.666667,-521.64,0,phase11a_rejected_fold_instability,axis_positive_but_concentrated,-893.06,fold instability; concentration
5,MNQ_11a_orfade_long_low_fade_OR30_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,139,95,1.463158,771.81,390.95,390.95,390.95,251.95,1150.47,-188.28,-1436.5,0.839033,0.649086,64.89,62.59,0.410072,0.381295,0.208633,754.07,674.07,0.666667,-502.89,0,phase11a_rejected_negative_holdout,axis_positive_but_unstable,-3955.645,negative holdout; fold instability; concentration
6,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,127,114,1.114035,803.58,455.6,455.59,455.59,328.59,92.1,337.14,-1087.56,0.9016,0.9016,112.29,95.18,0.543307,0.0,0.456693,334.26,263.26,0.666667,-350.0,0,phase11a_rejected_fold_instability,axis_positive_but_concentrated,-4253.71,fold instability; concentration
7,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,151,98,1.540816,312.78,-100.96,-100.96,-100.96,-251.96,49.34,-139.75,-399.03,1.0,1.0,52.17,50.42,0.410596,0.503311,0.086093,28.16,-62.84,0.333333,-147.3,0,phase11a_rejected_negative_stress,axis_positive_but_cost_sensitive,-4963.83,negative stress; negative holdout; fold instability; concentration
8,MNQ_11a_orfade_long_low_fade_OR30_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,55,55,1.0,114.0,-36.7,-36.7,-36.7,-91.7,-381.9,134.6,-757.42,1.0,1.0,70.39,65.51,0.327273,0.618182,0.054545,12.56,-18.44,0.5,-251.2,0,phase11a_rejected_low_activity,axis_positive_but_cost_sensitive,-5117.56,low activity; negative stress; negative validation; fold instability; concentration
9,MNQ_11a_orfade_long_low_fade_OR30_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR30,09:30,10:00,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,156,105,1.485714,-55.84,-483.28,-483.28,-483.28,-639.28,704.14,-290.27,-1195.22,1.0,1.0,71.46,62.55,0.525641,0.269231,0.205128,255.04,168.04,0.5,-310.38,0,phase11a_rejected_negative_stress,axis_failed,-5916.46,negative stress; negative holdout; fold instability; concentration
10,MNQ_11a_orfade_short_high_fade_OR5_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,112,80,1.4,120.0,-186.88,-186.88,-186.88,-298.88,-120.5,-795.03,-1029.85,1.0,1.0,51.11,56.59,0.303571,0.669643,0.026786,-501.81,-571.81,0.333333,-740.52,0,phase11a_rejected_negative_stress,axis_positive_but_cost_sensitive,-6150.54,negative stress; negative validation; negative holdout; fold instability; concentration
11,MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,125,113,1.106195,247.56,-94.94,-94.94,-94.94,-219.94,-458.73,1017.75,-1553.77,1.0,1.0,70.2,67.34,0.4,0.584,0.016,-115.21,-188.21,0.166667,-648.87,0,phase11a_rejected_negative_stress,axis_positive_but_cost_sensitive,-6211.92,negative stress; negative validation; fold instability; concentration
12,MNQ_11a_orfade_long_low_fade_OR5_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,126,92,1.369565,-238.97,-584.21,-584.21,-584.21,-710.21,-188.73,-151.51,-895.05,1.0,1.0,48.94,50.96,0.293651,0.642857,0.063492,-321.22,-400.22,0.333333,-398.88,0,phase11a_rejected_negative_stress,axis_failed,-6255.48,negative stress; negative validation; negative holdout; fold instability; concentration
13,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,127,114,1.114035,-209.5,-557.48,-557.48,-557.48,-684.48,-388.03,550.47,-1239.9,1.0,1.0,57.88,57.16,0.275591,0.724409,0.0,-33.29,-104.29,0.333333,-266.15,0,phase11a_rejected_negative_stress,axis_failed,-6278.67,negative stress; negative validation; fold instability; concentration
14,MNQ_11a_orfade_short_high_fade_OR5_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,150,103,1.456311,-142.41,-553.41,-553.41,-553.41,-703.41,87.94,-77.93,-759.34,1.0,1.0,60.96,57.52,0.446667,0.513333,0.04,-701.53,-794.53,0.333333,-658.87,0,phase11a_rejected_negative_stress,axis_failed,-6507.28,negative stress; negative holdout; fold instability; concentration
15,MNQ_11a_orfade_long_low_fade_OR15_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,127,89,1.426966,-409.45,-757.43,-757.43,-757.43,-884.43,70.81,-894.19,-1074.22,1.0,1.0,55.23,59.27,0.393701,0.480315,0.125984,-396.46,-472.46,0.333333,-847.34,0,phase11a_rejected_negative_stress,axis_failed,-6681.11,negative stress; negative holdout; fold instability; concentration
