candidate_id,instrument,branch,side,or_window,or_start,or_end,entry_window,entry_start,entry_end,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_opening_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR5_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR15_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30
MNQ_11a_orfade_short_high_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30
