candidate_id,trading_session,pnl,trades
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-05-18,431.76,1
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-02-12,385.76,1
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-12,352.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-02-04,347.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-01-14,339.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-01-14,339.26,1
MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-07-02,338.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-01-14,336.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-01-14,336.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-23,330.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-01-29,328.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-12-17,325.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-12-17,325.76,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-05-12,323.26,1
MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-05-12,309.76,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-05-21,308.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-11-06,307.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-06-24,304.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-12-17,299.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-10-15,289.76,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2026-02-04,278.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-01-29,273.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2026-01-14,261.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2026-01-14,261.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-02-03,259.76,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-05-21,257.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,2026-01-14,256.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,2026-01-14,256.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-04-20,246.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-04-20,245.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-07-31,243.76,1
MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-07-31,243.76,1
MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-09-24,238.76,1
MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-09-24,238.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-10-15,237.26,1
MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-09-24,234.76,1
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-11-06,231.26,1
MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-10-07,230.26,1
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-11-19,226.76,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-20,221.76,1
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-20,221.76,1
MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-20,221.76,1
MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-20,221.76,1
MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2025-10-22,217.26,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2026-01-21,216.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2025-11-03,215.26,1
MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2026-02-04,214.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2026-05-18,212.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-10-15,211.26,1
