phase12a_rank,candidate_id,instrument,branch,side,od_window,od_start,od_end,pullback_anchor,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,first_pullback_only_count,skipped_non_first_pullbacks,phase12a_label,research_axis_status,phase12a_score,reject_reasons
1,MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD15,09:30,09:45,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,37,37,1.0,1358.16,1256.78,1256.78,1256.78,1219.78,390.48,-180.15,-351.71,0.263181,0.263181,138.2,92.22,0.324324,0.0,0.675676,996.89,975.89,0.666667,-121.48,0,37,32,phase12a_rejected_low_activity,axis_positive_but_unstable,1278.055,low activity; negative holdout; fold instability; concentration
2,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,53,53,1.0,1151.71,1006.49,1006.49,1006.49,953.49,41.79,226.88,-316.9,0.225298,0.225298,93.43,61.81,0.471698,0.0,0.528302,474.05,440.05,0.5,-128.72,0,53,95,phase12a_rejected_low_activity,axis_positive_but_concentrated,700.15,low activity; fold instability; concentration
3,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,46,46,1.0,887.85,761.81,761.81,761.81,715.81,313.11,51.38,-378.72,0.291096,0.291096,81.25,66.36,0.282609,0.0,0.717391,648.77,617.77,0.666667,-183.46,0,46,32,phase12a_rejected_low_activity,axis_positive_but_concentrated,249.38,low activity; fold instability; concentration
4,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,45,45,1.0,805.43,682.13,682.13,682.13,637.13,381.0,495.83,-516.76,0.325099,0.325099,77.4,67.41,0.4,0.0,0.6,511.23,482.23,0.666667,-209.81,0,45,55,phase12a_rejected_low_activity,axis_positive_but_concentrated,-272.895,low activity; fold instability; concentration
5,MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD15,09:30,09:45,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,41,41,1.0,834.11,721.77,721.77,721.77,680.77,-13.92,366.82,-576.27,0.454799,0.454799,122.99,74.22,0.463415,0.0,0.536585,965.46,944.46,0.666667,-161.46,0,41,84,phase12a_rejected_low_activity,axis_positive_but_unstable,-475.035,low activity; negative validation; fold instability; concentration
6,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,45,45,1.0,507.26,383.96,383.96,383.96,338.96,131.0,162.33,-230.05,0.387436,0.387436,55.61,50.4,0.311111,0.533333,0.155556,411.56,382.56,0.833333,-24.91,0,45,55,phase12a_rejected_low_activity,axis_positive_but_concentrated,-695.71,low activity; fold instability; concentration
7,MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,34,34,1.0,941.55,848.39,848.39,848.39,814.39,-29.8,972.3,-762.07,0.398708,0.398708,118.22,67.1,0.529412,0.0,0.470588,362.21,346.21,0.5,-153.05,0,34,49,phase12a_rejected_low_activity,axis_positive_but_unstable,-845.01,low activity; negative validation; fold instability; concentration
8,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD30,09:30,10:00,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,41,41,1.0,583.31,470.97,470.97,470.97,429.97,92.84,200.26,-388.06,0.819076,0.819076,115.83,68.6,0.536585,0.0,0.463415,519.22,497.22,0.666667,-219.94,0,41,72,phase12a_rejected_low_activity,axis_positive_but_concentrated,-2806.25,low activity; fold instability; concentration
9,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,55,55,1.0,418.12,267.42,267.42,267.42,212.42,139.04,123.22,-283.45,0.782514,0.782514,54.96,44.96,0.309091,0.509091,0.181818,337.62,302.62,0.5,-138.13,0,55,57,phase12a_rejected_low_activity,axis_positive_but_concentrated,-2930.98,low activity; fold instability; concentration
10,MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,29,29,1.0,305.93,226.47,226.47,226.47,197.47,-137.12,10.52,-234.05,0.813618,0.813618,76.07,60.69,0.310345,0.448276,0.241379,14.2,-0.8,0.5,-126.57,0,29,30,phase12a_rejected_low_activity,axis_positive_but_unstable,-3355.47,low activity; negative validation; fold instability; concentration
