candidate_id,instrument,branch,side,od_window,od_start,od_end,pullback_anchor,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD15,09:30,09:45,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1
