candidate_id,signal_time,confirmation_time,entry_time,trading_session,side,branch,od_window,pullback_anchor,confirmation_model,exit_variant,signal_close,opening_drive_high,opening_drive_low,opening_drive_midpoint,opening_drive_width_points,opening_drive_width_bucket,opening_drive_close_position,opening_drive_close_position_bucket,ema20,atr,extension_high,extension_low,extension_extreme,extension_distance_points,extension_distance_bucket,pullback_low,pullback_high,pullback_depth_points,pullback_depth_bucket,first_pullback_only,skipped_non_first_pullbacks,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,od_start,od_end,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,split,fees_only_pnl,normal_slippage_pnl
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-07-17 10:25:00-04:00,2025-07-17 10:25:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23154.5,23128.25,23065.75,23097.0,62.5,wide,0.904,top_30,23124.301769438676,30.166666666666668,23175.25,23065.75,23175.25,47.0,large,23123.0,23156.0,52.25,large,1,0,23154.25,2025-07-17 11:00:00-04:00,23216.0,time_stop,23122.75,23116.5417,23122.75,23175.25,123.5,120.76,119.76,125.0,15.0,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,120.76,120.76
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-07-28 09:55:00-04:00,2025-07-28 09:55:00-04:00,2025-07-28 10:00:00-04:00,2025-07-28,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23520.0,23505.0,23462.5,23483.75,42.5,middle,0.770588,top_30,23497.88849082087,32.916666666666664,23525.0,23462.5,23525.0,20.0,large,23500.5,23521.25,24.5,large,1,1,23520.25,2025-07-28 10:10:00-04:00,23500.25,stop,23500.25,23479.1042,23500.25,23525.0,-40.0,-42.74,-43.74,15.0,46.5,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-42.74,-42.74
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:35:00-04:00,2025-07-30,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23515.25,23509.75,23450.25,23480.0,59.5,middle,0.970588,top_30,23493.101111815213,26.634615384615383,23522.25,23450.25,23522.25,12.5,medium,23503.5,23529.0,18.75,large,1,1,23515.0,2025-07-30 11:05:00-04:00,23503.25,stop,23503.25,23481.7067,23503.25,23522.25,-23.5,-26.24,-27.24,52.5,27.0,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-26.240000000000002,-26.24
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-08-04 10:55:00-04:00,2025-08-04 10:55:00-04:00,2025-08-04 11:00:00-04:00,2025-08-04,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23215.25,23197.0,23088.75,23142.875,108.25,wide,0.928406,top_30,23212.107001341865,30.696428571428573,23263.75,23088.75,23263.75,66.75,large,23194.0,23216.0,69.75,large,1,2,23214.75,2025-08-04 11:00:00-04:00,23193.75,stop,23193.75,23176.3795,23193.75,23263.75,-42.0,-44.74,-45.74,18.5,54.5,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-44.74,-44.74
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-08-05 09:50:00-04:00,2025-08-05 09:50:00-04:00,2025-08-05 09:55:00-04:00,2025-08-05,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23389.5,23366.75,23303.5,23335.125,63.25,wide,0.853755,top_30,23329.542866655353,41.3,23397.25,23303.5,23397.25,30.5,large,23362.5,23392.75,34.75,large,1,0,23389.75,2025-08-05 10:00:00-04:00,23362.25,stop,23362.25,23338.125,23362.25,23397.25,-55.0,-57.74,-58.74,2.0,155.5,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-57.74,-57.74
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-08-08 11:45:00-04:00,2025-08-08 11:45:00-04:00,2025-08-08 11:50:00-04:00,2025-08-08,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23647.0,23614.25,23530.0,23572.125,84.25,wide,0.875371,top_30,23648.83713502191,22.821428571428573,23702.75,23530.0,23702.75,88.5,large,23613.0,23651.5,89.75,large,1,0,23647.25,2025-08-08 12:20:00-04:00,23696.0,time_stop,23612.75,23618.7232,23618.7232,23702.75,97.5,94.76,93.76,119.0,1.0,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,94.76,94.76
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-08-11 10:10:00-04:00,2025-08-11 10:10:00-04:00,2025-08-11 10:15:00-04:00,2025-08-11,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23746.25,23738.5,23681.0,23709.75,57.5,middle,0.830435,top_30,23712.2370508918,30.694444444444443,23745.0,23681.0,23745.0,6.5,medium,23735.25,23759.25,9.75,medium,1,6,23746.25,2025-08-11 10:45:00-04:00,23735.0,stop,23735.0,23707.8819,23735.0,23746.5,-22.5,-25.24,-26.24,42.5,58.0,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-25.240000000000002,-25.24
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-08-14 09:55:00-04:00,2025-08-14 09:55:00-04:00,2025-08-14 10:00:00-04:00,2025-08-14,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23936.5,23924.0,23841.25,23882.625,82.75,wide,0.981873,top_30,23912.052572096036,38.166666666666664,23937.75,23841.25,23937.75,13.75,medium,23897.75,23940.0,40.0,large,1,4,23936.0,2025-08-14 10:30:00-04:00,23973.0,time_stop,23897.5,23888.2917,23897.5,23937.75,74.0,71.26,70.26,88.0,62.5,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,71.26,71.26
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-08-22 10:00:00-04:00,2025-08-22 10:00:00-04:00,2025-08-22 10:05:00-04:00,2025-08-22,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23486.5,23324.0,23206.25,23265.125,117.75,wide,0.985138,top_30,23281.589767047994,86.60714285714286,23337.25,23206.25,23337.25,13.25,medium,23269.5,23536.0,67.75,large,1,0,23486.5,2025-08-22 10:35:00-04:00,23585.5,time_stop,23269.25,23378.2411,23378.2411,23486.75,198.0,195.26,194.26,294.0,7.0,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,195.26,195.26
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-09-01 09:50:00-04:00,2025-09-01 09:50:00-04:00,2025-09-01 09:55:00-04:00,2025-09-01,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23489.5,23484.0,23443.25,23463.625,40.75,middle,0.93865,top_30,23467.82427974969,17.95,23486.25,23443.25,23486.25,2.25,small,23483.25,23495.0,3.0,small,1,5,23489.5,2025-09-01 10:10:00-04:00,23483.0,stop,23483.0,23467.0625,23483.0,23489.75,-13.0,-15.74,-16.74,8.5,13.0,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-15.74,-15.74
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-09-08 09:50:00-04:00,2025-09-08 09:50:00-04:00,2025-09-08 09:55:00-04:00,2025-09-08,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,23865.25,23846.75,23771.25,23809.0,75.5,wide,0.798013,top_30,23826.67725767556,43.4,23852.0,23771.25,23852.0,5.25,medium,23830.0,23865.75,22.0,large,1,4,23865.25,2025-09-08 10:00:00-04:00,23829.75,stop,23829.75,23811.0,23829.75,23865.5,-71.0,-73.74,-74.74,22.5,76.5,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-73.74,-73.74
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-09-22 10:15:00-04:00,2025-09-22 10:15:00-04:00,2025-09-22 10:20:00-04:00,2025-09-22,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,24872.5,24858.25,24814.25,24836.25,44.0,middle,0.744318,top_30,24859.831633026635,25.175,24889.0,24814.25,24889.0,30.75,large,24858.5,24879.0,30.5,large,1,0,24872.75,2025-09-22 10:50:00-04:00,24919.75,time_stop,24858.25,24841.2812,24858.25,24889.0,94.0,91.26,90.26,117.0,0.5,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,91.26,91.26
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-10-08 09:50:00-04:00,2025-10-08 09:50:00-04:00,2025-10-08 09:55:00-04:00,2025-10-08,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,25164.5,25152.75,25073.25,25113.0,79.5,wide,0.748428,top_30,25133.142150132917,40.35,25166.0,25073.25,25166.0,13.25,medium,25142.75,25169.0,23.25,large,1,0,25164.75,2025-10-08 10:25:00-04:00,25216.5,time_stop,25142.5,25114.3125,25142.5,25166.0,103.5,100.76,99.76,132.5,9.5,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,100.76,100.76
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-10-16 10:35:00-04:00,2025-10-16 10:35:00-04:00,2025-10-16 10:40:00-04:00,2025-10-16,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,25125.75,25106.0,25036.0,25071.0,70.0,wide,0.792857,top_30,25082.579226574035,50.94642857142857,25112.0,25036.0,25112.0,6.0,medium,25103.75,25145.75,8.25,medium,1,1,25126.25,2025-10-16 10:55:00-04:00,25103.5,stop,25103.5,25062.567,25103.5,25126.5,-45.5,-48.24,-49.24,107.0,60.5,0,1,0,0,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,-48.24,-48.24
MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2025-10-23 10:20:00-04:00,2025-10-23 10:20:00-04:00,2025-10-23 10:25:00-04:00,2025-10-23,long,long_first_pullback,OD15,drive_boundary_retest,resume_close_fill_next_open,hard_stop_time_exit,25154.75,25092.75,24998.75,25045.75,94.0,wide,0.994681,top_30,25095.1429440202,46.02272727272727,25179.75,24998.75,25179.75,87.0,large,25083.75,25157.25,96.0,large,1,0,25155.25,2025-10-23 10:55:00-04:00,25189.75,time_stop,25083.5,25097.7216,25097.7216,25179.75,69.0,66.26,65.26,88.0,44.0,0,0,0,1,MNQ,09:30,09:45,5,1.25,1,30,1,discovery,66.26,66.26
