phase13a_rank,candidate_id,instrument,family,branch,side,entry_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,level_source,build_start,build_end,trade_start,trade_end,behavior,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,invalid_risk_skipped_count,signals_found,skipped_extra_signals_same_day,phase13a_label,signal_evidence_status,tradability_status,research_track,reject_reasons,paper_trading_approved,phase13a_score
1,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,123,123,1.0,1220.02,883.0,760.0,1407.83,69.79,-1098.25,0.341744,0.341744,89.35,83.38,0.235772,0.01626,0.747967,749.08,675.08,0.5,-745.25,0.078818,0.246257,0.076755,0.246257,0,123,3346,phase13a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_concentrated,parked_research_signal,fold instability; concentration,False,336.83
2,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,123,123,1.0,1216.02,879.0,756.0,1407.83,100.29,-1132.75,0.343299,0.343299,89.35,83.38,0.235772,0.0,0.764228,779.58,705.58,0.5,-745.25,0.078738,0.248042,0.076492,0.248042,0,123,3346,phase13a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_concentrated,parked_research_signal,fold instability; concentration,False,328.83
3,MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_fade,lunch_range_fade_short,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,fade,116,116,1.0,266.98,-50.86,-166.86,356.48,26.15,-845.64,1.0,1.0,58.31,41.26,0.62069,0.0,0.37931,322.28,255.28,0.333333,-507.15,0.054172,0.085413,0.03683,0.074933,0,116,1179,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; fold instability; concentration,False,-757.22
4,MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_short,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,89,89,1.0,382.55,138.69,49.69,64.92,173.7,-811.79,4.151417,4.151417,61.16,44.68,0.573034,0.0,0.426966,-106.26,-154.26,0.333333,-410.76,0.03157,0.068232,0.034437,0.068232,0,89,456,phase13a_rejected_fold_instability,weak_research_signal,not_tradable_concentrated,parked_research_signal,fold instability; concentration,False,-916.36
5,MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_long,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,75,75,1.0,376.38,170.88,95.88,109.72,-695.21,-857.25,2.225304,2.225304,61.22,54.67,0.466667,0.0,0.533333,-118.59,-166.59,0.5,-460.84,0.061279,0.244958,0.092977,0.244958,0,75,437,phase13a_rejected_negative_holdout,weak_research_signal,not_tradable_concentrated,parked_research_signal,negative holdout; fold instability; concentration,False,-927.96
6,MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,99,99,1.0,204.79,-66.47,-165.47,-269.01,95.1,-685.56,1.0,1.0,61.72,59.63,0.383838,0.060606,0.555556,-36.45,-93.45,0.5,-391.84,0.090127,0.143787,0.078295,0.143787,0,99,498,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-944.48
7,MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_long,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,75,75,1.0,168.74,-36.76,-111.76,52.34,-448.31,-637.85,1.0,1.0,42.22,45.76,0.333333,0.533333,0.133333,-196.28,-244.28,0.5,-376.5,0.037269,0.112238,0.0415,0.112238,0,75,437,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-993.89
8,MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_short,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,74,74,1.0,438.91,236.15,162.15,649.32,-838.14,-978.73,1.40487,1.40487,78.66,61.51,0.418919,0.135135,0.445946,-180.9,-227.9,0.333333,-584.14,0.064145,0.119002,0.070424,0.127864,0,74,356,phase13a_rejected_negative_holdout,weak_research_signal,not_tradable_concentrated,parked_research_signal,negative holdout; fold instability; concentration,False,-1044.48
9,MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,120,120,1.0,63.73,-265.07,-385.07,115.15,668.16,-1148.29,1.0,1.0,60.34,59.95,0.375,0.0,0.625,469.0,398.0,0.666667,-301.32,0.063141,0.163276,0.092801,0.163276,0,120,1423,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; fold instability; concentration,False,-1135.36
10,MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_long,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,118,118,1.0,205.84,-117.48,-235.48,1034.33,-374.91,-1185.77,1.0,1.0,83.8,86.19,0.29661,0.008475,0.694915,330.94,260.94,0.666667,-855.99,0.068077,0.229102,0.101635,0.229102,0,118,3141,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1160.31
11,MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,99,99,1.0,55.79,-215.47,-314.47,-269.01,17.6,-682.06,1.0,1.0,62.03,59.63,0.383838,0.0,0.616162,-110.45,-167.45,0.5,-391.84,0.092917,0.148253,0.074027,0.148253,0,99,498,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-1163.98
12,MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,120,120,1.0,85.78,-243.02,-363.02,37.15,627.66,-1085.74,1.0,1.0,59.58,58.3,0.366667,0.025,0.608333,350.5,279.5,0.666667,-301.32,0.064896,0.152863,0.090666,0.152863,0,120,1423,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; fold instability; concentration,False,-1169.26
