candidate_id,trading_session,pnl,trades
MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-11-20,719.26,1
MNQ_13a_power_hour_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-17,695.26,1
MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-17,575.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,2025-11-20,573.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-02-26,477.26,1
MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-17,467.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-02-12,465.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-02-12,465.26,1
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-06-11,463.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,448.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-07-02,435.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-07-02,435.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-21,423.26,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-06-05,396.26,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-05,396.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-07-02,392.76,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-07-02,392.76,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-03-09,390.26,1
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-11,386.26,1
MNQ_13a_lunch_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-04-23,382.76,1
MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-11-19,380.26,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_structure_target_time_exit,2025-11-20,379.76,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2025-10-15,362.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-01-21,360.26,1
MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-05,331.76,1
MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-05,331.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-11-20,330.76,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-02-12,327.76,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-02-12,327.76,1
MNQ_13a_power_hour_range_fade_short_close_confirm_fill_next_open_structure_target_time_exit,2026-06-17,327.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-01-29,317.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-01-29,317.26,1
MNQ_13a_lunch_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-05,315.26,1
MNQ_13a_lunch_range_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-05,315.26,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-03-09,312.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2025-11-20,310.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2025-11-20,310.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-02-26,309.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-05-04,308.26,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-05-21,308.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-04-28,305.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_structure_target_time_exit,2026-01-21,305.26,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-06-24,304.26,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,304.26,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-04-23,303.26,1
MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-03-04,301.76,1
MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-03-04,301.76,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-06-09,293.76,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-09,293.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-24,290.76,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-11-13,288.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-11-13,288.26,1
MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-18,285.76,1
MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-12-18,285.76,1
MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2025-10-14,284.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2025-12-12,277.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2025-12-12,277.76,1
MNQ_13a_lunch_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-09-25,274.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-01-29,273.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-29,273.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,271.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-06-24,271.76,1
MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-06-05,269.76,1
MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-05,269.76,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-05-21,267.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-19,262.76,1
MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-17,258.26,1
MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-05-21,257.26,1
MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-05-21,257.26,1
MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-07-30,252.76,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-01-21,252.26,1
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-21,252.26,1
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2026-01-21,252.26,1
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-21,252.26,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_structure_target_time_exit,2026-04-21,251.26,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-05-04,249.26,1
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-31,246.26,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-05-04,246.26,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,2026-06-09,242.76,1
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-09,242.76,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_structure_target_time_exit,2026-03-23,242.26,1
MNQ_13a_prior_rth_high_low_sweep_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,2026-03-23,242.26,1
MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-03-09,239.26,1
MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-03-09,239.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-04-28,239.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-09-24,238.76,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-09-24,238.76,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,238.26,1
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-24,238.26,1
