candidate_id,family,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit
MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,0.076755,0.246257
MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,0.076492,0.248042
MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,lunch_range_fade,0.03683,0.074933
MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_fade,0.034437,0.068232
MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_fade,0.092977,0.244958
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.078295,0.143787
MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_fade,0.0415,0.112238
MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.070424,0.127864
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,lunch_range_breakout,0.092801,0.163276
MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,0.101635,0.229102
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_breakout,0.074027,0.148253
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,lunch_range_breakout,0.090666,0.152863
MNQ_13a_power_hour_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_breakout,0.091386,0.207491
MNQ_13a_power_hour_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.091495,0.207548
MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,0.101195,0.225346
MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_structure_target_time_exit,lunch_range_fade,0.036175,0.056636
MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_fade,0.046544,0.104349
MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_breakout,0.06524,0.128938
MNQ_13a_power_hour_range_fade_short_close_confirm_fill_next_open_structure_target_time_exit,power_hour_range_fade,0.024876,0.068387
MNQ_13a_lunch_range_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,lunch_range_fade,0.053241,0.108795
MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.129316,0.268887
MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_breakout,0.117007,0.259748
MNQ_13a_power_hour_range_fade_long_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_fade,0.019707,0.049198
MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,lunch_range_breakout,0.040824,0.127165
MNQ_13a_power_hour_range_fade_long_close_confirm_fill_next_open_structure_target_time_exit,power_hour_range_fade,0.048189,0.103001
MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,0.064024,0.140652
MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,lunch_range_breakout,0.081245,0.145028
MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,0.054933,0.165175
MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,lunch_range_breakout,0.041581,0.129028
MNQ_13a_power_hour_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_fade,0.030685,0.05809
MNQ_13a_lunch_range_fade_long_close_confirm_fill_next_open_structure_target_time_exit,lunch_range_fade,0.078523,0.139679
MNQ_13a_lunch_range_fade_short_two_bar_confirm_fill_next_open_structure_target_time_exit,lunch_range_fade,0.037651,0.07541
