candidate_id,signal_time,confirmation_time,entry_time,trading_session,family,branch,side,entry_model,exit_variant,behavior,level_source,trade_start,trade_end,level_high,level_low,level_midpoint,level_width_points,level_width_bucket,signal_close,signal_high,signal_low,atr,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,split
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-14 13:00:00-04:00,2025-07-14 13:00:00-04:00,2025-07-14 13:05:00-04:00,2025-07-14,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23041.0,22988.75,23014.875,52.25,wide,23044.25,23045.75,23033.5,13.839285714285714,26,23044.5,2025-07-14 13:35:00-04:00,23058.25,time_stop,22988.5,23027.2009,23027.2009,23096.75,27.5,24.76,23.76,46.5,9.5,0,0,0,1,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-16 13:05:00-04:00,2025-07-16 13:05:00-04:00,2025-07-16 13:10:00-04:00,2025-07-16,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23049.75,22835.75,22942.75,214.0,wide,23056.25,23065.75,23046.75,26.446428571428573,13,23056.5,2025-07-16 13:40:00-04:00,23034.0,time_stop,22835.5,23023.442,23023.442,23270.5,-45.0,-47.74,-48.74,23.0,59.5,0,0,0,1,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-21 13:00:00-04:00,2025-07-21 13:00:00-04:00,2025-07-21 13:05:00-04:00,2025-07-21,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23410.25,23358.75,23384.5,51.5,wide,23413.0,23416.0,23404.75,14.607142857142858,14,23413.25,2025-07-21 13:35:00-04:00,23414.25,time_stop,23358.5,23394.9911,23394.9911,23464.75,2.0,-0.74,-1.74,20.5,19.0,0,0,0,1,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-22 13:25:00-04:00,2025-07-22 13:25:00-04:00,2025-07-22 13:30:00-04:00,2025-07-22,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23235.25,23159.25,23197.25,76.0,wide,23243.5,23250.5,23218.5,18.982142857142858,11,23243.75,2025-07-22 13:40:00-04:00,23220.0223,stop,23159.0,23220.0223,23220.0223,23319.75,-47.46,-50.2,-51.2,8.5,60.5,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-23 14:20:00-04:00,2025-07-23 14:20:00-04:00,2025-07-23 14:25:00-04:00,2025-07-23,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23294.0,23193.5,23243.75,100.5,wide,23310.25,23311.75,23288.75,16.642857142857142,7,23310.0,2025-07-23 14:30:00-04:00,23289.1964,stop,23193.25,23289.1964,23289.1964,23410.5,-41.61,-44.35,-45.35,28.0,50.0,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-24 13:10:00-04:00,2025-07-24 13:10:00-04:00,2025-07-24 13:15:00-04:00,2025-07-24,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23400.5,23340.0,23370.25,60.5,wide,23411.5,23413.5,23391.0,15.0,15,23411.25,2025-07-24 13:25:00-04:00,23392.5,stop,23339.75,23392.5,23392.5,23471.75,-37.5,-40.24,-41.24,21.0,45.5,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-07-30 13:40:00-04:00,2025-07-30 13:40:00-04:00,2025-07-30 13:45:00-04:00,2025-07-30,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23547.25,23475.75,23511.5,71.5,wide,23548.25,23551.25,23542.5,10.464285714285714,3,23548.25,2025-07-30 13:45:00-04:00,23535.1696,stop,23475.5,23535.1696,23535.1696,23619.75,-26.16,-28.9,-29.9,0.5,30.0,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-04 13:10:00-04:00,2025-08-04 13:10:00-04:00,2025-08-04 13:15:00-04:00,2025-08-04,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23279.75,23198.25,23239.0,81.5,wide,23282.75,23283.75,23273.5,12.446428571428571,5,23282.75,2025-08-04 13:40:00-04:00,23267.192,stop,23198.0,23267.192,23267.192,23364.25,-31.12,-33.86,-34.86,7.5,46.5,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-05 13:45:00-04:00,2025-08-05 13:45:00-04:00,2025-08-05 13:50:00-04:00,2025-08-05,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23225.75,23113.5,23169.625,112.25,wide,23232.0,23237.5,23215.75,22.660714285714285,4,23232.5,2025-08-05 14:15:00-04:00,23204.1741,stop,23113.25,23204.1741,23204.1741,23344.75,-56.65,-59.39,-60.39,39.0,83.0,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,2025-08-06 13:40:00-04:00,2025-08-06 13:40:00-04:00,2025-08-06 13:45:00-04:00,2025-08-06,lunch_range_breakout,lunch_range_breakout_long,long,close_confirm_fill_next_open,hard_stop_time_exit,breakout,intraday_range,13:00,15:30,23389.5,23298.25,23343.875,91.25,wide,23390.75,23396.5,23380.25,18.035714285714285,17,23391.0,2025-08-06 13:50:00-04:00,23368.4554,stop,23298.0,23368.4554,23368.4554,23482.25,-45.09,-47.83,-48.83,1.5,53.5,0,1,0,0,MNQ,5,1.25,1,30,1,11:30,13:00,discovery
