phase14a_rank,candidate_id,instrument,level_type,interaction_family,side,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,invalid_risk_skipped_count,signals_found,paper_trading_approved,official_gates_passed,phase14a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase14a_score
1,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,90,90,1.0,2778.44,2531.84,2441.84,-434.15,1751.99,-1033.29,0.368807,0.368807,150.26,91.47,60.31,9.31,0.5,-383.7,0.112698,0.386731,0.120111,0.264998,76,1,0,90,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,1442.86
2,MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,85,85,1.0,2402.44,2169.54,2084.54,-382.91,1314.23,-1050.88,0.430395,0.430395,146.15,94.81,-113.71,-162.71,0.5,-355.49,0.119524,0.41522,0.129672,0.284273,72,1,0,85,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,895.95
3,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,56,56,1.0,1068.41,914.97,858.97,-25.65,304.63,-469.68,0.483087,0.483087,97.35,71.38,126.22,94.22,0.333333,-174.39,0.073411,0.267884,0.064067,0.136798,44,0,0,56,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,rare_setup_module,negative validation; low activity; fold instability; concentration,483.51
4,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,68,68,1.0,605.15,418.83,350.83,85.36,734.92,-571.24,1.049973,1.049973,83.7,64.28,633.39,594.39,0.666667,-288.96,0.06063,0.278703,0.061692,0.112742,55,0,0,68,False,False,phase14a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_concentrated,parked_research_signal,diversifier_module,fold instability; concentration,373.98
5,MNQ_14a_prior_rth_close_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,rejection_from_level,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,65,65,1.0,1268.08,1089.98,1024.98,-233.62,797.07,-621.87,0.387117,0.387117,91.5,59.98,-16.86,-55.86,0.333333,-230.44,0.043926,0.276614,0.052697,0.162569,56,1,0,65,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,372.25
6,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,80,80,1.0,1090.34,871.14,791.14,-3.14,645.21,-704.6,0.530787,0.530787,118.19,95.61,130.81,83.81,0.5,-198.46,0.090411,0.259014,0.069868,0.168464,66,0,0,80,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,170.35
7,MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,76,76,1.0,1129.08,920.84,844.84,-1.9,249.2,-773.2,0.502139,0.502139,112.24,94.45,69.89,24.89,0.5,-185.29,0.091003,0.25272,0.060587,0.137927,63,0,0,76,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,96.53
8,MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,57,57,1.0,576.68,420.5,363.5,195.05,-143.63,-632.96,0.654602,0.654602,75.08,72.82,365.58,334.58,0.666667,-221.15,0.051737,0.205446,0.08281,0.19956,46,1,0,57,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,rare_setup_module,negative holdout; low activity; fold instability; concentration,90.12
9,MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,rejection_from_level,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,56,56,1.0,952.57,799.13,743.13,-46.9,64.88,-662.12,0.495864,0.495864,116.51,74.51,-358.87,-390.87,0.333333,-206.92,0.079169,0.1801,0.06507,0.134307,44,0,0,56,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,rare_setup_module,negative validation; low activity; fold instability; concentration,-309.86
10,MNQ_14a_prior_rth_close_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,rejection_from_level,short,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,65,65,1.0,597.65,419.55,354.55,-5.35,804.38,-648.91,1.119676,1.119676,110.66,65.37,-98.09,-137.09,0.5,-343.42,0.049799,0.341532,0.05831,0.196853,56,1,0,65,False,False,phase14a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,parked_module,negative validation; fold instability; concentration,-406.45
