candidate_id,level_type,interaction_family,side,average_correlation_to_playbook,max_correlation_to_playbook
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.120111,0.264998
MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,breakout_hold,short,0.129672,0.284273
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,short,0.064067,0.136798
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,short,0.061692,0.112742
MNQ_14a_prior_rth_close_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,rejection_from_level,short,0.052697,0.162569
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.069868,0.168464
MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,breakout_hold,short,0.060587,0.137927
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,long,0.08281,0.19956
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,rejection_from_level,short,0.06507,0.134307
MNQ_14a_prior_rth_close_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,rejection_from_level,short,0.05831,0.196853
MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,rejection_from_level,long,0.168244,0.312636
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.072113,0.163993
MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,breakout_hold,short,0.085581,0.188592
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.090889,0.242247
MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,breakout_hold,short,0.094884,0.256986
