candidate_id,level_type,interaction_family,side,average_correlation_to_registry,max_correlation_to_registry
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.112698,0.386731
MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,breakout_hold,short,0.119524,0.41522
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,short,0.073411,0.267884
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,short,0.06063,0.278703
MNQ_14a_prior_rth_close_rejection_from_level_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,rejection_from_level,short,0.043926,0.276614
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.090411,0.259014
MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,breakout_hold,short,0.091003,0.25272
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,rejection_from_level,long,0.051737,0.205446
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,rejection_from_level,short,0.079169,0.1801
MNQ_14a_prior_rth_close_rejection_from_level_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,rejection_from_level,short,0.049799,0.341532
MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,rejection_from_level,long,0.102619,0.268422
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.101069,0.307559
MNQ_14a_prior_rth_midpoint_breakout_hold_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,breakout_hold,short,0.108159,0.337161
MNQ_14a_prior_rth_midpoint_reclaim_after_breach_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,reclaim_after_breach,short,0.130775,0.294529
MNQ_14a_prior_rth_midpoint_breakout_hold_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_midpoint,breakout_hold,short,0.13594,0.309614
MNQ_14a_prior_rth_close_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,rejection_from_level,short,0.043356,0.431501
MNQ_14a_prior_rth_midpoint_rejection_from_level_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,rejection_from_level,long,0.036803,0.178324
MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_midpoint,rejection_from_level,short,0.037962,0.153575
MNQ_14a_prior_rth_close_rejection_from_level_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_close,rejection_from_level,long,0.094132,0.239833
MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,rejection_from_level,long,0.094987,0.279096
MNQ_14a_prior_rth_close_rejection_from_level_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,rejection_from_level,long,0.090865,0.241301
MNQ_14a_prior_rth_close_rejection_from_level_short_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,rejection_from_level,short,0.052717,0.318076
MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_close,reclaim_after_breach,long,0.102771,0.306134
