phase15a_rank,candidate_id,instrument,module_family,side,trigger_model,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,trade_start,trade_end,entry_rule,paper_trading_approved,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,any_target_gap_days_covered,invalid_risk_skipped_count,signals_found,official_gates_passed,trend_days_with_no_module_covered,power_hour_expansion_days_with_no_module_covered,low_volatility_expansion_days_with_no_module_covered,no_trade_large_intraday_movement_days_covered,phase15a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase15a_score
1,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,54,54,1.0,1107.07,959.11,905.11,166.84,340.21,-423.38,0.523673,0.523673,89.94,51.96,885.91,855.91,0.666667,-74.11,0.121229,0.451369,0.15277,0.31801,0,0,0,0,54,False,0,0,0,0,phase15a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,diversifier_module,low activity; fold instability; concentration,1337.64
2,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,54,54,1.0,906.22,758.26,704.26,-92.66,445.9,-329.64,0.353454,0.353454,71.87,48.54,748.56,718.56,0.5,-111.47,0.112211,0.367834,0.125939,0.26653,0,0,0,0,54,False,0,0,0,0,phase15a_rejected_negative_validation,weak_research_signal,not_tradable_low_activity,rare_setup_research_signal,rare_setup_module,negative validation; low activity; fold instability; concentration,1093.18
3,MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,87,87,1.0,659.96,421.58,334.58,425.97,-102.42,-421.02,0.44874,0.44874,46.62,38.07,640.66,582.66,0.666667,-385.28,0.04061,0.146763,0.021875,0.056681,0,0,1,0,87,False,0,0,0,1,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_concentrated,parked_research_signal,parked_module,negative holdout; fold instability; concentration,496.22
4,MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,87,87,1.0,755.42,517.04,430.04,334.24,-214.15,-548.73,0.69484,0.69484,57.06,39.82,565.12,507.12,0.5,-426.53,0.042841,0.126608,0.021461,0.089833,0,0,1,0,87,False,0,0,0,1,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_concentrated,parked_research_signal,parked_module,negative holdout; fold instability; concentration,388.43
5,MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,19,19,1.0,320.48,268.42,249.42,191.06,-298.98,-298.98,1.338425,1.338425,78.66,50.05,231.14,215.14,0.5,-170.52,0.034497,0.242627,0.048605,0.089771,0,0,1,0,19,False,0,0,0,1,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_low_activity,rare_setup_research_signal,rare_setup_module,negative holdout; low activity; fold instability; concentration,165.58
6,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,50,50,1.0,287.0,150.0,100.0,94.55,312.84,-504.95,2.575067,2.575067,46.99,37.28,520.5,491.5,0.5,-159.25,0.037303,0.232435,0.080831,0.157673,0,0,0,0,50,False,0,0,0,0,phase15a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,diversifier_module,low activity; fold instability; concentration,86.55
7,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,50,50,1.0,287.0,150.0,100.0,94.55,312.84,-504.95,2.575067,2.575067,46.99,37.28,520.5,491.5,0.5,-159.25,0.037303,0.232435,0.080831,0.157673,0,0,0,0,50,False,0,0,0,0,phase15a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,diversifier_module,low activity; fold instability; concentration,86.55
8,MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,19,19,1.0,164.9,112.84,93.84,217.56,-241.48,-253.5,1.676533,1.676533,63.13,45.71,145.06,129.06,0.5,-170.52,0.034978,0.148241,0.055711,0.122876,0,0,1,0,19,False,0,0,0,1,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_low_activity,rare_setup_research_signal,rare_setup_module,negative holdout; low activity; fold instability; concentration,-30.6
9,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_close_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_breakout,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,16,16,1.0,29.66,-14.18,-30.18,85.65,15.52,-229.29,1.0,1.0,59.62,50.06,233.35,224.35,0.666667,0.0,0.020922,0.091274,0.033198,0.076551,0,0,1,0,16,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; low activity; fold instability; concentration,-35.12
10,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,16,16,1.0,29.66,-14.18,-30.18,85.65,15.52,-229.29,1.0,1.0,59.62,50.06,233.35,224.35,0.666667,0.0,0.020922,0.091274,0.033198,0.076551,0,0,1,0,16,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; low activity; fold instability; concentration,-35.12
11,MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,13,13,1.0,114.6,78.98,65.98,-53.98,-29.74,-87.2,1.109015,1.109015,57.54,31.42,-87.2,-92.2,0.166667,-42.74,0.033902,0.089163,0.062743,0.099371,0,0,0,0,13,False,0,0,0,0,phase15a_rejected_negative_validation,weak_research_signal,not_tradable_low_activity,rare_setup_research_signal,rare_setup_module,negative validation; negative holdout; low activity; fold instability; concentration,-113.42
12,MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,84,84,1.0,389.0,158.84,74.84,96.72,-122.68,-324.76,0.912931,0.912931,33.92,30.1,118.46,61.46,0.666667,-243.4,0.053239,0.184598,0.054713,0.136574,0,0,1,0,84,False,0,0,0,1,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_concentrated,parked_research_signal,parked_module,negative holdout; fold instability; concentration,-188.46
13,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,50,50,1.0,281.78,144.78,94.78,264.34,-63.72,-305.24,2.705899,2.705899,65.93,49.8,19.56,-8.44,0.333333,-176.86,0.125613,0.441006,0.175281,0.332666,0,0,0,0,50,False,0,0,0,0,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_low_activity,rare_setup_research_signal,rare_setup_module,negative holdout; low activity; fold instability; concentration,-218.9
14,MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,13,13,1.0,129.52,93.9,80.9,-53.98,-29.74,-177.94,2.526731,2.526731,70.5,36.23,-127.2,-132.2,0.0,-42.74,0.0136,0.038379,0.022771,0.042566,0,0,0,0,13,False,0,0,0,0,phase15a_rejected_negative_validation,weak_research_signal,not_tradable_low_activity,rare_setup_research_signal,rare_setup_module,negative validation; negative holdout; low activity; fold instability; concentration,-229.24
