candidate_id,instrument,module_family,side,trigger_model,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,trade_start,trade_end,entry_rule,paper_trading_approved
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False
