candidate_id,trading_session,pnl,trades
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-03-05,434.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-03-05,386.76,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-03-09,361.26,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-06-11,352.44,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-06-11,352.44,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,304.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,293.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-06-24,293.26,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-01-02,287.26,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-01-02,287.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-05-19,286.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-05-19,286.76,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-09-25,274.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-02-17,268.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-02-17,261.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-11-18,238.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-11-18,238.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-11-18,238.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-11-18,238.76,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-01-02,231.76,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-01-02,231.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-03-05,225.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-11,220.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-12-11,220.76,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-11-21,210.26,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-11-21,210.26,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-03-09,210.26,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,209.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2026-06-24,206.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-24,206.76,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-06-24,206.26,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2026-06-24,205.52,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-12-11,202.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2025-12-11,202.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-03-05,200.26,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-11-17,167.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-11-17,167.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-11-17,167.76,1
MNQ_16a_high_vol_mixed_midpoint_reclaim_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,2025-11-17,167.76,1
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-03-09,160.79,1
