module_family,regime_variant,side,candidates,total_gap_days_covered,total_incremental_gap_days_covered,total_high_vol_mixed_power_expand_days_covered,total_high_vol_mixed_no_power_expand_days_covered,total_weak_fold_days_covered,total_no_trade_large_intraday_movement_days_covered,total_prior_level_interaction_days_covered,best_stress_pnl
high_vol_mixed_extreme_fade,broad_high_vol_mixed,long,4,54,0,16,22,62,0,54,-364.98
high_vol_mixed_extreme_fade,broad_high_vol_mixed,short,4,60,0,14,14,64,0,60,-699.48
high_vol_mixed_extreme_fade,strict_high_vol_mixed,long,4,0,0,0,0,0,0,0,0.0
high_vol_mixed_extreme_fade,strict_high_vol_mixed,short,4,0,0,0,0,0,0,0,0.0
high_vol_mixed_late_resolution_breakout,broad_high_vol_mixed,long,4,110,0,18,38,114,0,110,486.62
high_vol_mixed_late_resolution_breakout,broad_high_vol_mixed,short,4,92,0,22,24,100,0,84,-529.28
high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,long,4,12,0,6,2,12,0,12,155.0
high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,short,4,12,0,4,4,12,0,8,-134.22
high_vol_mixed_midpoint_reclaim,broad_high_vol_mixed,long,4,100,0,28,24,102,0,96,178.42
high_vol_mixed_midpoint_reclaim,broad_high_vol_mixed,short,4,94,0,34,26,98,0,86,-637.78
high_vol_mixed_midpoint_reclaim,strict_high_vol_mixed,long,4,20,0,12,4,20,0,20,35.8
high_vol_mixed_midpoint_reclaim,strict_high_vol_mixed,short,4,24,0,12,8,24,0,20,-225.94
