source_candidate_id,source_family,source_timeframe,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,same_bar_stop_target_ambiguity,candidate_id,instrument,family,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,signal_time,signal_available_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-03 10:00:00-05:00,1851.3,2023-01-03 10:00:00-05:00,1849.3,target,1852.3,1849.3,20.0,0,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-03 09:59:00-05:00,2023-01-03 10:00:00-05:00,2023-01-03,short,vwap_rejection_short,3.2199999999999998,5.22,16.78,14.780000000000001,discovery,10:00
MGC_opening_range_breakout_tf1_bf64976fac,opening_range_breakout,1,2023-01-03 10:13:00-05:00,1845.3,2023-01-03 10:28:00-05:00,1839.25,target,1850.75,1839.25,60.499999999999545,15,0,MGC_opening_range_breakout_tf1_bf64976fac,MGC,opening_range_breakout,opening_range_breakout,tf1_bf64976fac,1,1m,close_outside_range,r_multiple,1R,15:55 ET,1,False,True,phase5_one_open_position,ai_search_foundation,min_range=1.0;or_minutes=15;stop_mode=half_range;target=1R,2023-01-03 10:12:00-05:00,2023-01-03 10:13:00-05:00,2023-01-03,short,or_breakout_short,3.2199999999999998,5.22,57.279999999999546,55.279999999999546,discovery,10:13
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-03 12:30:00-05:00,1843.0,2023-01-03 12:59:00-05:00,1845.1,target,1842.1,1845.1,20.99999999999909,29,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-03 12:29:00-05:00,2023-01-03 12:30:00-05:00,2023-01-03,long,vwap_reclaim_long,3.2199999999999998,5.22,17.77999999999909,15.779999999999092,discovery,12:30
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-04 09:45:00-05:00,1864.5,2023-01-04 09:46:00-05:00,1863.1,stop,1863.1,1866.1,-14.00000000000091,1,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-04 09:44:00-05:00,2023-01-04 09:45:00-05:00,2023-01-04,long,vwap_reclaim_long,3.2199999999999998,5.22,-17.22000000000091,-19.22000000000091,discovery,09:45
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-04 09:46:00-05:00,1863.4,2023-01-04 09:51:00-05:00,1861.8,target,1864.8,1861.8,16.000000000001364,5,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-04 09:45:00-05:00,2023-01-04 09:46:00-05:00,2023-01-04,short,vwap_rejection_short,3.2199999999999998,5.22,12.780000000001365,10.780000000001365,discovery,09:46
MGC_opening_range_breakout_tf1_bf64976fac,opening_range_breakout,1,2023-01-04 09:52:00-05:00,1861.7,2023-01-04 09:53:00-05:00,1863.85,stop,1863.85,1859.75,-21.499999999998636,1,0,MGC_opening_range_breakout_tf1_bf64976fac,MGC,opening_range_breakout,opening_range_breakout,tf1_bf64976fac,1,1m,close_outside_range,r_multiple,1R,15:55 ET,1,False,True,phase5_one_open_position,ai_search_foundation,min_range=1.0;or_minutes=15;stop_mode=half_range;target=1R,2023-01-04 09:51:00-05:00,2023-01-04 09:52:00-05:00,2023-01-04,short,or_breakout_short,3.2199999999999998,5.22,-24.719999999998635,-26.719999999998635,discovery,09:52
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-05 09:46:00-05:00,1841.7,2023-01-05 09:48:00-05:00,1841.0,stop,1841.0,1844.0,-7.000000000000455,2,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-05 09:45:00-05:00,2023-01-05 09:46:00-05:00,2023-01-05,long,vwap_reclaim_long,3.2199999999999998,5.22,-10.220000000000454,-12.220000000000454,discovery,09:46
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-05 09:49:00-05:00,1840.9,2023-01-05 09:50:00-05:00,1842.0,stop,1842.0,1839.0,-10.99999999999909,1,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-05 09:48:00-05:00,2023-01-05 09:49:00-05:00,2023-01-05,short,vwap_rejection_short,3.2199999999999998,5.22,-14.21999999999909,-16.21999999999909,discovery,09:49
MGC_opening_range_breakout_tf1_bf64976fac,opening_range_breakout,1,2023-01-05 09:57:00-05:00,1838.8,2023-01-05 10:05:00-05:00,1836.65,target,1841.15,1836.65,21.499999999998636,8,0,MGC_opening_range_breakout_tf1_bf64976fac,MGC,opening_range_breakout,opening_range_breakout,tf1_bf64976fac,1,1m,close_outside_range,r_multiple,1R,15:55 ET,1,False,True,phase5_one_open_position,ai_search_foundation,min_range=1.0;or_minutes=15;stop_mode=half_range;target=1R,2023-01-05 09:56:00-05:00,2023-01-05 09:57:00-05:00,2023-01-05,short,or_breakout_short,3.2199999999999998,5.22,18.279999999998637,16.279999999998637,discovery,09:57
MGC_vwap_reclaim_rejection_tf1_1158b61782,vwap_reclaim_rejection,1,2023-01-06 09:56:00-05:00,1849.3,2023-01-06 09:57:00-05:00,1848.1,stop,1848.1,1851.1,-12.000000000000455,1,0,MGC_vwap_reclaim_rejection_tf1_1158b61782,MGC,vwap_reclaim_rejection,vwap_reclaim_rejection,tf1_1158b61782,1,1m,vwap_cross,fixed_ticks,18,15:55 ET,2,False,True,phase5_max2_one_open_position,ai_search_foundation,mode=both;stop_ticks=12;target_ticks=18;tick_size=0.1,2023-01-06 09:55:00-05:00,2023-01-06 09:56:00-05:00,2023-01-06,long,vwap_reclaim_long,3.2199999999999998,5.22,-15.220000000000454,-17.220000000000454,discovery,09:56
