hypothesis_id,instrument,family,side_filter,timeframe,entry_delay,exit_shape,event_time,entry_time,exit_time,trading_session,side,entry_price,exit_price,exit_reason,gross_pnl,net_pnl,stress_net_pnl,same_bar_ambiguity,minute_of_day,rth_bucket,weekday,phase8i_source_note
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-23 10:18:00-04:00,2025-10-23 10:23:00-04:00,2025-10-23 10:38:00-04:00,2025-10-23,long,25139.0,25187.75,time_stop,97.5,94.76,93.76,0,623,10:00-11:00,Thursday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-23 10:22:00-04:00,2025-10-23 10:27:00-04:00,2025-10-23 10:42:00-04:00,2025-10-23,long,25160.75,25176.75,time_stop,32.0,29.26,28.26,0,627,10:00-11:00,Thursday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-23 11:44:00-04:00,2025-10-23 11:49:00-04:00,2025-10-23 12:04:00-04:00,2025-10-23,long,25167.25,25206.25,time_stop,78.0,75.26,74.26,0,709,11:00-12:00,Thursday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-23 11:45:00-04:00,2025-10-23 11:50:00-04:00,2025-10-23 12:05:00-04:00,2025-10-23,long,25164.75,25206.5,time_stop,83.5,80.76,79.76,0,710,11:00-12:00,Thursday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 09:32:00-04:00,2025-10-24 09:37:00-04:00,2025-10-24 09:52:00-04:00,2025-10-24,long,25523.25,25486.0,time_stop,-74.5,-77.24,-78.24,0,577,09:30-10:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 09:47:00-04:00,2025-10-24 09:52:00-04:00,2025-10-24 10:07:00-04:00,2025-10-24,long,25486.0,25534.25,time_stop,96.5,93.76,92.76,0,592,09:30-10:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 09:55:00-04:00,2025-10-24 10:00:00-04:00,2025-10-24 10:15:00-04:00,2025-10-24,long,25521.5,25525.75,time_stop,8.5,5.76,4.76,0,600,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 09:57:00-04:00,2025-10-24 10:02:00-04:00,2025-10-24 10:17:00-04:00,2025-10-24,long,25507.75,25528.5,time_stop,41.5,38.76,37.76,0,602,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 09:58:00-04:00,2025-10-24 10:03:00-04:00,2025-10-24 10:18:00-04:00,2025-10-24,long,25519.75,25533.0,time_stop,26.5,23.76,22.76,0,603,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 09:59:00-04:00,2025-10-24 10:04:00-04:00,2025-10-24 10:19:00-04:00,2025-10-24,long,25514.25,25531.25,time_stop,34.0,31.26,30.26,0,604,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 10:00:00-04:00,2025-10-24 10:05:00-04:00,2025-10-24 10:20:00-04:00,2025-10-24,long,25520.25,25511.0,time_stop,-18.5,-21.24,-22.24,0,605,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 10:26:00-04:00,2025-10-24 10:31:00-04:00,2025-10-24 10:46:00-04:00,2025-10-24,long,25481.75,25521.5,time_stop,79.5,76.76,75.76,0,631,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 10:28:00-04:00,2025-10-24 10:33:00-04:00,2025-10-24 10:48:00-04:00,2025-10-24,long,25492.25,25518.0,time_stop,51.5,48.76,47.76,0,633,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 10:29:00-04:00,2025-10-24 10:34:00-04:00,2025-10-24 10:49:00-04:00,2025-10-24,long,25500.5,25514.25,time_stop,27.5,24.76,23.76,0,634,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 10:37:00-04:00,2025-10-24 10:42:00-04:00,2025-10-24 10:57:00-04:00,2025-10-24,long,25525.0,25458.25,time_stop,-133.5,-136.24,-137.24,0,642,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 10:51:00-04:00,2025-10-24 10:56:00-04:00,2025-10-24 11:11:00-04:00,2025-10-24,long,25447.0,25480.75,time_stop,67.5,64.76,63.76,0,656,10:00-11:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-24 11:14:00-04:00,2025-10-24 11:19:00-04:00,2025-10-24 11:34:00-04:00,2025-10-24,long,25513.5,25531.0,time_stop,35.0,32.26,31.26,0,679,11:00-12:00,Friday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:32:00-04:00,2025-10-27 09:37:00-04:00,2025-10-27 09:52:00-04:00,2025-10-27,long,25825.5,25837.0,time_stop,23.0,20.26,19.26,0,577,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:33:00-04:00,2025-10-27 09:38:00-04:00,2025-10-27 09:53:00-04:00,2025-10-27,long,25838.75,25834.5,time_stop,-8.5,-11.24,-12.24,0,578,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:34:00-04:00,2025-10-27 09:39:00-04:00,2025-10-27 09:54:00-04:00,2025-10-27,long,25839.0,25840.75,time_stop,3.5,0.7599999999999998,-0.2400000000000002,0,579,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:38:00-04:00,2025-10-27 09:43:00-04:00,2025-10-27 09:58:00-04:00,2025-10-27,long,25820.75,25852.0,time_stop,62.5,59.76,58.76,0,583,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:41:00-04:00,2025-10-27 09:46:00-04:00,2025-10-27 10:01:00-04:00,2025-10-27,long,25838.0,25860.0,time_stop,44.0,41.26,40.26,0,586,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:44:00-04:00,2025-10-27 09:49:00-04:00,2025-10-27 10:04:00-04:00,2025-10-27,long,25833.5,25866.25,time_stop,65.5,62.76,61.76,0,589,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:45:00-04:00,2025-10-27 09:50:00-04:00,2025-10-27 10:05:00-04:00,2025-10-27,long,25820.0,25866.5,time_stop,93.0,90.26,89.26,0,590,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:46:00-04:00,2025-10-27 09:51:00-04:00,2025-10-27 10:06:00-04:00,2025-10-27,long,25830.25,25869.0,time_stop,77.5,74.76,73.76,0,591,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:50:00-04:00,2025-10-27 09:55:00-04:00,2025-10-27 10:10:00-04:00,2025-10-27,long,25849.5,25851.75,time_stop,4.5,1.7599999999999998,0.7599999999999998,0,595,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 09:52:00-04:00,2025-10-27 09:57:00-04:00,2025-10-27 10:12:00-04:00,2025-10-27,long,25843.5,25859.25,time_stop,31.5,28.76,27.76,0,597,09:30-10:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:17:00-04:00,2025-10-27 10:22:00-04:00,2025-10-27 10:37:00-04:00,2025-10-27,long,25830.0,25882.0,time_stop,104.0,101.26,100.26,0,622,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:18:00-04:00,2025-10-27 10:23:00-04:00,2025-10-27 10:38:00-04:00,2025-10-27,long,25834.0,25880.0,time_stop,92.0,89.26,88.26,0,623,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:19:00-04:00,2025-10-27 10:24:00-04:00,2025-10-27 10:39:00-04:00,2025-10-27,long,25836.0,25881.75,time_stop,91.5,88.76,87.76,0,624,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:20:00-04:00,2025-10-27 10:25:00-04:00,2025-10-27 10:40:00-04:00,2025-10-27,long,25839.25,25879.0,time_stop,79.5,76.76,75.76,0,625,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:21:00-04:00,2025-10-27 10:26:00-04:00,2025-10-27 10:41:00-04:00,2025-10-27,long,25844.75,25884.5,time_stop,79.5,76.76,75.76,0,626,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:26:00-04:00,2025-10-27 10:31:00-04:00,2025-10-27 10:46:00-04:00,2025-10-27,long,25864.25,25876.5,time_stop,24.5,21.76,20.76,0,631,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:27:00-04:00,2025-10-27 10:32:00-04:00,2025-10-27 10:47:00-04:00,2025-10-27,long,25866.75,25885.25,time_stop,37.0,34.26,33.26,0,632,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-27 10:28:00-04:00,2025-10-27 10:33:00-04:00,2025-10-27 10:48:00-04:00,2025-10-27,long,25874.25,25869.75,time_stop,-9.0,-11.74,-12.74,0,633,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-28 09:34:00-04:00,2025-10-28 09:39:00-04:00,2025-10-28 09:54:00-04:00,2025-10-28,long,26061.0,26034.25,time_stop,-53.5,-56.24,-57.24,0,579,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2025-10-28 09:41:00-04:00,2025-10-28 09:46:00-04:00,2025-10-28 10:01:00-04:00,2025-10-28,long,26069.5,26064.25,time_stop,-10.5,-13.24,-14.24,0,586,09:30-10:00,Tuesday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
