phase8k_action_rank,phase8k_step,candidate_action_id,action_type,action_rule,evidence,source_axis,source_bucket,expected_next_phase,phase8k_action_label,promotion_allowed
1,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_weekday_wednesday,fixed_filter_retest,exclude weekday=Wednesday,test_pnl=-3559.24; validation_pnl=-1977.84; test_trades=201,weekday,Wednesday,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
2,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_minute_bucket_10_00_10_30,fixed_filter_retest,exclude minute_bucket=10:00-10:30,test_pnl=-2626.08; validation_pnl=-597.74; test_trades=167,minute_bucket,10:00-10:30,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
3,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_weekday_tuesday,fixed_filter_retest,exclude weekday=Tuesday,test_pnl=-2204.12; validation_pnl=-60.98; test_trades=188,weekday,Tuesday,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
4,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_minute_bucket_12_30_13_00,fixed_filter_retest,exclude minute_bucket=12:30-13:00,test_pnl=-1183.66; validation_pnl=-162.38; test_trades=59,minute_bucket,12:30-13:00,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
5,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_rth_bucket_10_00_11_00,fixed_filter_retest,exclude rth_bucket=10:00-11:00,test_pnl=-832.22; validation_pnl=947.24; test_trades=303,rth_bucket,10:00-11:00,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
6,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_minute_bucket_13_30_14_00,fixed_filter_retest,exclude minute_bucket=13:30-14:00,test_pnl=-33.56; validation_pnl=923.14; test_trades=44,minute_bucket,13:30-14:00,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
7,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_minute_bucket_11_00_11_30,fixed_filter_retest,exclude minute_bucket=11:00-11:30,test_pnl=186.86; validation_pnl=-506.12; test_trades=61,minute_bucket,11:00-11:30,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
8,4_diagnostic_rescue_candidate_generation,phase8k_retest_exclude_minute_bucket_11_30_12_00,fixed_filter_retest,exclude minute_bucket=11:30-12:00,test_pnl=378.10; validation_pnl=-420.64; test_trades=85,minute_bucket,11:30-12:00,Phase 8L fixed no-lookahead retest,diagnostic_only_retest_required,False
9,4_diagnostic_rescue_candidate_generation,phase8k_review_session_2026_05_18_fold_2_test,failure_attribution,review session 2026-05-18 in fold 2 test,session_pnl=-1754.14; loss_share=114.09%,trading_session,2026-05-18,Phase 8K/8L evidence review,diagnostic_only_retest_required,False
10,4_diagnostic_rescue_candidate_generation,phase8k_review_session_2026_05_18_fold_3_validation,failure_attribution,review session 2026-05-18 in fold 3 validation,session_pnl=-1754.14; loss_share=114.09%,trading_session,2026-05-18,Phase 8K/8L evidence review,diagnostic_only_retest_required,False
