candidate_id,scope,bucket,pnl,trades,concentration
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-23,94.76,1,0.026716
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-24,-77.24,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-27,20.26,1,0.005712
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-28,-56.24,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-29,15.76,1,0.004443
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-30,231.26,1,0.065199
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-10-31,-66.24,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-03,-80.24,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-04,246.76,1,0.069569
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-05,275.76,1,0.077745
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-06,-136.74,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-07,91.26,1,0.025729
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-10,66.26,1,0.018681
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-11,-91.24,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-12,17.76,1,0.005007
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-13,-5.74,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-14,288.76,1,0.08141
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-17,237.76,1,0.067031
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-18,-348.24,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-19,351.76,1,0.099171
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-20,103.76,1,0.029253
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-21,-105.74,1,0.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-24,108.76,1,0.030663
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,day,2025-11-25,-251.24,1,0.0
