candidate_id,session_date,session_pnl,session_trades,weekday,signal_density,best_trade_pnl,worst_trade_pnl,first_entry_time,last_entry_time
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-06-23,371.26,1,Tuesday,1,371.26,371.26,2026-06-23 09:36:00-04:00,2026-06-23 09:36:00-04:00
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-06-23,371.26,1,Tuesday,1,371.26,371.26,2026-06-23 09:36:00-04:00,2026-06-23 09:36:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-06-11,509.52,2,Thursday,2,363.26,146.26,2026-06-11 09:36:00-04:00,2026-06-11 10:19:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-02-24,485.02,2,Tuesday,2,403.76,81.26,2026-02-24 09:36:00-05:00,2026-02-24 10:06:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-02-06,467.52,2,Friday,2,236.76,230.76,2026-02-06 09:36:00-05:00,2026-02-06 10:55:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap15_sal0_saw0_dlnone_dpnone,2026-06-23,371.26,1,Tuesday,1,371.26,371.26,2026-06-23 09:36:00-04:00,2026-06-23 09:36:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-06-29,-599.98,2,Monday,2,-149.74,-450.24,2026-06-29 09:41:00-04:00,2026-06-29 10:00:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-02-17,-568.98,2,Tuesday,2,-144.74,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap15_sal0_saw0_dlnone_dpnone,2026-02-24,520.52,2,Tuesday,2,403.76,116.76,2026-02-24 09:36:00-05:00,2026-02-24 10:05:00-05:00
base_pre_14_00__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,2026-06-12,735.28,3,Friday,3,472.26,-59.24,2026-06-12 09:40:00-04:00,2026-06-12 10:48:00-04:00
base_pre_14_00__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,2026-06-26,638.78,3,Friday,3,532.26,-47.24,2026-06-26 09:37:00-04:00,2026-06-26 11:19:00-04:00
base_pre_14_00__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,2026-01-14,-543.72,3,Wednesday,3,-143.74,-210.24,2026-01-14 09:36:00-05:00,2026-01-14 10:33:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw0_dl1.5_dpnone,2026-06-23,371.26,1,Tuesday,1,371.26,371.26,2026-06-23 09:36:00-04:00,2026-06-23 09:36:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-02-17,-568.98,2,Tuesday,2,-144.74,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-06-11,509.52,2,Thursday,2,363.26,146.26,2026-06-11 09:36:00-04:00,2026-06-11 10:19:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,2026-02-24,485.02,2,Tuesday,2,403.76,81.26,2026-02-24 09:36:00-05:00,2026-02-24 10:06:00-05:00
base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,2026-02-17,-568.98,2,Tuesday,2,-144.74,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,2026-06-18,545.28,3,Thursday,3,200.76,155.26,2026-06-18 09:37:00-04:00,2026-06-18 11:43:00-04:00
base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,2026-02-06,499.78,3,Friday,3,240.76,28.26,2026-02-06 09:36:00-05:00,2026-02-06 10:56:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap60_sal0_saw0_dl2.0_dpnone,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap60_sal0_saw0_dl2.0_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap60_sal0_saw0_dl2.0_dpnone,2026-06-23,371.26,1,Tuesday,1,371.26,371.26,2026-06-23 09:36:00-04:00,2026-06-23 09:36:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,2026-02-06,467.52,2,Friday,2,236.76,230.76,2026-02-06 09:36:00-05:00,2026-02-06 10:55:00-05:00
base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,2026-06-12,413.02,2,Friday,2,472.26,-59.24,2026-06-12 09:40:00-04:00,2026-06-12 10:48:00-04:00
base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,2026-02-24,403.76,1,Tuesday,1,403.76,403.76,2026-02-24 09:36:00-05:00,2026-02-24 09:36:00-05:00
base_pre_14_00__horizon_close_15m__mt1_gap30_sal0_saw1_dlnone_dp1.0,2026-02-17,-424.24,1,Tuesday,1,-424.24,-424.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
