candidate_id,scope,bucket,pnl,trades,concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-15,-81.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-16,-165.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-17,35.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-21,9.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-22,-78.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-23,111.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-24,22.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-25,-20.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-07-30,-60.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-01,-198.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-04,0.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-06,-20.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-07,-172.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-08,28.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-11,-44.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-12,112.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-14,-190.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-18,-167.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-20,-91.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-21,-211.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-22,-125.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-25,103.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-26,-7.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-27,-6.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-08-28,-38.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-09-02,2.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,day,2025-09-03,-186.74,1,1.0
