phase9a_rank,candidate_id,instrument,family,timeframe,compression_method,compression_lookback,compression_threshold,direction_mode,entry_model,stop_model,target_model,target_r,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,avoid_first_minutes,avoid_10_00_10_30,notes,trades,active_days,active_days_pct,trades_per_active_day,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,walk_forward_folds,phase9a_score,phase9a_label,reject_reasons
1,MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,178,121,0.480159,1.471074,-254.47,-432.47,52.07,-1223.14,-2509.38,1.0,1.0,283.85,173.85,0.666667,-801.86,6,-166.2529,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
2,MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt1_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,1,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,121,121,0.480159,1.0,-472.79,-593.79,-71.78,-1623.27,-2389.35,1.0,1.0,129.21,58.21,0.5,-1120.38,6,-172.3558,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative validation split; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
3,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,both_sides,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,1,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,237,237,0.940476,1.0,-1067.88,-1304.88,1796.48,-3531.76,-3967.92,1.0,1.0,774.7,629.7,0.5,-2892.26,6,-173.7518,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
4,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_avoid1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,1,30,10,True,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,170,170,0.674603,1.0,-830.8,-1000.8,1093.82,-1328.84,-2084.0,1.0,1.0,84.5,-15.5,0.666667,-1088.06,6,-173.8297,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
5,MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,178,121,0.480159,1.471074,-531.72,-709.72,-139.18,-1229.14,-2509.38,1.0,1.0,86.6,-23.4,0.5,-807.86,6,-174.3312,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative validation split; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
6,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,both_sides,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,1,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,237,237,0.940476,1.0,-1213.38,-1450.38,1844.23,-3531.76,-3967.92,1.0,1.0,822.45,677.45,0.5,-2892.26,6,-174.7293,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
7,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt1_gap30_first10_avoid1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,both_sides,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,1,30,10,True,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,234,234,0.928571,1.0,-1040.66,-1274.66,1456.72,-1919.76,-2658.1,1.0,1.0,583.68,440.68,0.5,-1106.26,6,-175.3398,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
8,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,1,30,10,True,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,170,170,0.674603,1.0,-995.55,-1165.55,967.07,-1328.84,-2084.0,1.0,1.0,-42.25,-142.25,0.666667,-1088.06,6,-176.7447,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
9,MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,1,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,121,121,0.480159,1.0,-759.04,-880.04,-246.28,-1655.02,-2421.1,1.0,1.0,-77.04,-148.04,0.5,-1120.38,6,-177.2808,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative validation split; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
10,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,both_sides,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,1,30,10,True,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,234,234,0.928571,1.0,-1308.66,-1542.66,1329.97,-1919.76,-2658.1,1.0,1.0,456.93,313.93,0.5,-1106.26,6,-179.2873,phase9a_rejected_negative_stress,negative net PnL; negative stress PnL; negative holdout split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk
