candidate_id,fold,segment_start,segment_end,trades,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,2025-12-02,2026-01-07,15,-840.6,-855.6,-932.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,2,2026-01-08,2026-02-11,14,643.64,629.64,-185.96,0.503791,0.503791
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,3,2026-02-12,2026-03-18,17,750.92,733.92,-344.24,0.422495,0.422495
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,4,2026-03-19,2026-04-22,18,284.93,266.93,-498.96,1.710104,1.710104
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,5,2026-04-23,2026-05-27,22,852.22,830.22,-334.46,0.260214,0.260214
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,6,2026-05-28,2026-07-01,21,-1984.04,-2005.04,-2477.34,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,14,-667.36,-681.36,-679.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,14,530.14,516.14,-185.96,0.61165,0.61165
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,15,465.9,450.9,-380.48,0.680962,0.680962
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,16,411.41,395.41,-480.22,0.9176,0.9176
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,22,305.72,283.72,-539.2,0.524205,0.524205
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,19,-1088.06,-1107.06,-1581.36,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,1,2025-12-02,2026-01-07,26,-1079.24,-1105.24,-1294.78,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,2,2026-01-08,2026-02-11,25,519.0,494.0,-272.74,0.685973,0.624778
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,3,2026-02-12,2026-03-18,28,783.78,755.78,-357.72,0.527597,0.404782
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,4,2026-03-19,2026-04-22,28,295.03,267.03,-598.2,1.771074,1.651561
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,5,2026-04-23,2026-05-27,38,554.13,516.13,-260.22,0.579323,0.400195
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,6,2026-05-28,2026-07-01,34,-2125.66,-2159.66,-2706.1,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,25,-791.0,-816.0,-995.3,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,23,467.48,444.48,-272.74,0.761573,0.693634
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,23,294.98,271.98,-522.72,1.401858,1.075531
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,26,-221.49,-247.49,-579.46,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,36,103.61,67.61,-419.67,3.09835,1.97867
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,31,-1077.94,-1108.94,-1745.62,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_keep1000,1,2025-12-02,2026-01-07,15,-840.6,-855.6,-932.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_keep1000,2,2026-01-08,2026-02-11,14,643.64,629.64,-185.96,0.503791,0.503791
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target20R_mt1_gap30_first10_keep1000,3,2026-02-12,2026-03-18,17,750.92,733.92,-344.24,0.422495,0.422495
