candidate_id,instrument,family,timeframe,compression_method,compression_lookback,compression_threshold,direction_mode,entry_model,stop_model,target_model,target_r,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,avoid_first_minutes,avoid_10_00_10_30,notes,trades,net_pnl,stress_pnl,avg_mfe,avg_mae,target_hit_rate,stop_hit_rate,validation_pnl,holdout_pnl
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,296,-1966.54,-2262.54,90.76,103.99,0.013514,0.101351,1026.83,-1976.29
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,296,-1205.29,-1501.29,92.8,101.35,0.02027,0.101351,1763.08,-2517.79
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,178,-254.47,-432.47,133.86,125.45,0.050562,0.073034,52.07,-1223.14
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,178,584.53,406.53,134.97,120.83,0.073034,0.061798,122.32,-1364.64
MNQ_vcb_tf5_range_percentile_lb12_q025_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,250,-1221.0,-1471.0,90.51,101.01,0.004,0.06,1301.0,-2311.9
MNQ_vcb_tf5_range_percentile_lb12_q025_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,250,-2.0,-252.0,95.0,95.96,0.008,0.06,1872.5,-2108.4
MNQ_vcb_tf5_range_percentile_lb12_q025_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,155,414.3,259.3,135.56,122.57,0.019355,0.032258,172.5,-763.96
MNQ_vcb_tf5_range_percentile_lb12_q025_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,155,1127.3,972.3,143.02,116.94,0.012903,0.032258,360.5,-918.96
MNQ_vcb_tf5_atr_percentile_lb8_q02_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,303,745.53,442.53,90.75,92.29,0.016502,0.075908,1612.29,-626.79
MNQ_vcb_tf5_atr_percentile_lb8_q02_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,303,1088.28,785.28,92.24,90.59,0.023102,0.072607,1535.04,-49.29
MNQ_vcb_tf5_atr_percentile_lb8_q02_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,226,1145.26,919.26,128.59,110.29,0.039823,0.123894,-892.53,1509.13
MNQ_vcb_tf5_atr_percentile_lb8_q02_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,226,3385.76,3159.76,134.97,104.37,0.061947,0.110619,-870.78,1800.88
MNQ_vcb_tf5_atr_percentile_lb12_q02_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,12,0.2,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,289,12.14,-276.86,84.23,88.71,0.00346,0.048443,529.78,-1205.08
MNQ_vcb_tf5_atr_percentile_lb12_q02_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,12,0.2,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,289,288.14,-0.86,84.83,87.73,0.00692,0.044983,935.78,-1314.58
MNQ_vcb_tf5_atr_percentile_lb12_q02_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,12,0.2,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,200,2360.5,2160.5,132.42,110.2,0.015,0.065,-619.06,1018.08
MNQ_vcb_tf5_atr_percentile_lb12_q02_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,12,0.2,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,200,1843.0,1643.0,132.39,112.01,0.015,0.065,-780.56,1280.08
MNQ_vcb_tf5_realized_vol_percentile_lb8_q02_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,realized_vol_percentile,8,0.2,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,244,2600.19,2356.19,89.79,78.19,0.012295,0.057377,250.74,5.09
MNQ_vcb_tf5_realized_vol_percentile_lb8_q02_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,realized_vol_percentile,8,0.2,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,244,2389.19,2145.19,89.0,78.68,0.020492,0.053279,365.49,481.09
MNQ_vcb_tf5_realized_vol_percentile_lb8_q02_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,realized_vol_percentile,8,0.2,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,204,2913.04,2709.04,137.49,107.99,0.044118,0.102941,-151.32,1079.34
MNQ_vcb_tf5_realized_vol_percentile_lb8_q02_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,realized_vol_percentile,8,0.2,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,204,3727.29,3523.29,138.46,108.9,0.078431,0.093137,-374.57,915.34
MNQ_vcb_tf5_realized_vol_percentile_lb12_q02_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,realized_vol_percentile,12,0.2,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,253,303.78,50.78,80.27,82.07,0.003953,0.059289,184.22,-850.4
MNQ_vcb_tf5_realized_vol_percentile_lb12_q02_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,realized_vol_percentile,12,0.2,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,253,234.28,-18.72,80.29,82.05,0.003953,0.059289,151.72,-551.4
