phase9c_rank,candidate_id,timeframe,compression_method,compression_lookback,compression_threshold,time_window,entry_start,entry_end,is_primary_eligible,entry_model,exit_model,direction_mode,target_r,atr_cap_multiple,buffer_ticks,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,instrument,family,trades,active_days,trades_per_active_day,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,quick_or_adverse_stop_count,quick_or_adverse_stop_rate,quick_or_adverse_stop_net,quick_or_adverse_stop_avg_mfe,quick_or_adverse_stop_avg_mae,time_stop_pnl,target_pnl,stop_pnl,invalidation_exit_pnl,session_flatten_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase9c_label,phase9c_score,reject_reasons
1,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,15,range_percentile,12,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,23,20,1.15,1878.46,1855.46,147.2,1556.59,-522.94,0.458626,0.458626,4,0.173913,-481.23,41.38,183.75,2082.38,861.51,-481.23,-584.2,0.0,1823.05,1810.05,0.5,-285.72,phase9c_rejected_low_activity,1599.44,low activity; fold instability; concentration; quick/adverse stops not reduced
2,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,15,range_percentile,12,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,23,20,1.15,1830.92,1807.92,147.2,1513.09,-526.98,0.470534,0.470534,6,0.26087,-796.75,28.0,202.92,1766.16,861.51,-796.75,0.0,0.0,1779.55,1766.55,0.5,-329.22,phase9c_rejected_low_activity,1444.82,low activity; fold instability; concentration; quick/adverse stops not reduced
3,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,15,range_percentile,12,0.2,core_midday,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,34,28,1.214286,1620.83,1586.83,-141.93,1614.39,-549.09,0.531524,0.531524,10,0.294118,-1405.16,43.05,175.65,2221.46,980.44,-1581.07,0.0,0.0,1728.98,1710.98,0.333333,-237.42,phase9c_rejected_low_activity,841.1,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
4,MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,realized_vol_percentile,8,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,136,110,1.236364,1208.67,1072.68,41.98,174.2,-634.91,0.405628,0.394549,68,0.5,-5302.7,35.88,103.79,1801.1,4948.23,-5540.66,0.0,0.0,473.6,396.61,0.833333,-54.32,phase9c_rejected_fold_instability,-443.76,fold instability; concentration; quick/adverse stops not reduced
5,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,15,realized_vol_percentile,12,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,18,18,1.0,697.44,679.44,27.6,278.52,-272.81,0.39969,0.39969,2,0.111111,-285.89,11.0,224.75,982.62,319.19,-483.51,0.0,0.0,289.52,279.52,0.5,-121.86,phase9c_rejected_low_activity,-562.3,low activity; fold instability; concentration
6,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,15,range_percentile,12,0.2,core_midday,10:30,13:30,True,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,34,28,1.214286,1254.37,1220.37,-107.89,1487.39,-699.59,0.686807,0.686807,7,0.205882,-999.4,43.5,181.36,2020.14,980.44,-1175.31,-570.9,0.0,1544.02,1526.02,0.333333,-364.42,phase9c_rejected_low_activity,-637.235,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
7,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,15,realized_vol_percentile,12,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,18,18,1.0,527.94,509.94,27.6,278.52,-322.31,0.528015,0.528015,2,0.111111,-285.89,11.0,224.75,1149.34,319.19,-483.51,-336.22,0.0,228.52,218.52,0.5,-121.86,phase9c_rejected_low_activity,-1483.925,low activity; fold instability; concentration
8,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,5,atr_percentile,8,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,162,129,1.255814,980.43,818.44,-533.63,-111.9,-999.6,0.486399,0.486399,81,0.5,-5862.64,35.35,104.32,1614.88,5614.33,-6248.78,0.0,0.0,-595.62,-687.61,0.333333,-273.11,phase9c_rejected_negative_validation,-2550.765,negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
9,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,15,realized_vol_percentile,12,0.2,core_midday,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,28,28,1.0,458.89,430.89,-6.19,95.95,-370.45,0.696812,0.696812,9,0.321429,-1206.97,31.83,181.06,1113.16,552.7,-1206.97,0.0,0.0,-16.96,-31.96,0.5,-131.52,phase9c_rejected_low_activity,-2705.58,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
10,MNQ_9c_vcb_tf5_realized_vol_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,realized_vol_percentile,8,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,136,110,1.236364,683.19,547.2,8.87,112.33,-702.72,0.717619,0.69802,52,0.382353,-3805.35,28.55,95.86,1445.26,4815.6,-4015.19,-1562.48,0.0,73.94,-3.05,0.5,-301.28,phase9c_rejected_fold_instability,-2996.665,fold instability; concentration; quick/adverse stops not reduced
11,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,5,atr_percentile,8,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,162,129,1.255814,630.19,468.2,-665.25,212.85,-1302.01,0.756724,0.756724,60,0.37037,-4128.85,30.65,98.13,1389.06,5223.18,-4486.87,-1495.18,0.0,-704.86,-796.85,0.5,-601.04,phase9c_rejected_negative_validation,-4664.28,negative validation; fold instability; concentration; quick/adverse stops not reduced
12,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_core_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,15,atr_percentile,12,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,24,24,1.0,-166.91,-190.91,-49.64,-331.99,-859.43,1.0,1.0,6,0.25,-958.76,37.0,235.92,791.14,319.19,-1156.38,0.0,0.0,-497.47,-512.47,0.333333,-519.34,phase9c_rejected_low_activity,-5812.81,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
13,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_core_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,15,atr_percentile,12,0.2,core_midday,10:30,13:30,True,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,24,24,1.0,-240.79,-264.79,-49.64,-288.49,-820.87,1.0,1.0,3,0.125,-514.42,30.33,251.67,1085.6,319.19,-712.04,-812.68,0.0,-622.47,-637.47,0.166667,-475.84,phase9c_rejected_low_activity,-5973.13,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
14,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,15,atr_percentile,12,0.2,core_midday,10:30,13:30,True,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,35,35,1.0,-420.42,-455.42,-66.1,-196.45,-843.44,1.0,1.0,8,0.228571,-1271.86,54.31,201.56,1245.6,552.7,-1271.86,-946.86,0.0,-499.75,-519.75,0.166667,-228.63,phase9c_rejected_low_activity,-6068.61,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
15,MNQ_9c_vcb_tf15_atr_percentile_lb12_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,15,atr_percentile,12,0.2,core_midday,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,35,35,1.0,-444.75,-479.75,-141.93,-311.45,-867.77,1.0,1.0,12,0.342857,-1844.15,48.38,190.5,846.7,552.7,-1844.15,0.0,0.0,-711.58,-731.58,0.166667,-274.43,phase9c_rejected_low_activity,-6329.1,low activity; negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
