trading_session,overnight_prior_level_module_coverage,opening_range_fade_coverage,opening_drive_pullback_coverage,prior_rth_breakout_coverage,any_module_coverage,no_coverage,rth_open,rth_close,rth_high,rth_low,rth_range,first_30m_direction,first_60m_direction,day_close_position_in_rth_range,rth_trend_day_proxy,rth_range_day_proxy,volatility_bucket,gap_from_prior_rth_close,lunch_range_expansion,power_hour_expansion,prior_rth_high_low_interaction,large_intraday_movement
2023-01-03,False,False,False,False,False,True,11119.5,10942.5,11181.75,10844.25,337.5,down,down,0.291111,False,False,high,,False,False,False,True
2023-01-04,False,False,False,False,False,True,11033.75,10996.5,11068.0,10863.25,204.75,down,down,0.650794,False,False,normal,91.25,True,True,False,False
2023-01-05,False,False,False,False,False,True,10922.25,10820.25,10927.25,10804.75,122.5,down,down,0.126531,True,False,low,-74.25,True,True,True,False
2023-01-06,False,False,False,False,False,True,10890.5,11114.25,11166.0,10766.5,399.5,down,up,0.870463,True,False,high,70.25,False,False,True,True
2023-01-09,False,False,False,False,False,True,11199.5,11187.75,11385.5,11161.0,224.5,up,up,0.119154,True,False,normal,85.25,False,True,True,False
2023-01-10,False,False,False,False,False,True,11143.0,11285.5,11286.0,11120.75,165.25,up,up,0.996974,True,False,low,-44.75,True,False,True,False
2023-01-11,False,False,False,False,False,True,11323.75,11476.0,11479.5,11290.75,188.75,up,up,0.981457,True,False,normal,38.25,False,False,True,False
2023-01-12,False,False,False,False,False,True,11490.25,11531.25,11575.25,11311.0,264.25,down,down,0.833491,True,False,normal,14.25,True,False,True,False
2023-01-13,False,False,False,False,False,True,11424.5,11607.75,11619.25,11408.5,210.75,up,up,0.945433,True,False,normal,-106.75,True,False,True,False
2023-01-16,False,False,False,False,False,True,11590.5,11564.25,11611.0,11560.5,50.5,up,down,0.074257,True,False,low,-17.25,True,False,False,False
2023-01-17,False,False,False,False,False,True,11598.5,11627.0,11685.0,11549.25,135.75,up,up,0.572744,False,True,low,34.25,True,False,True,False
2023-01-18,False,False,False,False,False,True,11694.75,11479.5,11759.5,11470.75,288.75,up,up,0.030303,True,False,normal,67.75,False,False,True,False
2023-01-19,False,False,False,False,False,True,11407.5,11360.5,11454.5,11308.5,146.0,down,down,0.356164,False,True,low,-72.0,True,True,True,False
2023-01-20,False,False,False,False,False,True,11428.25,11675.75,11686.0,11383.0,303.0,up,up,0.966172,True,False,high,67.75,False,False,True,True
2023-01-23,False,False,False,False,False,True,11704.0,11931.25,11983.0,11671.75,311.25,up,up,0.833735,True,False,high,28.25,False,False,True,True
2023-01-24,False,False,False,False,False,True,11860.0,11905.5,11951.75,11838.0,113.75,up,up,0.593407,False,True,low,-71.25,True,True,False,False
2023-01-25,False,False,False,False,False,True,11712.5,11875.0,11902.5,11604.5,298.0,down,down,0.907718,True,False,high,-193.0,False,False,True,True
2023-01-26,False,False,False,False,False,True,12017.75,12104.75,12111.5,11904.0,207.5,down,up,0.96747,True,False,normal,142.75,True,False,True,False
2023-01-27,False,False,False,False,False,True,12047.0,12223.0,12308.0,12041.75,266.25,up,up,0.680751,False,False,normal,-57.75,False,False,True,False
2023-01-30,False,False,False,False,False,True,12082.75,11971.0,12143.5,11960.0,183.5,up,down,0.059946,True,False,normal,-140.25,True,False,True,False
2023-01-31,False,False,False,False,False,True,11974.25,12153.75,12156.0,11969.25,186.75,up,up,0.987952,True,False,normal,3.25,False,False,True,False
2023-02-01,False,False,False,False,False,True,12143.75,12420.25,12516.0,12055.0,461.0,up,down,0.792299,False,False,high,-10.0,False,True,True,True
2023-02-02,False,False,False,False,False,True,12681.5,12855.0,12934.75,12647.5,287.25,down,up,0.722367,False,False,normal,261.25,False,True,True,False
2023-02-03,False,False,False,False,False,True,12574.5,12623.5,12877.75,12558.25,319.5,up,up,0.204225,False,False,high,-280.5,True,False,True,True
2023-02-06,False,False,False,False,False,True,12509.0,12513.25,12608.75,12456.5,152.25,up,down,0.372742,False,True,low,-114.5,True,True,True,False
2023-02-07,False,False,False,False,False,True,12504.0,12772.25,12818.75,12459.25,359.5,down,down,0.870654,True,False,high,-9.25,True,True,True,True
2023-02-08,False,False,False,False,False,True,12713.75,12543.5,12752.25,12512.5,239.75,down,down,0.129301,True,False,normal,-58.5,True,False,False,False
2023-02-09,False,False,False,False,False,True,12722.75,12427.5,12729.5,12366.0,363.5,down,down,0.169188,True,False,high,179.25,False,False,True,True
2023-02-10,False,False,False,False,False,True,12335.0,12345.75,12421.75,12243.0,178.75,up,up,0.574825,False,True,normal,-92.5,True,True,True,False
2023-02-13,False,False,False,False,False,True,12402.0,12544.5,12567.75,12352.0,215.75,up,up,0.892236,True,False,normal,56.25,False,False,True,False
2023-02-14,False,False,False,False,False,True,12473.5,12631.0,12673.25,12390.5,282.75,up,up,0.850575,True,False,normal,-71.0,True,False,True,False
2023-02-15,False,False,False,False,False,True,12553.25,12734.0,12734.5,12524.25,210.25,up,up,0.997622,True,False,normal,-77.75,False,False,True,False
2023-02-16,False,False,False,False,False,True,12524.0,12481.75,12694.5,12476.0,218.5,up,up,0.026316,True,False,normal,-210.0,True,True,True,False
2023-02-17,False,False,False,False,False,True,12389.75,12391.75,12423.5,12265.5,158.0,down,down,0.799051,False,False,low,-92.0,True,True,True,False
2023-02-20,False,False,False,False,False,True,12394.0,12366.75,12396.5,12363.5,33.0,down,down,0.098485,True,False,low,2.25,True,False,False,False
2023-02-21,False,False,False,False,False,True,12228.75,12098.0,12291.25,12091.5,199.75,down,down,0.032541,True,False,normal,-138.0,False,False,True,False
2023-02-22,False,False,False,False,False,True,12120.0,12102.75,12190.75,12034.25,156.5,up,down,0.4377,False,True,low,22.0,True,True,True,False
2023-02-23,False,False,False,False,False,True,12252.25,12206.0,12260.25,12028.0,232.25,down,down,0.766416,False,False,normal,149.5,False,False,True,False
2023-02-24,False,False,False,False,False,True,11994.0,11997.75,12043.0,11922.75,120.25,down,down,0.623701,False,True,low,-212.0,True,True,True,False
2023-02-27,False,False,False,False,False,True,12131.25,12083.75,12189.5,12058.5,131.0,up,up,0.192748,True,False,low,133.5,True,True,True,False
2023-02-28,False,False,False,False,False,True,12056.0,12064.5,12173.75,12041.25,132.5,up,up,0.175472,True,False,low,-27.75,True,True,True,False
2023-03-01,False,False,False,False,False,True,12052.25,11965.25,12080.0,11925.0,155.0,flat,down,0.259677,False,False,low,-12.25,True,False,True,False
2023-03-02,False,False,False,False,False,True,11857.0,12066.0,12096.25,11846.25,250.0,up,up,0.879,True,False,normal,-108.25,False,False,True,False
2023-03-03,False,False,False,False,False,True,12134.5,12312.25,12322.0,12111.0,211.0,up,up,0.953791,True,False,normal,68.5,True,False,True,False
2023-03-06,False,False,False,False,False,True,12361.0,12323.75,12485.75,12314.25,171.5,up,up,0.055394,True,False,low,48.75,True,False,True,False
2023-03-07,False,False,False,False,False,True,12324.25,12169.5,12367.5,12142.25,225.25,up,down,0.120977,True,False,normal,0.5,True,False,True,False
2023-03-08,False,False,False,False,False,True,12185.25,12231.0,12254.5,12108.5,146.0,down,up,0.839041,True,False,low,15.75,True,True,True,False
2023-03-09,False,False,False,False,False,True,12246.25,12006.5,12353.75,11977.0,376.75,up,up,0.078301,True,False,high,15.25,False,True,True,True
2023-03-10,False,False,False,False,False,True,12018.0,11841.0,12079.5,11796.5,283.0,down,down,0.157244,True,False,normal,11.5,True,True,True,False
2023-03-13,False,False,False,False,False,True,11770.75,11929.75,12086.75,11705.0,381.75,up,up,0.588736,False,False,high,-70.25,False,True,True,True
2023-03-14,False,False,False,False,False,True,12076.75,12200.25,12223.0,12038.25,184.75,up,up,0.876861,True,False,normal,147.0,False,True,True,False
2023-03-15,False,False,False,False,False,True,12211.5,12392.25,12407.0,12151.5,255.5,down,down,0.94227,True,False,normal,11.25,True,True,True,False
2023-03-16,False,False,False,False,False,True,12345.25,12715.5,12734.0,12314.0,420.0,up,up,0.955952,True,False,high,-47.0,False,False,True,True
2023-03-17,False,False,False,False,False,True,12710.0,12647.5,12810.0,12569.0,241.0,up,down,0.325726,False,False,normal,-5.5,True,False,True,False
2023-03-20,False,False,False,False,False,True,12623.5,12693.0,12708.0,12529.25,178.75,down,down,0.916084,True,False,normal,-24.0,True,False,True,False
2023-03-21,False,False,False,False,False,True,12775.5,12877.0,12897.5,12711.75,185.75,up,down,0.889637,True,False,normal,82.5,True,True,True,False
2023-03-22,False,False,False,False,False,True,12872.5,12698.75,13081.75,12696.0,385.75,up,up,0.007129,True,False,high,-4.5,False,True,True,True
2023-03-23,False,False,False,False,False,True,12855.0,12847.25,13031.5,12733.5,298.0,up,up,0.381711,False,False,high,156.25,False,True,False,True
2023-03-24,False,False,False,False,False,True,12826.75,12894.25,12896.0,12726.0,170.0,down,down,0.989706,True,False,low,-20.5,True,True,True,False
2023-03-27,False,False,False,False,False,True,12919.25,12799.75,12965.25,12765.75,199.5,up,down,0.170426,True,False,normal,25.0,True,False,True,False
2023-03-28,False,False,False,False,False,True,12776.25,12732.75,12777.0,12634.75,142.25,down,down,0.688928,False,False,low,-23.5,True,True,True,False
2023-03-29,False,False,False,False,False,True,12887.25,12969.0,12993.0,12854.0,139.0,up,up,0.827338,True,False,low,154.5,False,True,True,False
2023-03-30,False,False,False,False,False,True,13064.75,13085.0,13112.0,13011.25,100.75,up,up,0.73201,False,False,low,95.75,True,True,True,False
2023-03-31,False,False,False,False,False,True,13092.0,13301.25,13311.5,13078.0,233.5,up,up,0.956103,True,False,normal,7.0,False,False,True,False
2023-04-03,False,False,False,False,False,True,13210.25,13268.75,13278.75,13154.25,124.5,up,up,0.919679,True,False,low,-91.0,True,True,False,False
2023-04-04,False,False,False,False,False,True,13285.25,13223.25,13326.75,13168.75,158.0,down,down,0.344937,False,False,low,16.5,True,False,True,False
2023-04-05,False,False,False,False,False,True,13174.0,13079.5,13182.5,13006.0,176.5,down,down,0.416431,False,True,normal,-49.25,False,False,True,False
2023-04-06,False,False,False,False,False,True,13012.25,13171.5,13191.25,12952.5,238.75,down,up,0.917277,True,False,normal,-67.25,True,False,True,False
2023-04-10,False,False,False,False,False,True,13043.5,13164.25,13164.75,12967.5,197.25,down,down,0.997465,True,False,normal,-128.0,True,False,False,False
2023-04-11,False,False,False,False,False,True,13159.5,13077.0,13160.75,13051.75,109.0,down,down,0.231651,False,False,low,-4.75,True,True,False,False
2023-04-12,False,False,False,False,False,True,13156.75,12958.5,13181.0,12938.0,243.0,down,down,0.084362,True,False,normal,79.75,False,False,True,False
2023-04-13,False,False,False,False,False,True,13028.0,13210.5,13228.5,13019.75,208.75,up,up,0.913772,True,False,normal,69.5,False,False,True,False
2023-04-14,False,False,False,False,False,True,13139.25,13180.75,13255.0,13056.0,199.0,up,up,0.626884,False,True,normal,-71.25,True,True,True,False
2023-04-17,False,False,False,False,False,True,13162.75,13189.5,13206.0,13077.0,129.0,down,down,0.872093,True,False,low,-18.0,False,True,False,False
2023-04-18,False,False,False,False,False,True,13280.25,13189.0,13297.75,13138.25,159.5,down,down,0.318182,False,False,low,90.75,False,False,True,False
2023-04-19,False,False,False,False,False,True,13085.25,13183.5,13227.0,13078.25,148.75,up,up,0.707563,False,False,low,-103.75,True,False,True,False
2023-04-20,False,False,False,False,False,True,13051.5,13077.5,13199.75,13022.0,177.75,up,up,0.312236,False,False,normal,-132.0,True,True,True,False
2023-04-21,False,False,False,False,False,True,13057.75,13088.0,13121.75,12982.75,139.0,down,up,0.757194,False,False,low,-19.75,False,True,True,False
2023-04-24,False,False,False,False,False,True,13077.5,13059.5,13134.0,12967.25,166.75,up,up,0.553223,False,True,low,-10.5,False,False,True,False
2023-04-25,False,False,False,False,False,True,12988.5,12808.75,13015.5,12806.0,209.5,down,down,0.013126,True,False,normal,-71.0,False,False,True,False
