portfolio_set,portfolio_mode,trading_session,net_pnl,negative_day_rank,is_worst_20_day,phase13a_pnl,non_phase13a_pnl,phase13a_helped,phase13a_hurt,no_module_helped
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-27,-454.22,1,True,247.89999999999998,-5195.87,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-10,-431.72,2,True,-1395.12,-54.02000000000044,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-10,-396.42,3,True,-636.08,559.0400000000002,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-12,-334.22,4,True,745.12,-5032.2,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-16,-299.46000000000004,5,True,0.0,-6382.53,False,False,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-20,-295.5,6,True,-807.24,-491.26999999999975,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-16,-288.48,7,True,57.12000000000002,-2185.78,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-20,-281.37,8,True,1148.2,-9776.78,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-22,-279.17,9,True,-1057.45,1402.2399999999998,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-16,-277.94,10,True,-830.0799999999999,-2013.17,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-05,-264.72,11,True,-565.88,-2790.3,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-21,-254.2,12,True,-166.14,-4180.97,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-01,-246.78,13,True,-171.32,-828.68,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-30,-246.72,14,True,-138.42,-758.5900000000001,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-18,-243.96,15,True,78.84000000000003,-2735.67,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-05,-233.94,16,True,430.4,-1665.26,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-18,-227.72,17,True,-239.51000000000005,-7731.97,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-22,-213.87,18,True,-133.41999999999993,-3095.05,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-29,-197.51,19,True,-1123.64,702.4199999999998,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-25,-183.24,20,True,66.04000000000002,-5699.06,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-29,-170.74,21,False,734.64,-5612.54,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-04-27,-168.2,22,False,-413.66,-2055.43,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-04,-165.46,23,False,-1100.08,-645.22,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-19,-163.81,24,False,-702.2,-668.16,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-04-28,-158.48,25,False,876.31,-1708.9299999999998,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-11,-156.98,26,False,-1279.46,-448.73999999999995,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-30,-156.48,27,False,-199.54000000000008,-207.27999999999986,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-22,-146.89999999999998,28,False,-809.52,-563.68,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-05,-136.59,29,False,-333.35999999999996,-793.0999999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-26,-133.48,30,False,265.75000000000006,-1785.0,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-09,-130.12,31,False,-83.14,-3514.9000000000005,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-01,-128.72,32,False,-1285.3,-2075.8399999999997,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-17,-127.64,33,False,-927.92,399.14000000000004,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-26,-127.46,34,False,144.79999999999998,-2555.59,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-28,-124.88,35,False,-960.73,-1107.3,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-25,-117.94000000000004,36,False,-125.04,-2378.7,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-10,-116.48,37,False,-99.84,-822.0799999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-07,-113.36,38,False,-994.9399999999999,-180.2199999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-04-08,-112.98,39,False,55.64000000000003,-58.099999999999994,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-04,-112.52,40,False,917.94,860.11,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-25,-110.32,41,False,-146.68,181.06000000000003,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-02,-106.88,42,False,-1027.8,1414.3100000000002,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-13,-100.12,43,False,-357.48,-92.52999999999997,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-01,-96.09,44,False,-455.40000000000003,808.88,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-09,-95.98,45,False,-549.92,-1645.4199999999998,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-11,-95.74,46,False,-1095.1599999999999,-1698.2599999999998,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-18,-95.24,47,False,-1487.83,-843.7299999999998,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-08,-94.71999999999998,48,False,-456.02000000000004,-3017.54,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-21,-92.22,49,False,2943.66,-405.56000000000006,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-29,-91.98,50,False,405.15999999999997,69.97000000000003,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-02,-91.14,51,False,-1709.1000000000001,606.9300000000001,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-27,-89.79,52,False,-487.82000000000005,-137.38999999999996,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-04-07,-88.22,53,False,-859.5,-6.2999999999999545,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-17,-85.48,54,False,944.5899999999999,-1254.2700000000002,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-28,-83.72,55,False,-84.66,-304.3299999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-24,-83.46,56,False,507.75,-960.89,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-14,-81.74,57,False,-65.21999999999998,2002.4499999999998,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-07,-81.22,58,False,286.31,-373.58000000000004,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-17,-81.19999999999999,59,False,-194.35999999999996,1312.13,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-05,-80.97,60,False,607.0999999999999,-116.10999999999996,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-08,-73.74,61,False,-33.35999999999998,-1244.1599999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-11,-72.74,62,False,639.12,-71.43999999999986,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-25,-71.97999999999999,63,False,-240.83999999999997,301.64,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-20,-71.74,64,False,-433.82,-3441.27,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-04,-69.24,65,False,-281.67999999999995,-595.3300000000002,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-02,-65.82,66,False,-203.43999999999997,-574.65,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-06,-64.48,67,False,-151.79999999999998,-371.03999999999996,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-12,-60.83999999999999,68,False,-167.72,728.1200000000002,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-29,-59.22,69,False,-366.94,-1225.8899999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-29,-56.22,70,False,-1178.04,-888.86,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-04,-55.48,71,False,-7.81999999999999,-548.32,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-19,-52.7,72,False,116.55,-831.2699999999999,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-18,-52.7,73,False,-333.98,-1051.68,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-31,-51.93999999999998,74,False,376.28000000000003,1680.0,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-15,-49.96000000000001,75,False,-84.60000000000001,1168.02,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-24,-49.22000000000003,76,False,2075.3399999999997,-1011.95,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-12,-48.48,77,False,-84.34,-380.65999999999997,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-06,-46.48,78,False,-537.58,115.67999999999999,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-11,-45.720000000000006,79,False,-384.79999999999995,-3519.5499999999997,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-15,-40.720000000000006,80,False,-31.66000000000001,-716.1500000000001,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-15,-40.71999999999999,81,False,568.74,-668.0,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-07,-37.98,82,False,546.6800000000001,-536.68,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-07-02,-35.74,83,False,625.76,2669.8399999999997,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-13,-30.889999999999997,84,False,341.90000000000003,125.0700000000001,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-18,-30.5,85,False,-245.48000000000002,327.74,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-08,-28.24,86,False,-64.80000000000001,-309.7999999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-30,-26.24,87,False,68.26,-535.64,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-16,-24.48,88,False,-552.16,-1417.24,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-10,-23.22000000000001,89,False,-1510.1,-791.1499999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-18,-22.74,90,False,411.74,341.36000000000007,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-16,-19.74,91,False,-117.3,-401.02000000000004,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-27,-19.379999999999995,92,False,-326.36,243.93999999999988,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-10,-17.22,93,False,-29.339999999999996,-901.1099999999999,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-01,-15.74,94,False,0.0,-263.18,False,False,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-11-27,-13.74,95,False,0.0,24.68000000000001,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-21,-13.480000000000004,96,False,754.5999999999999,-308.0200000000001,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-08-27,-12.74,97,False,-19.859999999999975,-1.6000000000000227,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-09-15,-12.74,98,False,221.62,-431.74,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-09,-11.74,99,False,217.07999999999998,-346.55999999999995,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-30,-9.24,100,False,16.679999999999986,469.48,False,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-10-24,-9.24,101,False,-235.6,-1331.39,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-11,-8.200000000000008,102,False,-1704.1,566.4,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-26,-6.719999999999997,103,False,-438.18,-233.94,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-03-13,-5.74,104,False,-960.84,1199.26,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-15,-5.24,105,False,275.34,-1321.88,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-02-17,-3.960000000000008,106,False,593.79,-931.2700000000002,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-07-22,-1.74,107,False,-760.98,144.67999999999998,False,True,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2025-12-24,-0.74,108,False,-169.92000000000002,-186.63,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-06-15,-0.74,109,False,106.16,-870.26,True,False,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-01-26,-0.4799999999999969,110,False,-499.64,-317.20000000000005,False,True,True
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,2026-05-08,-0.24,111,False,-125.96000000000001,118.69999999999999,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-05,-367.74,1,True,-565.88,-2790.3,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-08-20,-281.37,2,True,1148.2,-9776.78,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-06-22,-279.17,3,True,-1057.45,1402.2399999999998,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-04,-248.24,4,True,-568.2,12958.56,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-10-30,-223.74,5,True,-138.42,-758.5900000000001,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-27,-222.64,6,True,-326.36,243.93999999999988,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-11-18,-217.24,7,True,-239.51000000000005,-7731.97,False,True,True
