scheduler_variant,portfolio_mode,regime_filter,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,best_day_concentration_delta_vs_portfolio_audit_d_best,best_trade_concentration_delta_vs_portfolio_audit_d_best
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
highest_recent_validation_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
highest_recent_validation_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.359662,0.359662,0.858206,1.246826,0.159647,0.159647
highest_recent_validation_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,0.194228,0.194228,0.500725,0.724086,-0.005787,-0.005787
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.17061,0.112589,0.423814,0.462137,0.061513,0.020635
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.17907,0.118173,0.44483,0.485053,0.069973,0.026219
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.103294,0.087063,0.269914,0.33772,-0.005803,-0.004891
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,0.106335,0.089627,0.277862,0.347664,-0.002762,-0.002327
lowest_correlation_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.219872,0.219872,0.524646,0.762221,0.019857,0.019857
lowest_correlation_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.291804,0.291804,0.696288,1.011587,0.091789,0.091789
lowest_correlation_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.153078,0.153078,0.394639,0.570678,-0.046937,-0.046937
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,0.17684,0.17684,0.4559,0.659265,-0.023175,-0.023175
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.180024,0.118802,0.433489,0.487637,0.070927,0.026848
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.183437,0.121054,0.441708,0.496883,0.07434,0.0291
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.106671,0.08991,0.278739,0.348762,-0.002426,-0.002044
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,0.10786,0.090912,0.281846,0.35265,-0.001237,-0.001042
phase10b_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
phase10b_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
phase10b_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
phase10b_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
phase10b_first,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
phase10b_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.17061,0.112589,0.423814,0.462137,0.061513,0.020635
phase10b_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.183944,0.121389,0.456939,0.498258,0.074847,0.029435
phase10b_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.103294,0.087063,0.269914,0.33772,-0.005803,-0.004891
phase10b_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
phase10b_first,one_trade_at_a_time_chronological,no_filter_baseline,0.108035,0.09106,0.282304,0.353223,-0.001062,-0.000894
phase13a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
phase13a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
phase13a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
phase13a_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
phase13a_first,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
phase13a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
phase13a_first,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,0.21647,0.21647,0.516531,0.750431,0.016455,0.016455
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,0.386082,0.386082,0.921249,1.338417,0.186067,0.186067
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,0.151778,0.151778,0.391288,0.565832,-0.048237,-0.048237
phase14a_first,max_one_trade_per_session,exclude_overlap_heavy_days,0.244015,0.244015,0.598085,0.866907,0.044,0.044
phase14a_first,max_one_trade_per_session,no_filter_baseline,0.200015,0.200015,0.515645,0.745661,0.0,0.0
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,0.173271,0.114346,0.430426,0.469347,0.064174,0.022392
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,0.187042,0.123434,0.464635,0.506649,0.077945,0.03148
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,0.104263,0.087881,0.272448,0.34089,-0.004834,-0.004073
phase14a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,0.251747,0.251747,0.617036,0.894376,0.14265,0.159793
phase14a_first,one_trade_at_a_time_chronological,no_filter_baseline,0.109097,0.091954,0.285078,0.356693,0.0,0.0
