scheduler_variant,portfolio_mode,regime_filter,accepted_trades,skipped_overlap_count,skipped_session_count,rejected_positive_trade_count,rejected_positive_pnl,early_losing_module_when_later_module_helped_days
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,505,69,0,27,2781.02,38
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,587,80,0,30,3096.8,47
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,597,85,0,32,3514.32,48
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,679,96,0,35,3830.1,57
highest_recent_validation_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
highest_recent_validation_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
highest_recent_validation_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,504,70,0,27,2781.02,38
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,585,82,0,30,3096.8,47
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,596,86,0,32,3514.32,48
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,677,98,0,35,3830.1,57
lowest_correlation_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,152,14970.27,0
lowest_correlation_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18421.26,0
lowest_correlation_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,181,18842.81,0
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22293.8,0
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,505,69,0,28,2924.28,38
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,585,82,0,31,3240.06,46
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,597,85,0,33,3657.58,48
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,677,98,0,36,3973.36,56
phase10b_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
phase10b_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
phase10b_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
phase10b_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
phase10b_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
phase10b_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,504,70,0,27,2781.02,38
phase10b_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,586,81,0,30,3096.8,47
phase10b_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,596,86,0,32,3514.32,48
phase10b_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
phase10b_first,one_trade_at_a_time_chronological,no_filter_baseline,678,97,0,35,3830.1,57
phase13a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
phase13a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
phase13a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
phase13a_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
phase13a_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,505,69,0,27,2781.02,38
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,587,80,0,30,3096.8,47
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,597,85,0,32,3514.32,48
phase13a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
phase13a_first,one_trade_at_a_time_chronological,no_filter_baseline,679,96,0,35,3830.1,57
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
phase14a_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
phase14a_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,505,69,0,27,2781.02,38
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,587,80,0,30,3096.8,47
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,597,85,0,32,3514.32,48
phase14a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
phase14a_first,one_trade_at_a_time_chronological,no_filter_baseline,679,96,0,35,3830.1,57
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
phase15a_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
phase15a_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
phase15a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,505,69,0,27,2781.02,38
phase15a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,587,80,0,30,3096.8,47
phase15a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,597,85,0,32,3514.32,48
phase15a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
phase15a_first,one_trade_at_a_time_chronological,no_filter_baseline,679,96,0,35,3830.1,57
rare_setup_first,max_one_trade_per_session,exclude_high_vol_mixed_days,179,0,395,151,14956.01,0
rare_setup_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,205,0,462,176,18671.26,0
rare_setup_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,219,0,463,180,18828.55,0
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,46,0,5,1,95.76,0
rare_setup_first,max_one_trade_per_session,no_filter_baseline,245,0,530,205,22543.8,0
rare_setup_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,505,69,0,27,2781.02,38
rare_setup_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,587,80,0,30,3096.8,47
rare_setup_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,597,85,0,32,3514.32,48
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,51,0,0,0,0.0,0
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,679,96,0,35,3830.1,57
