scheduler_variant,portfolio_mode,regime_filter,fold,net_pnl,stress_pnl,active_days
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,1,-676.6,-705.6,29
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,2,515.54,486.54,29
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,3,-177.4,-206.4,29
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,4,661.39,632.39,29
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,5,899.03,870.03,29
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,6,3857.01,3823.01,34
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,1,-320.7,-356.7,36
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,2,87.87,51.87,36
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,3,21.69,-14.31,36
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,4,192.39,156.39,36
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,5,1289.08,1253.08,36
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,6,7170.22,7131.22,39
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,1,-953.37,-987.37,34
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,2,1155.8,1121.8,34
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,3,-1386.97,-1420.97,34
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,4,1153.27,1119.27,34
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,5,866.94,832.94,34
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,6,3869.36,3834.36,35
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,-259.63,-266.63,7
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,48.09,41.09,7
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,42.25,35.25,7
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,463.95,456.95,7
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,666.86,659.86,7
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,670.12,659.12,11
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,1,-846.99,-886.99,40
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2,-459.99,-499.99,40
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,3,256.15,216.15,40
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,4,618.6,578.6,40
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,5,1493.51,1453.51,40
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,6,7005.33,6960.33,45
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,1,-356.01,-385.01,29
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,2,475.97,446.97,29
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,3,-979.02,-1008.02,29
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,4,224.16,195.16,29
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,5,401.92,372.92,29
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_days,6,2915.84,2881.84,34
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,1,-307.19,-343.19,36
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,2,62.72,26.72,36
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,3,-1047.51,-1083.51,36
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,4,65.74,29.74,36
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,5,1175.64,1139.64,36
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,6,4937.74,4898.74,39
existing_priority_baseline,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,1,-665.34,-699.34,34
