priority_policy,portfolio_mode,diagnostic_filter,trading_session,net_pnl
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-14,-21.22
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-15,-126.46000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-16,-87.72
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-17,-34.379999999999995
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-18,-116.19999999999999
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-21,79.02
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-22,-86.22
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-23,-135.45
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-24,58.300000000000004
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-25,128.28
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-28,107.8
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-29,-135.95999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-30,-15.719999999999999
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-07-31,-76.19999999999999
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-01,-128.72
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-04,-58.480000000000004
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-05,-58.959999999999994
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-06,-95.46
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-07,6.52000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-08,-93.98
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-11,-14.350000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-12,13.06000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-13,-330.3
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-14,-67.72
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-15,28.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-18,-111.34
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-19,-133.45999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-20,-281.37
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-21,-690.85
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-22,195.26
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-25,136.02
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-26,-141.69
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-27,-29.20000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-28,50.28
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-08-29,19.020000000000003
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-01,5.26
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-02,259.84
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-03,-11.219999999999999
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-04,-2.6800000000000033
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-05,-377.65999999999997
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-08,-50.06
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-09,-945.8599999999999
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-10,-49.46
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-11,30.780000000000005
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-12,18.06
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-15,-12.74
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-16,-208.16
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-17,-137.0
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-18,222.76
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-19,155.3
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-22,87.79000000000002
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-23,-45.22
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-24,136.29999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-25,227.76
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-26,-125.46
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-29,-59.22
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-09-30,-125.65999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-01,216.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-02,97.27000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-03,-32.92
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-06,-106.46000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-07,-424.34
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-08,35.49
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-09,-253.32
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-10,775.78
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-13,758.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-14,63.28
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-15,-478.14
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-16,-1444.3400000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-17,738.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-20,91.26
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-21,-331.84
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-22,-268.85
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-23,-82.74
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-24,-108.05
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-27,-69.96
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-28,-260.68
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-29,-285.53
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-30,-104.96000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-10-31,-54.09999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-03,77.26
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-04,-401.66
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-05,94.77999999999999
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-06,-218.7
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-07,134.26
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-10,-91.21999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-11,-100.19
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-12,-100.32
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-13,109.48
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-14,-56.46000000000002
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-17,-35.339999999999996
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-18,-227.72
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-19,-49.22
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-20,1417.78
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-21,-235.20000000000005
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-24,114.76
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-25,-128.06000000000003
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-26,157.53999999999996
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-27,-42.459999999999994
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-11-28,70.26
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-01,215.51999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-02,-172.69
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-03,-151.95999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-04,-272.46000000000004
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-05,400.28
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-08,-226.65999999999997
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-09,-3.459999999999992
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-10,-583.13
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-11,-346.44
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-12,-149.18
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-15,-41.92
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-16,161.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-17,380.78
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-18,437.28
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-19,-294.05
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-22,-248.20000000000002
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-23,174.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-24,-0.74
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-26,-31.699999999999996
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-29,87.28
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2025-12-30,57.56000000000001
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-02,39.280000000000015
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-05,140.02
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-06,199.54
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-07,23.520000000000003
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-08,-111.45999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-09,249.01999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-12,-157.45999999999998
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2026-01-13,-372.53
