priority_policy,portfolio_mode,diagnostic_filter,diagnostic_filter_only,accepted_trades,skipped_overlap_count,skipped_session_count,excluded_overlap_heavy_trade_count,rejected_positive_trade_count,rejected_positive_pnl,rejected_negative_trade_count,rejected_negative_pnl
concentration_adjusted_priority,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,829,122342.79,1181,-85606.03
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,False,1150,1108,0,0,593,95147.18,515,-51937.21
core_then_diversifier,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
core_then_diversifier,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,829,122464.79,1181,-85518.03
core_then_diversifier,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
core_then_diversifier,one_trade_at_a_time_chronological,no_filter_baseline,False,1148,1110,0,0,594,95214.94,516,-51775.45
diversifier_first,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
diversifier_first,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,830,122607.05,1180,-85486.29
diversifier_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
diversifier_first,one_trade_at_a_time_chronological,no_filter_baseline,False,1151,1107,0,0,593,95071.68,514,-51672.97
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,828,122309.53,1182,-85617.37
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,False,1153,1105,0,0,592,95038.42,513,-51680.33
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,829,122573.79,1181,-85544.63
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,False,1151,1107,0,0,592,95068.92,515,-51765.81
hybrid_validation_then_correlation,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
hybrid_validation_then_correlation,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,828,122200.53,1182,-85637.77
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,False,1152,1106,0,0,593,95147.18,513,-51871.73
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,828,122200.53,1182,-85637.77
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,False,1152,1106,0,0,593,95147.18,513,-51871.73
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
rare_setup_first,max_one_trade_per_session,no_filter_baseline,False,248,0,2010,0,828,122200.53,1182,-85637.77
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,True,6,0,0,2252,0,0.0,0,0.0
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,False,1152,1106,0,0,593,95147.18,513,-51871.73
