priority_policy,portfolio_mode,comparison_scope,net_pnl_delta_vs_existing_priority,fold_delta_vs_existing_priority,best_day_concentration_delta_vs_existing_priority,best_trade_concentration_delta_vs_existing_priority,active_days_delta_vs_existing_priority,trades_delta_vs_existing_priority,diagnostic_filter_only
concentration_adjusted_priority,one_trade_at_a_time_chronological,priority_only_no_filter,148.12,0.0,0.0,0.0,0,-3,False
core_then_diversifier,one_trade_at_a_time_chronological,priority_only_no_filter,-81.4,0.0,0.0,0.0,0,-5,False
diversifier_first,one_trade_at_a_time_chronological,priority_only_no_filter,-40.62,0.0,0.0,0.0,0,-2,False
existing_priority_baseline,one_trade_at_a_time_chronological,priority_only_no_filter,0.0,0.0,0.0,0.0,0,0,False
highest_recent_validation_first,one_trade_at_a_time_chronological,priority_only_no_filter,54.98,0.0,0.0,0.0,0,-2,False
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,priority_only_no_filter,82.64,0.0,0.0,0.0,0,-1,False
lowest_correlation_first,one_trade_at_a_time_chronological,priority_only_no_filter,82.64,0.0,0.0,0.0,0,-1,False
rare_setup_first,one_trade_at_a_time_chronological,priority_only_no_filter,82.64,0.0,0.0,0.0,0,-1,False
concentration_adjusted_priority,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
core_then_diversifier,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
diversifier_first,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
existing_priority_baseline,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
highest_recent_validation_first,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
lowest_correlation_first,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
rare_setup_first,one_trade_at_a_time_chronological,diagnostic_exclude_overlap_heavy_days,3799.08,0.0,0.0,0.0,-242,-1147,True
concentration_adjusted_priority,max_one_trade_per_session,priority_only_no_filter,-44.6,0.0,0.004686,0.004686,0,0,False
core_then_diversifier,max_one_trade_per_session,priority_only_no_filter,-254.6,0.0,0.029068,0.029068,0,0,False
diversifier_first,max_one_trade_per_session,priority_only_no_filter,-428.6,0.0,0.052717,0.052717,0,0,False
existing_priority_baseline,max_one_trade_per_session,priority_only_no_filter,0.0,0.0,0.0,0.0,0,0,False
highest_recent_validation_first,max_one_trade_per_session,priority_only_no_filter,-337.0,0.0,0.03983,0.03983,0,0,False
hybrid_validation_then_correlation,max_one_trade_per_session,priority_only_no_filter,129.4,0.0,-0.012754,-0.012754,0,0,False
lowest_correlation_first,max_one_trade_per_session,priority_only_no_filter,129.4,0.0,-0.012754,-0.012754,0,0,False
rare_setup_first,max_one_trade_per_session,priority_only_no_filter,129.4,0.0,-0.012754,-0.012754,0,0,False
concentration_adjusted_priority,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
core_then_diversifier,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
diversifier_first,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
existing_priority_baseline,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
highest_recent_validation_first,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
hybrid_validation_then_correlation,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
lowest_correlation_first,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
rare_setup_first,max_one_trade_per_session,diagnostic_exclude_overlap_heavy_days,-2866.85,-0.166667,0.723159,0.723159,-242,-242,True
