overlay_variant,priority_policy,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
no_overlay_baseline,concentration_adjusted_priority,max_one_trade_per_session,0.281527,0.281527,0.669804,0.975341
no_overlay_baseline,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_overlay_baseline,hybrid_validation_then_correlation,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_overlay_baseline,lowest_correlation_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
no_overlay_baseline,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_overlay_baseline,rare_setup_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
no_overlay_baseline,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_deprioritize_only,concentration_adjusted_priority,max_one_trade_per_session,0.281527,0.281527,0.669804,0.975341
overlay_deprioritize_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_deprioritize_only,hybrid_validation_then_correlation,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
overlay_deprioritize_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_deprioritize_only,lowest_correlation_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
overlay_deprioritize_only,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_deprioritize_only,rare_setup_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
overlay_deprioritize_only,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,0.309524,0.309524,0.764153,1.182807
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,0.309524,0.309524,0.764153,1.182807
overlay_exclude_parked,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,0.309524,0.309524,0.764153,1.182807
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_exclude_parked,rare_setup_first,max_one_trade_per_session,0.309524,0.309524,0.764153,1.182807
overlay_exclude_parked,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_keep_representatives_only,concentration_adjusted_priority,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_only,lowest_correlation_first,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_only,rare_setup_first,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_only,rare_setup_first,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_plus_diversifiers,concentration_adjusted_priority,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_plus_diversifiers,concentration_adjusted_priority,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_plus_diversifiers,hybrid_validation_then_correlation,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_plus_diversifiers,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_plus_diversifiers,lowest_correlation_first,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_plus_diversifiers,lowest_correlation_first,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_keep_representatives_plus_diversifiers,rare_setup_first,max_one_trade_per_session,0.366075,0.366075,0.89242,1.270005
overlay_keep_representatives_plus_diversifiers,rare_setup_first,one_trade_at_a_time_chronological,0.139096,0.109641,0.369952,0.458344
overlay_priority_only,concentration_adjusted_priority,max_one_trade_per_session,0.329558,0.329558,0.784078,1.141743
overlay_priority_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_priority_only,hybrid_validation_then_correlation,max_one_trade_per_session,0.329558,0.329558,0.784078,1.141743
overlay_priority_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_priority_only,lowest_correlation_first,max_one_trade_per_session,0.329558,0.329558,0.784078,1.141743
overlay_priority_only,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_priority_only,rare_setup_first,max_one_trade_per_session,0.329558,0.329558,0.784078,1.141743
overlay_priority_only,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_seed_cluster_deprioritized,concentration_adjusted_priority,max_one_trade_per_session,0.281527,0.281527,0.669804,0.975341
overlay_seed_cluster_deprioritized,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_seed_cluster_deprioritized,hybrid_validation_then_correlation,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
overlay_seed_cluster_deprioritized,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_seed_cluster_deprioritized,lowest_correlation_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
overlay_seed_cluster_deprioritized,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
overlay_seed_cluster_deprioritized,rare_setup_first,max_one_trade_per_session,0.264087,0.264087,0.628311,0.91492
