pruning_variant,priority_policy,portfolio_mode,trading_session,net_pnl
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-14,8.519999999999996
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-15,-126.46000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-16,-87.72
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-17,-34.379999999999995
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-18,-116.19999999999999
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-21,79.02
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-22,-86.22
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-23,-135.45
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-24,58.300000000000004
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-25,128.28
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-28,107.8
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-29,-135.95999999999998
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-30,-15.719999999999999
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-07-31,-76.19999999999999
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-01,-128.72
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-04,-58.480000000000004
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-05,-58.959999999999994
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-06,-95.46
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-07,6.52000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-08,-93.98
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-11,-14.350000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-12,13.06000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-13,-330.3
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-14,-67.72
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-15,28.54
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-18,-197.1
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-19,-133.45999999999998
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-20,-281.37
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-21,-690.85
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-22,195.26
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-25,136.02
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-26,-141.69
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-27,-29.20000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-28,50.28
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-08-29,19.020000000000003
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-01,5.26
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-02,259.84
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-03,-11.219999999999999
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-04,-2.6800000000000033
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-05,-377.65999999999997
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-08,-50.06
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-09,-945.8599999999999
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-10,-49.46
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-11,30.780000000000005
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-12,18.06
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-15,-12.74
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-16,-208.16
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-17,-137.0
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-18,222.76
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-19,155.3
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-22,87.79000000000002
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-23,-45.22
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-24,123.8
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-25,227.76
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-26,-125.46
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-29,-59.22
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-09-30,-112.15999999999998
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-01,216.54
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-02,97.27000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-03,-32.92
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-06,-106.46000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-07,-424.34
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-08,35.49
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-09,-253.32
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-10,775.78
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-13,758.54
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-14,84.28
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-15,-478.14
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-16,-1444.3400000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-17,738.54
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-20,91.26
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-21,-331.84
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-22,-268.85
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-23,-82.74
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-24,-108.05
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-27,-69.96
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-28,-260.68
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-29,-285.53
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-30,-104.96000000000001
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-10-31,-54.09999999999998
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-03,77.26
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-04,-401.66
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-05,94.77999999999999
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-06,-218.7
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-07,134.26
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-10,-91.21999999999998
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-11,-100.19
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-12,-100.32
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-13,109.48
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-14,-56.46000000000002
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-17,-35.339999999999996
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-18,-227.72
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-19,-49.22
no_overlay_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2025-11-20,1417.78
