priority_policy,portfolio_mode,accepted_trades,skipped_overlap_count,skipped_session_count,rejected_positive_trade_count,rejected_positive_pnl,rejected_negative_trade_count,rejected_negative_pnl,overlay_variant
concentration_adjusted_priority,max_one_trade_per_session,248,0,2010,829,122342.79,1181,-85606.03,no_overlay_baseline
concentration_adjusted_priority,one_trade_at_a_time_chronological,1150,1108,0,593,95147.18,515,-51937.21,no_overlay_baseline
hybrid_validation_then_correlation,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,no_overlay_baseline
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73,no_overlay_baseline
lowest_correlation_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,no_overlay_baseline
lowest_correlation_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73,no_overlay_baseline
rare_setup_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,no_overlay_baseline
rare_setup_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73,no_overlay_baseline
concentration_adjusted_priority,max_one_trade_per_session,248,0,2010,829,122342.79,1181,-85606.03,overlay_deprioritize_only
concentration_adjusted_priority,one_trade_at_a_time_chronological,1150,1108,0,593,95147.18,515,-51937.21,overlay_deprioritize_only
hybrid_validation_then_correlation,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,overlay_deprioritize_only
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51826.73,overlay_deprioritize_only
lowest_correlation_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,overlay_deprioritize_only
lowest_correlation_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51826.73,overlay_deprioritize_only
rare_setup_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,overlay_deprioritize_only
rare_setup_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51826.73,overlay_deprioritize_only
concentration_adjusted_priority,max_one_trade_per_session,248,0,1766,736,109679.36,1030,-73482.95,overlay_exclude_parked
concentration_adjusted_priority,one_trade_at_a_time_chronological,1052,962,0,534,86688.34,428,-44337.88,overlay_exclude_parked
hybrid_validation_then_correlation,max_one_trade_per_session,248,0,1766,736,109679.36,1030,-73482.95,overlay_exclude_parked
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1052,962,0,534,86688.34,428,-44337.88,overlay_exclude_parked
lowest_correlation_first,max_one_trade_per_session,248,0,1766,736,109679.36,1030,-73482.95,overlay_exclude_parked
lowest_correlation_first,one_trade_at_a_time_chronological,1052,962,0,534,86688.34,428,-44337.88,overlay_exclude_parked
rare_setup_first,max_one_trade_per_session,248,0,1766,736,109679.36,1030,-73482.95,overlay_exclude_parked
rare_setup_first,one_trade_at_a_time_chronological,1052,962,0,534,86688.34,428,-44337.88,overlay_exclude_parked
concentration_adjusted_priority,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_only
concentration_adjusted_priority,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_only
hybrid_validation_then_correlation,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_only
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_only
lowest_correlation_first,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_only
lowest_correlation_first,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_only
rare_setup_first,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_only
rare_setup_first,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_only
concentration_adjusted_priority,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_plus_diversifiers
concentration_adjusted_priority,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_plus_diversifiers
hybrid_validation_then_correlation,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_plus_diversifiers
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_plus_diversifiers
lowest_correlation_first,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_plus_diversifiers
lowest_correlation_first,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_plus_diversifiers
rare_setup_first,max_one_trade_per_session,237,0,348,146,18735.96,202,-13761.58,overlay_keep_representatives_plus_diversifiers
rare_setup_first,one_trade_at_a_time_chronological,494,91,0,39,7084.64,52,-5820.71,overlay_keep_representatives_plus_diversifiers
concentration_adjusted_priority,max_one_trade_per_session,248,0,2010,830,122607.05,1180,-85486.29,overlay_priority_only
concentration_adjusted_priority,one_trade_at_a_time_chronological,1148,1110,0,593,95102.18,517,-51809.19,overlay_priority_only
hybrid_validation_then_correlation,max_one_trade_per_session,248,0,2010,830,122607.05,1180,-85486.29,overlay_priority_only
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1148,1110,0,593,95102.18,517,-51809.19,overlay_priority_only
lowest_correlation_first,max_one_trade_per_session,248,0,2010,830,122607.05,1180,-85486.29,overlay_priority_only
lowest_correlation_first,one_trade_at_a_time_chronological,1148,1110,0,593,95102.18,517,-51809.19,overlay_priority_only
rare_setup_first,max_one_trade_per_session,248,0,2010,830,122607.05,1180,-85486.29,overlay_priority_only
rare_setup_first,one_trade_at_a_time_chronological,1148,1110,0,593,95102.18,517,-51809.19,overlay_priority_only
concentration_adjusted_priority,max_one_trade_per_session,248,0,2010,829,122342.79,1181,-85606.03,overlay_seed_cluster_deprioritized
concentration_adjusted_priority,one_trade_at_a_time_chronological,1150,1108,0,593,95147.18,515,-51937.21,overlay_seed_cluster_deprioritized
hybrid_validation_then_correlation,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,overlay_seed_cluster_deprioritized
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73,overlay_seed_cluster_deprioritized
lowest_correlation_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,overlay_seed_cluster_deprioritized
lowest_correlation_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73,overlay_seed_cluster_deprioritized
rare_setup_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77,overlay_seed_cluster_deprioritized
rare_setup_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73,overlay_seed_cluster_deprioritized
concentration_adjusted_priority,max_one_trade_per_session,248,0,1696,714,100458.89,982,-72016.21,overlay_seed_cluster_excluded
concentration_adjusted_priority,one_trade_at_a_time_chronological,1037,907,0,477,72954.02,430,-42737.25,overlay_seed_cluster_excluded
hybrid_validation_then_correlation,max_one_trade_per_session,248,0,1696,714,100458.89,982,-72016.21,overlay_seed_cluster_excluded
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1037,907,0,477,72954.02,430,-42737.25,overlay_seed_cluster_excluded
lowest_correlation_first,max_one_trade_per_session,248,0,1696,714,100458.89,982,-72016.21,overlay_seed_cluster_excluded
lowest_correlation_first,one_trade_at_a_time_chronological,1037,907,0,477,72954.02,430,-42737.25,overlay_seed_cluster_excluded
rare_setup_first,max_one_trade_per_session,248,0,1696,714,100458.89,982,-72016.21,overlay_seed_cluster_excluded
rare_setup_first,one_trade_at_a_time_chronological,1037,907,0,477,72954.02,430,-42737.25,overlay_seed_cluster_excluded
