portfolio_set,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
top3_cross_family,raw_sum_diagnostic,0.169992,0.169992,0.39371,0.54808
top3_cross_family,one_trade_at_a_time_chronological,0.171028,0.171028,0.396109,0.55142
top3_cross_family,max_one_trade_per_session,0.176565,0.176565,0.408933,0.569271
phase10b_only_top_signals,raw_sum_diagnostic,0.24133,0.030166,0.583795,0.150831
phase10b_only_top_signals,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
phase10b_only_top_signals,max_one_trade_per_session,0.401375,0.401375,0.981893,1.351921
phase11a_only_top_signals,raw_sum_diagnostic,0.263982,0.263982,0.762676,1.224417
phase11a_only_top_signals,one_trade_at_a_time_chronological,0.263982,0.263982,0.762676,1.224417
phase11a_only_top_signals,max_one_trade_per_session,0.358694,0.358694,1.036311,1.53297
phase12a_only_top_signals,raw_sum_diagnostic,0.225298,0.225298,0.6287,0.947153
phase12a_only_top_signals,one_trade_at_a_time_chronological,0.225298,0.225298,0.6287,0.947153
phase12a_only_top_signals,max_one_trade_per_session,0.225298,0.225298,0.6287,0.947153
parked_research_signals_all,raw_sum_diagnostic,0.313721,0.052287,0.642396,0.261434
parked_research_signals_all,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
parked_research_signals_all,max_one_trade_per_session,0.234009,0.234009,0.541975,0.754479
rare_setup_research_signals_all,raw_sum_diagnostic,0.167707,0.06008,0.496122,0.220074
rare_setup_research_signals_all,one_trade_at_a_time_chronological,0.412384,0.412384,0.934393,1.279503
rare_setup_research_signals_all,max_one_trade_per_session,0.340276,0.340276,0.724604,1.019708
diversified_low_correlation_top5,raw_sum_diagnostic,0.103822,0.103822,0.29422,0.360069
diversified_low_correlation_top5,one_trade_at_a_time_chronological,0.141345,0.141345,0.361187,0.487006
diversified_low_correlation_top5,max_one_trade_per_session,0.163812,0.163812,0.400738,0.551757
diversified_cross_family_top6,raw_sum_diagnostic,0.218693,0.109347,0.506503,0.450637
diversified_cross_family_top6,one_trade_at_a_time_chronological,0.210178,0.210178,0.486783,0.677646
diversified_cross_family_top6,max_one_trade_per_session,0.176565,0.176565,0.408933,0.569271
