portfolio_set,portfolio_mode,fold,net_pnl,stress_pnl,active_days
top3_cross_family,raw_sum_diagnostic,1,-196.43,-229.43,33
top3_cross_family,raw_sum_diagnostic,2,980.05,947.05,33
top3_cross_family,raw_sum_diagnostic,3,2525.24,2492.24,33
top3_cross_family,raw_sum_diagnostic,4,715.01,682.01,33
top3_cross_family,raw_sum_diagnostic,5,18.97,-14.03,33
top3_cross_family,raw_sum_diagnostic,6,1285.4,1250.4,35
top3_cross_family,one_trade_at_a_time_chronological,1,-165.45,-195.45,30
top3_cross_family,one_trade_at_a_time_chronological,2,761.03,731.03,30
top3_cross_family,one_trade_at_a_time_chronological,3,2600.72,2570.72,30
top3_cross_family,one_trade_at_a_time_chronological,4,723.51,693.51,30
top3_cross_family,one_trade_at_a_time_chronological,5,33.93,3.93,30
top3_cross_family,one_trade_at_a_time_chronological,6,1342.22,1310.22,32
top3_cross_family,max_one_trade_per_session,1,-155.33,-185.33,30
top3_cross_family,max_one_trade_per_session,2,990.29,960.29,30
top3_cross_family,max_one_trade_per_session,3,2319.3,2289.3,30
top3_cross_family,max_one_trade_per_session,4,520.8,490.8,30
top3_cross_family,max_one_trade_per_session,5,153.51,123.51,30
top3_cross_family,max_one_trade_per_session,6,1301.32,1269.32,32
phase10b_only_top_signals,raw_sum_diagnostic,1,-3869.34,-3902.34,33
phase10b_only_top_signals,raw_sum_diagnostic,2,2971.6,2938.6,33
phase10b_only_top_signals,raw_sum_diagnostic,3,13953.0,13920.0,33
phase10b_only_top_signals,raw_sum_diagnostic,4,4552.36,4519.36,33
phase10b_only_top_signals,raw_sum_diagnostic,5,217.7,184.7,33
phase10b_only_top_signals,raw_sum_diagnostic,6,12200.34,12165.34,35
phase10b_only_top_signals,one_trade_at_a_time_chronological,1,-862.59,-880.59,18
phase10b_only_top_signals,one_trade_at_a_time_chronological,2,-2393.23,-2411.23,18
phase10b_only_top_signals,one_trade_at_a_time_chronological,3,648.2,630.2,18
phase10b_only_top_signals,one_trade_at_a_time_chronological,4,-1109.66,-1127.66,18
