selection_rank,phase,candidate_id,family,plain_english_rule,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,bootstrap_or_null_classification,signal_evidence_status,tradability_status,research_track,revisit_condition,source_report,phase_rank,phase_score,audit_c_rank,selection_reason
1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md,1.0,4150.71,1.0,top_phase_parked_signal
2,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,1366.61,1215.61,82.84,303.5,576.23,0.5,151,98,0.263982,0.263982,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase11a_research_signal_packet.md,2.0,624.34,2.0,top_phase_parked_signal
3,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,1006.49,953.49,41.79,226.88,440.05,0.5,53,53,0.225298,0.225298,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md,2.0,700.15,3.0,top_phase_parked_signal
4,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md,2.0,4150.71,4.0,real_but_nontradable_signal
5,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md,3.0,3762.37,5.0,real_but_nontradable_signal
6,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md,4.0,3762.37,6.0,real_but_nontradable_signal
7,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,5.0,3665.5,7.0,real_but_nontradable_signal
8,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,6.0,3665.5,8.0,real_but_nontradable_signal
9,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,7.0,3441.54,9.0,real_but_nontradable_signal
10,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,8.0,3441.54,10.0,real_but_nontradable_signal
11,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2292.53,2226.53,117.16,920.64,1786.9,0.833333,66,66,0.395092,0.395092,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md,9.0,3267.94,11.0,real_but_nontradable_signal
12,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,2292.53,2226.53,117.16,920.64,1786.9,0.833333,66,66,0.395092,0.395092,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase10b_research_signal_packet.md,10.0,3267.94,12.0,real_but_nontradable_signal
13,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1752.41,1698.41,122.9,835.1,1821.32,0.833333,54,54,0.264071,0.264071,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,11.0,3113.46,13.0,rare_setup_research_signal
14,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1752.41,1698.41,122.9,835.1,1821.32,0.833333,54,54,0.264071,0.264071,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,12.0,3113.46,14.0,rare_setup_research_signal
15,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1643.5,1587.5,644.66,2011.98,1982.5,0.666667,56,56,0.353368,0.353368,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md,21.0,2034.6,19.0,rare_setup_research_signal
