portfolio_set,portfolio_mode,phase13a_net_contribution,phase14a_net_contribution,phase13a_trade_count,phase14a_trade_count,phase13a_active_days,phase14a_active_days,incremental_active_days_from_phase13a,incremental_active_days_from_phase14a,phase14a_days_existing_no_trade,phase14a_days_existing_negative_pnl,phase14a_overlap_skipped,phase14a_session_skipped
audit_b_best_reconstructed,raw_sum_diagnostic,0.0,0.0,0,0,0,0,0,0,0,0,0,0
audit_b_best_reconstructed,one_trade_at_a_time_chronological,0.0,0.0,0,0,0,0,0,0,0,0,39,0
audit_b_best_reconstructed,max_one_trade_per_session,0.0,0.0,0,0,0,0,0,0,0,0,0,193
audit_b_best_plus_phase14a,raw_sum_diagnostic,0.0,797.97,0,141,0,108,0,21,21,43,0,0
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,0.0,581.99,0,115,0,94,0,23,21,38,69,0
audit_b_best_plus_phase14a,max_one_trade_per_session,0.0,-753.41,0,49,0,49,0,49,21,15,0,313
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,1762.0,797.97,246,141,123,108,24,8,8,51,0,0
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,763.31,499.93,115,109,111,88,36,8,8,41,218,0
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,1228.82,-343.85,87,37,87,37,87,37,8,15,0,535
top_cross_family_plus_13a_14a,raw_sum_diagnostic,1762.0,797.97,246,141,123,108,13,9,9,58,0,0
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,415.93,682.49,95,118,93,90,19,9,9,49,191,0
top_cross_family_plus_13a_14a,max_one_trade_per_session,-153.6,788.72,47,19,47,19,47,19,9,5,0,450
diversifier_only_13a_14a,raw_sum_diagnostic,1762.0,797.97,246,141,123,108,77,62,62,22,0,0
diversifier_only_13a_14a,one_trade_at_a_time_chronological,407.66,673.63,125,132,121,100,85,64,62,19,130,0
diversifier_only_13a_14a,max_one_trade_per_session,754.7,365.52,108,77,108,77,108,77,62,7,0,202
prior_level_diversifiers_only,raw_sum_diagnostic,1762.0,797.97,246,141,123,108,77,62,62,22,0,0
prior_level_diversifiers_only,one_trade_at_a_time_chronological,407.66,673.63,125,132,121,100,85,64,62,19,130,0
prior_level_diversifiers_only,max_one_trade_per_session,754.7,365.52,108,77,108,77,108,77,62,7,0,202
all_parked_modules_with_13a_14a,raw_sum_diagnostic,1762.0,797.97,246,141,123,108,25,3,3,54,0,0
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,840.39,862.15,91,106,89,86,29,4,3,44,853,0
all_parked_modules_with_13a_14a,max_one_trade_per_session,208.59,-316.59,45,13,45,13,45,13,3,6,0,1514
greedy_low_correlation_with_14a,raw_sum_diagnostic,0.0,797.97,0,141,0,108,0,4,4,57,0,0
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,0.0,576.21,0,112,0,92,0,4,4,48,84,0
greedy_low_correlation_with_14a,max_one_trade_per_session,0.0,-329.58,0,14,0,14,0,14,4,6,0,474
