portfolio_set,portfolio_mode,signals,signal_keys,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,trades,active_days,trades_per_active_day,max_drawdown,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,average_pairwise_daily_correlation,max_pairwise_daily_correlation,trade_overlap_count,skipped_overlap_count,skipped_session_count,phase13a_net_contribution,phase14a_net_contribution,phase13a_trade_count,phase14a_trade_count,phase13a_active_days,phase14a_active_days,incremental_active_days_from_phase13a,incremental_active_days_from_phase14a,phase14a_days_existing_no_trade,phase14a_days_existing_negative_pnl,concentration_delta_vs_audit_b_best,fold_delta_vs_audit_b_best,drawdown_delta_vs_audit_b_best,activity_delta_vs_audit_b_best,official_gates_passed,portfolio_label,research_status,paper_trading_approved
audit_b_best_reconstructed,raw_sum_diagnostic,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,8724.15,8332.15,1226.59,4189.3,8724.15,8525.15,0.833333,-365.2,392,199,1.969849,-1222.71,0.103822,0.103822,0.29422,0.360069,0.119263,0.612488,40,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
audit_b_best_reconstructed,one_trade_at_a_time_chronological,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,6408.14,6055.14,577.49,3677.0,6408.14,6209.14,0.833333,-115.11,353,199,1.773869,-1117.99,0.141345,0.141345,0.361187,0.487006,0.119263,0.612488,0,39,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
audit_b_best_reconstructed,max_one_trade_per_session,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,5529.25,5330.25,1193.09,2884.98,5529.25,5330.25,0.833333,-525.42,199,199,1.0,-1050.04,0.163812,0.163812,0.400738,0.551757,0.119263,0.612488,0,0,193,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
audit_b_best_plus_phase14a,raw_sum_diagnostic,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,9522.12,8989.12,1473.36,5361.45,9522.12,9302.12,0.833333,-141.24,533,220,2.422727,-1602.13,0.113792,0.095122,0.309185,0.346488,0.106778,0.612488,74,0,0,0.0,797.97,0,141,0,108,0,21,21,43,0.00997,0.0,-379.42,21.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,6911.09,6447.09,743.94,4593.33,6911.09,6691.09,0.833333,-270.04,464,220,2.109091,-1480.67,0.131059,0.131059,0.334902,0.451564,0.106778,0.612488,0,69,0,0.0,581.99,0,115,0,94,0,23,21,38,-0.010286,0.0,-362.68,21.0,False,portfolio_c_positive_but_concentrated,phase14a_reduces_concentration,False
audit_b_best_plus_phase14a,max_one_trade_per_session,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,4479.69,4259.69,897.41,2427.61,4479.69,4259.69,0.833333,-209.89,220,220,1.0,-1054.78,0.202193,0.202193,0.494628,0.681029,0.106778,0.612488,0,0,313,0.0,-753.41,0,49,0,49,0,49,21,15,0.038381,0.0,-4.74,21.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,9,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,11284.12,10505.12,4289.02,5531.53,11284.12,11040.12,0.833333,-420.92,779,244,3.192623,-2601.95,0.131606,0.080269,0.29412,0.292384,0.128276,0.999252,267,0,0,1762.0,797.97,246,141,123,108,24,8,8,51,0.027784,0.0,-1379.24,45.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,9,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,7133.22,6572.22,1884.97,4546.87,7133.22,6889.22,0.666667,-346.42,561,244,2.29918,-1401.04,0.123406,0.126978,0.314035,0.437502,0.128276,0.999252,0,218,0,763.31,499.93,115,109,111,88,36,8,8,41,-0.017939,-0.166666,-283.05,45.0,False,portfolio_c_positive_but_concentrated,phase14a_reduces_concentration,False
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,9,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,3685.6,3441.6,1987.87,2431.47,3685.6,3441.6,0.666667,-1569.53,244,244,1.0,-2121.16,0.157575,0.157575,0.384138,0.57258,0.128276,0.999252,0,0,535,1228.82,-343.85,87,37,87,37,87,37,8,15,-0.006237,-0.166666,-1071.12,45.0,False,portfolio_c_positive_but_concentrated,phase14a_reduces_concentration,False
top_cross_family_plus_13a_14a,raw_sum_diagnostic,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,7239.88,6546.88,4498.62,3762.48,7239.88,6996.88,0.5,-1347.45,693,243,2.851852,-3103.65,0.141201,0.125107,0.376158,0.436237,0.133027,0.999252,249,0,0,1762.0,797.97,246,141,123,108,13,9,9,58,0.037379,-0.333333,-1880.94,44.0,False,portfolio_c_positive_but_concentrated,portfolio_still_nontradable,False
