portfolio_set,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
audit_c_best_reconstructed,raw_sum_diagnostic,0.157957,0.028587,0.413544,0.142936
audit_c_best_reconstructed,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
audit_c_best_reconstructed,max_one_trade_per_session,0.430751,0.430751,1.06455,1.642722
audit_c_best_plus_phase15a,raw_sum_diagnostic,0.167166,0.027495,0.413228,0.137473
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
audit_c_best_plus_phase15a,max_one_trade_per_session,0.407405,0.407405,1.006854,1.55369
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,0.167166,0.027495,0.413228,0.137473
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,0.407405,0.407405,1.006854,1.55369
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,0.116517,0.106573,0.341368,0.378963
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,0.212184,0.135555,0.444539,0.482023
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,0.254472,0.254472,0.595138,0.916127
diversifier_only_13a_14a_15a,raw_sum_diagnostic,0.244247,0.162542,0.558742,0.611482
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,0.380547,0.304112,0.784139,1.102674
diversifier_only_13a_14a_15a,max_one_trade_per_session,0.488868,0.488868,0.954709,1.34219
trend_power_only_phase15a,raw_sum_diagnostic,0.613544,0.398901,1.413141,1.442924
trend_power_only_phase15a,one_trade_at_a_time_chronological,0.617626,0.617626,1.448925,2.019528
trend_power_only_phase15a,max_one_trade_per_session,0.442485,0.442485,1.03805,1.446846
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,0.160506,0.026913,0.401364,0.134565
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,0.306353,0.306353,0.728868,1.061348
rare_setup_plus_15a,raw_sum_diagnostic,0.331695,0.129847,0.580499,0.464374
rare_setup_plus_15a,one_trade_at_a_time_chronological,0.432339,0.278118,0.720829,0.82699
rare_setup_plus_15a,max_one_trade_per_session,0.252652,0.252652,0.498543,0.720584
greedy_low_correlation_with_15a,raw_sum_diagnostic,0.125865,0.099317,0.311417,0.406406
greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,0.109097,0.091954,0.285078,0.356693
greedy_low_correlation_with_15a,max_one_trade_per_session,0.200015,0.200015,0.515645,0.745661
