portfolio_set,portfolio_mode,max_drawdown
audit_c_best_reconstructed,raw_sum_diagnostic,-5488.48
audit_c_best_reconstructed,one_trade_at_a_time_chronological,-7476.15
audit_c_best_reconstructed,max_one_trade_per_session,-1583.2
audit_c_best_plus_phase15a,raw_sum_diagnostic,-5898.46
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,-7144.63
audit_c_best_plus_phase15a,max_one_trade_per_session,-1583.2
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,-5898.46
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,-7144.63
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,-1583.2
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,-2774.83
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,-1759.09
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,-1564.49
diversifier_only_13a_14a_15a,raw_sum_diagnostic,-3014.63
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,-1735.01
diversifier_only_13a_14a_15a,max_one_trade_per_session,-1173.11
trend_power_only_phase15a,raw_sum_diagnostic,-1080.92
trend_power_only_phase15a,one_trade_at_a_time_chronological,-876.08
trend_power_only_phase15a,max_one_trade_per_session,-741.38
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,-6484.58
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,-7932.55
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,-1518.39
rare_setup_plus_15a,raw_sum_diagnostic,-2424.68
rare_setup_plus_15a,one_trade_at_a_time_chronological,-1853.69
rare_setup_plus_15a,max_one_trade_per_session,-1194.37
greedy_low_correlation_with_15a,raw_sum_diagnostic,-2289.09
greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,-1643.27
greedy_low_correlation_with_15a,max_one_trade_per_session,-2585.66
