portfolio_set,portfolio_mode,fold,net_pnl,stress_pnl,active_days
audit_c_best_reconstructed,raw_sum_diagnostic,1,-5006.37,-5046.37,40
audit_c_best_reconstructed,raw_sum_diagnostic,2,2665.35,2625.35,40
audit_c_best_reconstructed,raw_sum_diagnostic,3,7956.59,7916.59,40
audit_c_best_reconstructed,raw_sum_diagnostic,4,5832.35,5792.35,40
audit_c_best_reconstructed,raw_sum_diagnostic,5,4823.12,4783.12,40
audit_c_best_reconstructed,raw_sum_diagnostic,6,15413.1,15370.1,43
audit_c_best_reconstructed,one_trade_at_a_time_chronological,1,-3011.72,-3051.72,40
audit_c_best_reconstructed,one_trade_at_a_time_chronological,2,-228.37,-268.37,40
audit_c_best_reconstructed,one_trade_at_a_time_chronological,3,360.96,320.96,40
audit_c_best_reconstructed,one_trade_at_a_time_chronological,4,-1772.56,-1812.56,40
audit_c_best_reconstructed,one_trade_at_a_time_chronological,5,-1722.35,-1762.35,40
audit_c_best_reconstructed,one_trade_at_a_time_chronological,6,2601.5,2558.5,43
audit_c_best_reconstructed,max_one_trade_per_session,1,-947.39,-987.39,40
audit_c_best_reconstructed,max_one_trade_per_session,2,1020.36,980.36,40
audit_c_best_reconstructed,max_one_trade_per_session,3,-410.13,-450.13,40
audit_c_best_reconstructed,max_one_trade_per_session,4,-384.64,-424.64,40
audit_c_best_reconstructed,max_one_trade_per_session,5,562.41,522.41,40
audit_c_best_reconstructed,max_one_trade_per_session,6,1507.64,1464.64,43
audit_c_best_plus_phase15a,raw_sum_diagnostic,1,-5354.65,-5394.65,40
audit_c_best_plus_phase15a,raw_sum_diagnostic,2,945.33,905.33,40
audit_c_best_plus_phase15a,raw_sum_diagnostic,3,9633.17,9593.17,40
audit_c_best_plus_phase15a,raw_sum_diagnostic,4,5116.61,5076.61,40
audit_c_best_plus_phase15a,raw_sum_diagnostic,5,4727.83,4687.83,40
audit_c_best_plus_phase15a,raw_sum_diagnostic,6,17874.96,17830.96,44
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,1,-3242.54,-3282.54,40
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,2,-528.45,-568.45,40
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,3,981.39,941.39,40
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,4,-2078.62,-2118.62,40
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,5,-1498.13,-1538.13,40
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,6,3553.74,3509.74,44
audit_c_best_plus_phase15a,max_one_trade_per_session,1,-947.39,-987.39,40
audit_c_best_plus_phase15a,max_one_trade_per_session,2,1150.86,1110.86,40
audit_c_best_plus_phase15a,max_one_trade_per_session,3,-432.13,-472.13,40
audit_c_best_plus_phase15a,max_one_trade_per_session,4,-802.64,-842.64,40
audit_c_best_plus_phase15a,max_one_trade_per_session,5,1100.41,1060.41,40
audit_c_best_plus_phase15a,max_one_trade_per_session,6,1356.4,1312.4,44
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,1,-5354.65,-5394.65,40
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,2,945.33,905.33,40
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,3,9633.17,9593.17,40
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,4,5116.61,5076.61,40
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,5,4727.83,4687.83,40
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,6,17874.96,17830.96,44
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,1,-3242.54,-3282.54,40
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,2,-528.45,-568.45,40
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,3,981.39,941.39,40
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,4,-2078.62,-2118.62,40
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,5,-1498.13,-1538.13,40
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,6,3553.74,3509.74,44
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,1,-947.39,-987.39,40
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,2,1150.86,1110.86,40
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,3,-432.13,-472.13,40
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,4,-802.64,-842.64,40
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,5,1100.41,1060.41,40
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,6,1356.4,1312.4,44
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,1,-1705.79,-1746.79,41
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,2,1705.23,1664.23,41
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,3,-284.82,-325.82,41
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,4,934.82,893.82,41
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,5,3083.28,3042.28,41
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,6,4766.27,4724.27,42
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,1,-1480.51,-1521.51,41
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,2,1355.4,1314.4,41
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,3,1351.96,1310.96,41
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,4,-12.28,-53.28,41
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,5,984.36,943.36,41
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,6,4482.91,4440.91,42
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,1,-1026.44,-1067.44,41
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,2,1543.41,1502.41,41
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,3,-290.37,-331.37,41
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,4,-359.11,-400.11,41
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,5,500.48,459.48,41
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,6,2071.43,2029.43,42
diversifier_only_13a_14a_15a,raw_sum_diagnostic,1,-573.44,-608.44,35
diversifier_only_13a_14a_15a,raw_sum_diagnostic,2,94.95,59.95,35
diversifier_only_13a_14a_15a,raw_sum_diagnostic,3,-1215.27,-1250.27,35
diversifier_only_13a_14a_15a,raw_sum_diagnostic,4,807.85,772.85,35
diversifier_only_13a_14a_15a,raw_sum_diagnostic,5,2650.47,2615.47,35
diversifier_only_13a_14a_15a,raw_sum_diagnostic,6,2054.52,2019.52,35
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,1,-336.68,-371.68,35
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,2,91.43,56.43,35
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,3,-512.41,-547.41,35
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,4,-224.77,-259.77,35
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,5,1129.74,1094.74,35
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,6,1893.91,1858.91,35
diversifier_only_13a_14a_15a,max_one_trade_per_session,1,-221.95,-256.95,35
diversifier_only_13a_14a_15a,max_one_trade_per_session,2,553.47,518.47,35
diversifier_only_13a_14a_15a,max_one_trade_per_session,3,-545.92,-580.92,35
diversifier_only_13a_14a_15a,max_one_trade_per_session,4,53.03,18.03,35
diversifier_only_13a_14a_15a,max_one_trade_per_session,5,985.94,950.94,35
diversifier_only_13a_14a_15a,max_one_trade_per_session,6,445.22,410.22,35
trend_power_only_phase15a,raw_sum_diagnostic,1,-397.76,-414.76,17
trend_power_only_phase15a,raw_sum_diagnostic,2,-593.7,-610.7,17
trend_power_only_phase15a,raw_sum_diagnostic,3,469.98,452.98,17
trend_power_only_phase15a,raw_sum_diagnostic,4,403.52,386.52,17
trend_power_only_phase15a,raw_sum_diagnostic,5,257.57,240.57,17
trend_power_only_phase15a,raw_sum_diagnostic,6,1119.5,1102.5,17
trend_power_only_phase15a,one_trade_at_a_time_chronological,1,-336.8,-353.8,17
trend_power_only_phase15a,one_trade_at_a_time_chronological,2,-449.82,-466.82,17
trend_power_only_phase15a,one_trade_at_a_time_chronological,3,619.17,602.17,17
trend_power_only_phase15a,one_trade_at_a_time_chronological,4,151.44,134.44,17
trend_power_only_phase15a,one_trade_at_a_time_chronological,5,163.02,146.02,17
trend_power_only_phase15a,one_trade_at_a_time_chronological,6,666.2,649.2,17
trend_power_only_phase15a,max_one_trade_per_session,1,-250.08,-267.08,17
trend_power_only_phase15a,max_one_trade_per_session,2,-432.08,-449.08,17
trend_power_only_phase15a,max_one_trade_per_session,3,636.65,619.65,17
trend_power_only_phase15a,max_one_trade_per_session,4,172.18,155.18,17
trend_power_only_phase15a,max_one_trade_per_session,5,240.5,223.5,17
trend_power_only_phase15a,max_one_trade_per_session,6,767.92,750.92,17
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,1,-6073.38,-6113.38,40
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,2,1559.33,1519.33,40
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,3,8326.39,8286.39,40
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,4,5381.97,5341.97,40
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,5,5043.03,5003.03,40
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,6,19417.68,19373.68,44
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,1,-3385.66,-3425.66,40
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,2,-993.11,-1033.11,40
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,3,482.41,442.41,40
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,4,-1924.32,-1964.32,40
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,5,-1575.27,-1615.27,40
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,6,4837.04,4793.04,44
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,1,-947.39,-987.39,40
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,2,1087.61,1047.61,40
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,3,-432.13,-472.13,40
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,4,-802.64,-842.64,40
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,5,1368.91,1328.91,40
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,6,2146.9,2102.9,44
rare_setup_plus_15a,raw_sum_diagnostic,1,-863.97,-890.97,27
rare_setup_plus_15a,raw_sum_diagnostic,2,-1402.87,-1429.87,27
rare_setup_plus_15a,raw_sum_diagnostic,3,3978.23,3951.23,27
rare_setup_plus_15a,raw_sum_diagnostic,4,1336.82,1309.82,27
rare_setup_plus_15a,raw_sum_diagnostic,5,853.68,826.68,27
rare_setup_plus_15a,raw_sum_diagnostic,6,3073.73,3044.73,29
rare_setup_plus_15a,one_trade_at_a_time_chronological,1,-568.9,-595.9,27
rare_setup_plus_15a,one_trade_at_a_time_chronological,2,-1133.77,-1160.77,27
rare_setup_plus_15a,one_trade_at_a_time_chronological,3,2278.56,2251.56,27
rare_setup_plus_15a,one_trade_at_a_time_chronological,4,568.16,541.16,27
rare_setup_plus_15a,one_trade_at_a_time_chronological,5,432.07,405.07,27
rare_setup_plus_15a,one_trade_at_a_time_chronological,6,1680.63,1651.63,29
rare_setup_plus_15a,max_one_trade_per_session,1,-423.48,-450.48,27
rare_setup_plus_15a,max_one_trade_per_session,2,-619.87,-646.87,27
rare_setup_plus_15a,max_one_trade_per_session,3,1494.42,1467.42,27
rare_setup_plus_15a,max_one_trade_per_session,4,829.02,802.02,27
rare_setup_plus_15a,max_one_trade_per_session,5,467.41,440.41,27
rare_setup_plus_15a,max_one_trade_per_session,6,1837.51,1808.51,29
greedy_low_correlation_with_15a,raw_sum_diagnostic,1,-732.78,-772.78,40
greedy_low_correlation_with_15a,raw_sum_diagnostic,2,-454.71,-494.71,40
greedy_low_correlation_with_15a,raw_sum_diagnostic,3,-361.71,-401.71,40
greedy_low_correlation_with_15a,raw_sum_diagnostic,4,697.7,657.7,40
greedy_low_correlation_with_15a,raw_sum_diagnostic,5,1564.15,1524.15,40
greedy_low_correlation_with_15a,raw_sum_diagnostic,6,6755.99,6710.99,45
greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,1,-846.99,-886.99,40
greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,2,-459.99,-499.99,40
