portfolio_set,portfolio_mode,phase16a_net_contribution,phase16a_trade_count,phase16a_active_days,incremental_active_days_from_phase16a,phase16a_days_existing_no_trade,phase16a_days_existing_negative_pnl,phase16a_overlap_skipped,phase16a_session_skipped,rare_module_net_contribution,rare_module_trade_count,rare_module_active_days
scheduler_d_best_reconstructed,raw_sum_diagnostic,0.0,0,0,0,0,0,0,0,1109.11,104,102
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,0.0,0,0,0,0,0,89,0,1109.11,104,102
scheduler_d_best_reconstructed,max_one_trade_per_session,0.0,0,0,0,0,0,0,348,102.93,7,7
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,1109.06,87,30,1,1,12,0,0,2218.17,191,121
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,106.97,36,30,1,1,12,143,0,1285.56,138,121
scheduler_d_best_plus_phase16a,max_one_trade_per_session,98.47,3,3,3,1,1,0,434,201.4,10,10
portfolio_d_best_plus_phase16a,raw_sum_diagnostic,1109.06,87,30,1,1,13,0,0,2900.3,236,151
portfolio_d_best_plus_phase16a,one_trade_at_a_time_chronological,90.73,37,30,1,1,13,149,0,1826.43,182,149
portfolio_d_best_plus_phase16a,max_one_trade_per_session,-32.24,1,1,1,1,0,0,616,834.43,28,28
top_cross_family_plus_13a_14a_15a_16a,raw_sum_diagnostic,1109.06,87,30,0,0,16,0,0,3050.3,286,151
top_cross_family_plus_13a_14a_15a_16a,one_trade_at_a_time_chronological,133.21,35,30,0,0,16,290,0,1128.97,186,148
top_cross_family_plus_13a_14a_15a_16a,max_one_trade_per_session,88.76,1,1,1,0,0,0,687,47.45,16,16
rare_modules_only,raw_sum_diagnostic,1109.06,87,30,7,7,14,0,0,15258.34,604,187
rare_modules_only,one_trade_at_a_time_chronological,90.73,37,30,7,7,14,234,0,3481.62,370,187
rare_modules_only,max_one_trade_per_session,28.69,11,11,11,7,3,0,417,2419.08,187,187
phase16a_only,raw_sum_diagnostic,1109.06,87,30,30,30,0,0,0,1109.06,87,30
phase16a_only,one_trade_at_a_time_chronological,64.49,38,30,30,30,0,49,0,64.49,38,30
phase16a_only,max_one_trade_per_session,356.91,30,30,30,30,0,0,57,356.91,30,30
diversifier_modules_all,raw_sum_diagnostic,1109.06,87,30,8,8,8,0,0,2368.17,241,121
diversifier_modules_all,one_trade_at_a_time_chronological,106.97,36,30,8,8,8,228,0,1020.4,147,121
diversifier_modules_all,max_one_trade_per_session,61.57,10,10,10,8,1,0,410,190.16,37,37
greedy_low_correlation_with_phase16a,raw_sum_diagnostic,752.15,57,30,1,1,13,0,0,2393.39,156,123
greedy_low_correlation_with_phase16a,one_trade_at_a_time_chronological,848.44,37,30,1,1,13,94,0,2364.66,134,121
greedy_low_correlation_with_phase16a,max_one_trade_per_session,-32.24,1,1,1,1,0,0,481,359.02,25,25
weak_regime_focused_mix,raw_sum_diagnostic,516.62,30,30,18,18,9,0,0,7494.33,190,77
weak_regime_focused_mix,one_trade_at_a_time_chronological,516.62,30,30,18,18,9,329,0,-1418.28,90,50
weak_regime_focused_mix,max_one_trade_per_session,712.97,18,18,18,18,0,0,547,712.97,18,18
