portfolio_set,portfolio_mode,max_drawdown
scheduler_d_best_reconstructed,raw_sum_diagnostic,-3432.74
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,-2170.36
scheduler_d_best_reconstructed,max_one_trade_per_session,-2848.96
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,-3937.89
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,-2422.81
scheduler_d_best_plus_phase16a,max_one_trade_per_session,-2903.77
portfolio_d_best_plus_phase16a,raw_sum_diagnostic,-2611.45
portfolio_d_best_plus_phase16a,one_trade_at_a_time_chronological,-1944.18
portfolio_d_best_plus_phase16a,max_one_trade_per_session,-2585.66
top_cross_family_plus_13a_14a_15a_16a,raw_sum_diagnostic,-3349.91
top_cross_family_plus_13a_14a_15a_16a,one_trade_at_a_time_chronological,-1670.81
top_cross_family_plus_13a_14a_15a_16a,max_one_trade_per_session,-1564.49
rare_modules_only,raw_sum_diagnostic,-3254.17
rare_modules_only,one_trade_at_a_time_chronological,-2475.04
rare_modules_only,max_one_trade_per_session,-1784.4
phase16a_only,raw_sum_diagnostic,-1072.34
phase16a_only,one_trade_at_a_time_chronological,-571.64
phase16a_only,max_one_trade_per_session,-435.92
diversifier_modules_all,raw_sum_diagnostic,-3519.78
diversifier_modules_all,one_trade_at_a_time_chronological,-2003.77
diversifier_modules_all,max_one_trade_per_session,-1362.95
greedy_low_correlation_with_phase16a,raw_sum_diagnostic,-1895.4
greedy_low_correlation_with_phase16a,one_trade_at_a_time_chronological,-1812.5
greedy_low_correlation_with_phase16a,max_one_trade_per_session,-1576.45
weak_regime_focused_mix,raw_sum_diagnostic,-3811.38
weak_regime_focused_mix,one_trade_at_a_time_chronological,-5034.89
weak_regime_focused_mix,max_one_trade_per_session,-505.29
