cluster_key,day_count,total_pnl,avg_pnl,large_negative_days
high_vol|mixed|power_expand,27,-67193.24,-125.12707635009312,102
high_vol|mixed|no_power_expand,40,-63403.74,-99.69141509433962,94
normal_vol|mixed|power_expand,14,-17223.77,-56.84412541254125,16
normal_vol|trend|no_power_expand,29,-16609.829999999998,-16.931529051987766,38
low_vol|trend|no_power_expand,6,-16186.85,-92.49628571428572,11
low_vol|range|no_power_expand,12,-14312.67,-36.69915384615385,7
low_vol|mixed|power_expand,5,-10170.44,-53.811851851851856,1
normal_vol|range|no_power_expand,5,-8502.190000000002,-41.272766990291274,41
low_vol|trend|power_expand,2,-4031.66,-44.30395604395604,4
high_vol|trend|power_expand,11,-2745.5600000000004,-40.97850746268657,10
normal_vol|range|power_expand,5,-2667.16,-15.506744186046511,1
normal_vol|trend|power_expand,6,1807.0199999999995,8.564075829383883,8
normal_vol|mixed|no_power_expand,25,6155.5599999999995,10.345478991596638,11
low_vol|mixed|no_power_expand,7,7204.360000000001,37.522708333333334,0
low_vol|range|power_expand,4,10697.48,70.37815789473684,0
high_vol|trend|no_power_expand,50,50568.67,49.383466796875,73
